claim_set,rule,units,NO_SCRIPT,SILENT,PINNED,LADDER,recoverable,share,modal_L,share_L63
CS_BLOCK,R_CONST,154,33,59,62,0,62,0.4025974025974026,63,0.6612903225806451
CS_BLOCK,R_LADDER,154,33,50,34,37,71,0.461038961038961,21,0.14285714285714285
CS_BLOCK,R_ANY,154,33,50,31,40,71,0.461038961038961,21,0.1359773371104816
CS_BLOCK,R_UNION,154,33,47,34,40,74,0.4805194805194805,21,0.13114754098360656
CS_RESAMPLE,R_CONST,1074,129,752,193,0,193,0.17970204841713222,63,0.7512953367875648
CS_RESAMPLE,R_LADDER,1074,129,728,117,100,217,0.20204841713221602,63,0.21709633649932158
CS_RESAMPLE,R_ANY,1074,129,723,110,112,222,0.20670391061452514,63,0.20382165605095542
CS_RESAMPLE,R_UNION,1074,129,698,126,121,247,0.22998137802607077,63,0.19424460431654678
CS_ALL,R_CONST,7631,404,6559,668,0,668,0.08753767527191718,63,0.7615499254843517
CS_ALL,R_LADDER,7631,404,6460,466,301,767,0.10051107325383304,63,0.2909732728189612
CS_ALL,R_ANY,7631,404,6441,442,344,786,0.10300091731096842,63,0.2730278696268304
CS_ALL,R_UNION,7631,404,6265,564,398,962,0.1260647359454855,63,0.2492753623188406
