panel,age_lo,age_hi,n_namedays,n_days,w_share,r_bucket,r_pool,XS_pp,CONC,XS_pp_IS,XS_pp_OOS,CONC_IS,CONC_OOS,XS_pp_shuffle,XS_minus_shuffle
U56,1,21,9612,3217,0.11122026298594717,0.18371888734491373,0.17360284271041676,1.0116044634496975,1.0582711923178085,-5.0751167817113085,6.605940594477308,0.5925931130543541,1.3122912325075047,1.1681571261907429,-0.1565526627410454
U56,22,63,19233,4144,0.22076370258425929,0.22309864502813165,0.14188601414104732,8.121263088708433,1.572379394676291,9.717399925328975,7.023807529415019,1.8386850956757317,1.4356360812613065,8.843173065575163,-0.7219099768667299
U56,64,126,28444,4390,0.32136505822381506,0.2033595733296759,0.14763066274929557,5.572891058038035,1.3774887245139475,7.393028470633944,4.1796143735536,1.583120998452296,1.2553340839458933,7.9601729700531365,-2.3872819120151014
U56,127,252,18368,4303,0.20733397872807174,0.22097569893255148,0.14988184765374504,7.1093851278806435,1.4743326319478425,6.6216143264634315,7.423916285972323,1.5000334032159948,1.4555070603203932,5.159534746661863,1.9498503812187806
U56,253,504,9485,3578,0.1074546779652846,0.21936430704739726,0.14153712373585092,7.7827183311546335,1.5498711663576992,8.534221776546495,7.493599300742574,1.79053212635001,1.442381939325925,5.642453682664794,2.1402646484898398
U56,505,NONE,2827,2132,0.03186231951262226,0.2424326679447658,0.1261740809079219,11.625858703684392,1.9214141779379077,22.713589357506653,1.2580742258468836,3.6380937393443586,1.0748019197812735,2.01218219446975,9.613676509214642
B135,1,21,11228,1358,0.12869295156466862,0.15668879786495338,0.17567436886742652,-1.8985571002473138,0.891927484214839,-3.5948733811129547,-0.24704444505513623,0.7341470940933174,0.987975742096478,8.855619179506053,-10.754176279753366
B135,22,63,22638,2102,0.2549958148537421,0.24077886231923626,0.18329822519617128,5.7480637123064975,1.313590800246688,10.906372201588873,1.631427505534333,1.6571285254493962,1.0830906574838945,5.314576306616371,0.43348740569012634
B135,64,126,33362,2787,0.37574355298731504,0.2264459278983632,0.13054629289512246,9.589963500324075,1.7346025143761383,9.102838854157724,10.010137979593997,1.7744022293161534,1.7131852401955345,6.989483333828087,2.600480166495988
B135,127,252,15678,4278,0.1769221435710978,0.2361499478192128,0.1444894870978662,9.166046072134662,1.6343746009650018,13.62987302459359,5.407283830318502,1.9795875753025274,1.3635245502704447,7.062022281407742,2.10402379072692
B135,253,504,5215,2730,0.05866143948402885,0.18952744841746846,0.12427719602564452,6.525025239182394,1.5250380156497867,0.2683035624292743,14.640980137434964,1.0251227045480742,2.0466855632275807,8.16363547513721,-1.6386102359548165
B135,505,NONE,443,443,0.004984097539147516,0.3041198774198329,0.19307146639360123,11.104841102623164,1.5751673880170622,18.922234365519543,7.082704942789691,1.519240056793632,1.8456103829459418,11.701113215701445,-0.5962721130782818
SMALL663,1,21,11595,648,0.14718386600575656,0.07482691496424375,-0.04839340717625771,12.322032214050147,,31.327925121931038,1.4849063829662752,8.013449691662213,,11.122130134162594,1.1999020798875524
SMALL663,22,63,23310,1302,0.2959041565939446,0.1766328670906488,0.16155481063749788,1.5078056453150912,1.0933309035716898,-0.5287924401283131,2.73526173571573,0.9407191750171763,1.1335195453563176,4.668452607746372,-3.1606469624312803
SMALL663,64,126,34395,1923,0.4366995039179595,0.08412651251344867,0.042293144665558696,4.183336784788998,1.9891288098507574,-0.9980038822887782,6.831586611531228,0.9125809578739487,16.79341749588022,6.8412562737506555,-2.6579194889616575
SMALL663,127,252,8428,3137,0.1071076418011023,0.3143043813222854,0.055861746564738336,25.8442634757547,5.626468928214358,16.509083528704835,33.598625274783814,3.867008365107565,7.115905572152629,10.394642288781546,15.449621186973156
SMALL663,253,504,1032,856,0.013104831681237066,0.07042322725463875,0.16440225376306025,-9.39790265084215,0.4283592569000549,-22.613503135909117,13.738171511357722,-2.783307591360387,1.4428324952459992,-29.71917158204694,20.32126893120479
SMALL663,505,NONE,0,0,0.0,,,,,,,,,,
