panel,q,k,draw,prov,Ebar,breadth,v2_S,v2_OOS_S,spy_S,spy_OOS_S
q=0.00 k=40 d0,0.0,40,0,new,27.553243574051407,0.6888310893512852,1.1081187396945515,1.1333013047278404,0.8615657442323101,0.8820239235972316
q=0.00 k=40 d1,0.0,40,1,new,28.91799265605875,0.7229498164014687,1.0556227654494665,1.0767103982322044,0.8615657442323101,0.8820239235972316
q=0.00 k=40 d2,0.0,40,2,new,27.238678090575274,0.6809669522643819,1.1062702662448944,1.1326941354017792,0.8615657442323101,0.8820239235972316
q=0.00 k=40 d3,0.0,40,3,new,26.54467564259486,0.6636168910648715,1.141637712296665,1.1472820513525361,0.8615657442323101,0.8820239235972316
q=0.00 k=40 d4,0.0,40,4,new,26.649938800489597,0.66624847001224,1.1402591038632521,1.2025938622646286,0.8615657442323101,0.8820239235972316
q=0.00 k=40 d5,0.0,40,5,new,27.141982864137088,0.6785495716034272,1.0490991571633914,1.0745615183618678,0.8615657442323101,0.8820239235972316
q=0.00 k=40 d6,0.0,40,6,new,26.707466340269278,0.6676866585067319,1.1405885155724937,1.14517298953891,0.8615657442323101,0.8820239235972316
q=0.00 k=40 d7,0.0,40,7,new,28.32435740514076,0.708108935128519,1.0656129935440648,1.073447051321484,0.8615657442323101,0.8820239235972316
q=0.00 k=60 d0,0.0,60,0,new,41.16768665850673,0.6861281109751122,1.1280977463822923,1.105195575284289,0.8615657442323101,0.8820239235972316
q=0.00 k=60 d1,0.0,60,1,new,41.07221542227662,0.6845369237046104,1.156678335765992,1.1303851540497114,0.8615657442323101,0.8820239235972316
q=0.00 k=60 d2,0.0,60,2,new,39.89106487148103,0.6648510811913505,1.1433046621757625,1.1403082579743757,0.8615657442323101,0.8820239235972316
q=0.00 k=60 d3,0.0,60,3,new,40.64014687882497,0.6773357813137495,1.1740498230405125,1.217858656824767,0.8615657442323101,0.8820239235972316
q=0.00 k=60 d4,0.0,60,4,new,41.92166462668299,0.6986944104447165,1.2289951011514026,1.22395995828974,0.8615657442323101,0.8820239235972316
q=0.00 k=60 d5,0.0,60,5,new,40.53733170134639,0.6756221950224398,1.1669992406473486,1.1959264819137634,0.8615657442323101,0.8820239235972316
q=0.00 k=60 d6,0.0,60,6,new,41.59608323133415,0.6932680538555691,1.2074992231705095,1.223576313737957,0.8615657442323101,0.8820239235972316
q=0.00 k=60 d7,0.0,60,7,new,40.35373317013464,0.6725622195022439,1.0556861457625104,1.0510053230515148,0.8615657442323101,0.8820239235972316
q=0.00 k=80 d0,0.0,80,0,new,55.05507955936353,0.6881884944920441,1.0812852049900534,1.0873762699312963,0.8615657442323101,0.8820239235972316
q=0.00 k=80 d1,0.0,80,1,new,55.08200734394125,0.6885250917992656,1.1324209236644862,1.1238809285366544,0.8615657442323101,0.8820239235972316
