panel,anchor,ladder,chooser,L,frac_of_T,obs_rung,P_pick,RESOLVED
U56,A,N,CH_ISSHARPE,1,0.0004982561036372695,40,0.37,False
U56,A,N,CH_ISSHARPE,2,0.000996512207274539,40,0.355,False
U56,A,N,CH_ISSHARPE,5,0.002491280518186348,40,0.369,False
U56,A,N,CH_ISSHARPE,10,0.004982561036372696,40,0.371,False
U56,A,N,CH_ISSHARPE,21,0.01046337817638266,40,0.394,False
U56,A,N,CH_ISSHARPE,42,0.02092675635276532,40,0.436,False
U56,A,N,CH_ISSHARPE,63,0.03139013452914798,40,0.419,False
U56,A,N,CH_ISSHARPE,126,0.06278026905829596,40,0.436,False
U56,A,N,CH_ISSHARPE,252,0.12556053811659193,40,0.393,False
U56,A,N,CH_ISSHARPE,504,0.25112107623318386,40,0.23,False
U56,A,N,CH_ISSHARPE,1008,0.5022421524663677,40,0.069,False
U56,A,N,CH_ISSHARPE,T,1.0,40,1.0,True
U56,A,N,CH_ISCAGR,1,0.0004982561036372695,5,0.713,False
U56,A,N,CH_ISCAGR,2,0.000996512207274539,5,0.703,False
U56,A,N,CH_ISCAGR,5,0.002491280518186348,5,0.732,False
U56,A,N,CH_ISCAGR,10,0.004982561036372696,5,0.717,False
U56,A,N,CH_ISCAGR,21,0.01046337817638266,5,0.761,False
U56,A,N,CH_ISCAGR,42,0.02092675635276532,5,0.825,False
U56,A,N,CH_ISCAGR,63,0.03139013452914798,5,0.807,False
U56,A,N,CH_ISCAGR,126,0.06278026905829596,5,0.88,False
U56,A,N,CH_ISCAGR,252,0.12556053811659193,5,0.896,False
U56,A,N,CH_ISCAGR,504,0.25112107623318386,5,0.965,True
U56,A,N,CH_ISCAGR,1008,0.5022421524663677,5,1.0,True
U56,A,N,CH_ISCAGR,T,1.0,5,1.0,True
U56,A,N,CH_ISDD,1,0.0004982561036372695,40,0.774,False
U56,A,N,CH_ISDD,2,0.000996512207274539,40,0.807,False
U56,A,N,CH_ISDD,5,0.002491280518186348,40,0.813,False
U56,A,N,CH_ISDD,10,0.004982561036372696,40,0.829,False
U56,A,N,CH_ISDD,21,0.01046337817638266,40,0.871,False
U56,A,N,CH_ISDD,42,0.02092675635276532,40,0.922,True
U56,A,N,CH_ISDD,63,0.03139013452914798,40,0.933,True
U56,A,N,CH_ISDD,126,0.06278026905829596,40,0.965,True
U56,A,N,CH_ISDD,252,0.12556053811659193,40,0.99,True
U56,A,N,CH_ISDD,504,0.25112107623318386,40,0.984,True
U56,A,N,CH_ISDD,1008,0.5022421524663677,40,0.997,True
U56,A,N,CH_ISDD,T,1.0,40,1.0,True
U56,A,H,CH_ISSHARPE,1,0.0004982561036372695,252,0.382,False
U56,A,H,CH_ISSHARPE,2,0.000996512207274539,252,0.373,False
U56,A,H,CH_ISSHARPE,5,0.002491280518186348,252,0.359,False
U56,A,H,CH_ISSHARPE,10,0.004982561036372696,252,0.358,False
U56,A,H,CH_ISSHARPE,21,0.01046337817638266,252,0.375,False
U56,A,H,CH_ISSHARPE,42,0.02092675635276532,252,0.403,False
U56,A,H,CH_ISSHARPE,63,0.03139013452914798,252,0.439,False
U56,A,H,CH_ISSHARPE,126,0.06278026905829596,252,0.454,False
U56,A,H,CH_ISSHARPE,252,0.12556053811659193,252,0.476,False
U56,A,H,CH_ISSHARPE,504,0.25112107623318386,252,0.401,False
U56,A,H,CH_ISSHARPE,1008,0.5022421524663677,252,0.395,False
U56,A,H,CH_ISSHARPE,T,1.0,252,1.0,True
U56,A,H,CH_ISCAGR,1,0.0004982561036372695,252,0.466,False
U56,A,H,CH_ISCAGR,2,0.000996512207274539,252,0.445,False
U56,A,H,CH_ISCAGR,5,0.002491280518186348,252,0.448,False
U56,A,H,CH_ISCAGR,10,0.004982561036372696,252,0.469,False
U56,A,H,CH_ISCAGR,21,0.01046337817638266,252,0.452,False
U56,A,H,CH_ISCAGR,42,0.02092675635276532,252,0.476,False
U56,A,H,CH_ISCAGR,63,0.03139013452914798,252,0.533,False
U56,A,H,CH_ISCAGR,126,0.06278026905829596,252,0.588,False
U56,A,H,CH_ISCAGR,252,0.12556053811659193,252,0.726,False
U56,A,H,CH_ISCAGR,504,0.25112107623318386,252,0.82,False
U56,A,H,CH_ISCAGR,1008,0.5022421524663677,252,0.919,True
U56,A,H,CH_ISCAGR,T,1.0,252,1.0,True
U56,A,H,CH_ISDD,1,0.0004982561036372695,21,0.441,False
U56,A,H,CH_ISDD,2,0.000996512207274539,21,0.415,False
U56,A,H,CH_ISDD,5,0.002491280518186348,21,0.453,False
U56,A,H,CH_ISDD,10,0.004982561036372696,21,0.426,False
U56,A,H,CH_ISDD,21,0.01046337817638266,21,0.431,False
U56,A,H,CH_ISDD,42,0.02092675635276532,21,0.456,False
U56,A,H,CH_ISDD,63,0.03139013452914798,21,0.509,False
U56,A,H,CH_ISDD,126,0.06278026905829596,21,0.742,False
U56,A,H,CH_ISDD,252,0.12556053811659193,21,0.836,False
U56,A,H,CH_ISDD,504,0.25112107623318386,21,0.94,True
U56,A,H,CH_ISDD,1008,0.5022421524663677,21,0.967,True
U56,A,H,CH_ISDD,T,1.0,21,1.0,True
U56,A,GROSS,CH_ISSHARPE,1,0.0004982561036372695,0.75,0.639,False
U56,A,GROSS,CH_ISSHARPE,2,0.000996512207274539,0.75,0.619,False
