char,tau,k,seed,prem_B,prem_S,pass_B,pass_S,prem_gap,pass_gap,q
cvol,0.01,18,0,-0.13485569433764408,-0.34883604862780637,1,0,0.2139803542901623,1,Q2
cvol,0.01,18,1,-0.013762708576261348,-0.3806892793421243,2,0,0.366926570765863,2,Q4 high
cvol,0.01,18,2,-0.0961687933067155,-0.22562021619225262,0,0,0.12945142288553713,0,Q1 low
cvol,0.01,18,3,-0.014879013308771283,-0.2756957584062205,0,0,0.26081674509744923,0,Q3
cvol,0.01,18,4,-0.008511140845564555,-0.20843547735602497,4,0,0.1999243365104604,4,Q2
cvol,0.01,18,5,-0.04131447344844328,-0.19524496291285365,0,0,0.15393048946441037,0,Q1 low
cvol,0.01,18,6,-0.0698570376093864,-0.23833355078583443,0,0,0.16847651317644802,0,Q1 low
cvol,0.01,18,7,-0.19133371070678215,-0.17040351683899554,0,0,-0.020930193867786606,0,Q1 low
cvol,0.01,18,8,-0.10420616309904139,-0.1829553621814585,2,0,0.0787491990824171,2,Q1 low
cvol,0.01,18,9,-0.10483769252551141,-0.1633206402833485,0,0,0.05848294775783709,0,Q1 low
cvol,0.01,18,10,-0.033926795412054234,-0.2090474603302567,4,0,0.17512066491820247,4,Q1 low
cvol,0.01,18,11,-0.006357458516273525,-0.20012996562933258,4,0,0.19377250711305904,4,Q2
cvol,0.01,36,0,-0.01544448810142037,-0.27428589995328584,4,0,0.2588414118518655,4,Q3
cvol,0.01,36,1,-0.016083774349205677,-0.23954395110328974,4,0,0.22346017675408406,4,Q2
cvol,0.01,36,2,0.04740816303050055,-0.25604212058249615,2,0,0.3034502836129967,2,Q4 high
cvol,0.01,36,3,-0.09803913989182256,-0.26979312810783546,0,0,0.1717539882160129,0,Q1 low
cvol,0.01,36,4,-0.0009049313858717767,-0.3212349470612914,3,0,0.32033001567541963,3,Q4 high
cvol,0.01,36,5,-0.025700963515598734,-0.25896826858299365,3,0,0.23326730506739493,3,Q2
cvol,0.01,36,6,0.025244482149755682,-0.2784967005975098,4,0,0.30374118274726547,4,Q4 high
cvol,0.01,36,7,-0.010248992720799488,-0.2793284705608521,4,0,0.2690794778400526,4,Q3
cvol,0.01,36,8,-0.013193061892156225,-0.29860950936301317,4,0,0.2854164474708569,4,Q3
