panel,ladder,n_objects,margin,spread,own_hw_q90,ratio_own_over_877,agreement,transfer_resolved,own_resolved,n_flip
B136,L_BOOK,18,0.00011867880061866565,0.2519592134305937,0.20522287084074367,14.153301437292667,0.53,False,False,1
B136,L_CAD,18,0.02047292148834412,0.09358033920496456,0.18310794773847716,12.628134326791528,0.581,True,False,16
B136,L_G,20,0.000332938823043083,0.003384122485352581,0.0003366680464440411,0.023218485961658004,0.953,False,False,1
B136,L_H,18,0.05588777649946697,0.2876993937080623,0.22376537907736127,15.432095108783535,0.662,True,False,18
B136,L_MV,18,0.040530194464210245,0.11728309430777784,0.1281663175598452,8.8390563834376,0.715,True,False,17
B136,L_N,18,0.009369302261435175,0.1870058979110616,0.174928269303719,12.064018572670275,0.495,False,False,2
B136,L_NH,19,0.12377591935226939,0.5010222697479193,0.1412438540508274,9.740955451781199,0.931,True,False,19
U56,L_BOOK,19,0.024231014450573296,0.17096612913810194,0.20277723221707394,13.984636704625789,0.586,True,False,17
U56,L_CAD,19,0.00784413458759503,0.03626927728303664,0.14744907819501576,10.168901944483846,0.528,False,False,2
U56,L_G,20,0.00010870912050653381,0.0013944423901530723,0.0003201534904749198,0.022079551067235845,0.711,False,False,1
U56,L_H,19,0.008473870542789808,0.19805210902196002,0.18754661380876209,12.934249228190488,0.505,False,False,2
U56,L_MV,19,0.01941211909162255,0.09107773546588382,0.18193509182594614,12.547247712134215,0.567,True,False,17
U56,L_N,19,0.010077615517875893,0.15176183784115138,0.2305595603565349,15.900659334933442,0.545,False,False,2
U56,L_NH,19,0.0019512209291068228,0.3770310337248203,0.3240959161251274,22.351442491388095,0.467,False,False,1
