stat,eps,cells,picks_moved,empty_cells,mean_d_OOS_Sharpe,min_d,max_d
sharpe,0.0,6,0,2,0.0,0.0,0.0
sharpe,0.05,6,3,5,0.0,0.0,0.0
sharpe,0.1,6,4,6,,,
sharpe,0.15,6,4,6,,,
dom,0.0,6,4,4,-0.14409843368145137,-0.2050740411903551,-0.08312282617254763
dom,0.05,6,4,6,,,
dom,0.1,6,4,6,,,
dom,0.15,6,4,6,,,
