null,phi,label,mode,fid_mean,fid_max,fidb_mean,fidb_max,overlap,switch_match,clear_rate,oos_clear_rate,n
ROT,,ROT,skip,19.013661158779975,341.5977317125574,0.06778234840057405,0.13570966493606848,0.5445615860561425,1.0,0.0,0.0,30
MC,,MC,skip,47.2259542426663,756.1870987559686,0.10264051206904277,0.18071834475505327,0.5422417427853652,0.08,0.0,0.0,30
RUN,,RUN,skip,20.087437985524655,349.3063653996349,0.06782522355873019,0.1263974759955546,0.5413070102293864,1.0,0.0,0.0,30
STRAT,1.0,STRAT(1.00),skip,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,30
STRAT,0.75,STRAT(0.75),skip,46.638272389725,743.7511120931542,0.07527481389851656,0.1777463145143932,0.8086644895094836,0.13,0.0,0.03333333333333333,30
STRAT,0.5,STRAT(0.50),skip,46.8284934537295,733.2305784752094,0.08956700432951878,0.17523205127914004,0.6892381930689091,0.11333333333333333,0.0,0.0,30
STRAT,0.25,STRAT(0.25),skip,46.85250988399427,758.8030889987473,0.09833263759746617,0.1813435305422058,0.5891930123150471,0.08666666666666667,0.0,0.0,30
ROT,,ROT,half,0.04409889783118632,0.10558137276465032,0.0330225062328914,0.07425175914080823,0.5425465608957525,1.0,0.0,0.0,30
MC,,MC,half,0.0479455625371445,0.11056833947383855,0.03567995936692045,0.077758921827159,0.5429777243437228,0.06666666666666667,0.0,0.0,30
RUN,,RUN,half,0.04392411193484903,0.09722077289836946,0.03290733129716035,0.07192587768134204,0.5416048262086154,1.0,0.0,0.0,30
STRAT,1.0,STRAT(1.00),half,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,30
STRAT,0.75,STRAT(0.75),half,0.030304655750576424,0.08203484781137968,0.02104738878647359,0.05769229553797606,0.800573733475764,0.11000000000000001,0.0,0.0,30
STRAT,0.5,STRAT(0.50),half,0.040114923906054076,0.10706475013924427,0.028635603613322166,0.07529496758420282,0.6872861146844206,0.10666666666666666,0.0,0.0,30
STRAT,0.25,STRAT(0.25),half,0.04529716354663996,0.10084312429412316,0.03317138594878458,0.0717112401928306,0.5920206199084574,0.09666666666666668,0.0,0.0,30
