panel,panel_here,estimator,n_parent,n_here,agree_parent,agree_here,best_parent,best_here,d_agree,d_best,d_n,gate,popn,proxy,dis_parent,dis_here,d_dis
U56,U56,FULL,112,112,0.9017857142857144,0.9017857142857143,0.9375,0.9375,1.1102230246251565e-16,0.0,0,G4_867,,,,,
U56,U56,DOWN,112,112,0.9017857142857144,0.9017857142857143,0.9464285714285714,0.9464285714285714,1.1102230246251565e-16,0.0,0,G4_867,,,,,
U56,U56,ROLL,112,112,0.9285714285714286,0.9285714285714286,0.9642857142857144,0.9642857142857143,0.0,1.1102230246251565e-16,0,G4_867,,,,,
U56,U56,DDWIN,64,64,0.953125,0.953125,0.984375,0.984375,0.0,0.0,0,G4_867,,,,,
B136,B136,FULL,112,112,0.8571428571428571,0.8571428571428571,0.8928571428571429,0.8928571428571429,0.0,0.0,0,G4_867,,,,,
B136,B136,DOWN,112,112,0.8660714285714286,0.8660714285714286,0.9107142857142856,0.9107142857142857,0.0,1.1102230246251565e-16,0,G4_867,,,,,
B136,B136,ROLL,112,112,0.8571428571428571,0.8571428571428571,0.8928571428571429,0.8928571428571429,0.0,0.0,0,G4_867,,,,,
B136,B136,DDWIN,60,60,0.9833333333333332,0.9833333333333333,1.0,1.0,1.1102230246251565e-16,0.0,0,G4_867,,,,,
SMALL,SMALLRAW,FULL,112,112,0.6785714285714286,0.6785714285714286,0.9107142857142856,0.9107142857142857,0.0,1.1102230246251565e-16,0,G4_867,,,,,
SMALL,SMALLRAW,DOWN,112,112,0.6964285714285714,0.6964285714285714,0.9107142857142856,0.9107142857142857,0.0,1.1102230246251565e-16,0,G4_867,,,,,
SMALL,SMALLRAW,ROLL,112,112,0.7321428571428571,0.7321428571428571,0.9107142857142856,0.9107142857142857,0.0,1.1102230246251565e-16,0,G4_867,,,,,
SMALL,SMALLRAW,DDWIN,112,112,0.7321428571428571,0.7321428571428571,0.8571428571428571,0.8571428571428571,0.0,0.0,0,G4_867,,,,,
