claim_set,context,n,n_silent,H_SILENT,H_MOVE,H_GAP,H_DD
STRICT,SENTENCE,47,38,0.8085106382978723,0.8421052631578947,0.23484266221108327,0.8157894736842105
STRICT,ROW,47,29,0.6170212765957447,0.8275862068965517,0.23094690749863164,0.7931034482758621
WIDE,SENTENCE,323,302,0.934984520123839,0.8708609271523179,0.2318676197484145,0.7284768211920529
WIDE,ROW,323,218,0.6749226006191951,0.8532110091743119,0.2277821464977429,0.7247706422018348
FILES,SENTENCE,430,404,0.9395348837209302,0.8514851485148515,0.22836201477290594,0.7128712871287128
FILES,ROW,430,319,0.7418604651162791,0.8338557993730408,0.22494402149574566,0.7084639498432602
