repair,seg_cost,n_books,n_satisfiable,n_finite,n_lands,rate_lands,med_rel_gap,med_ratio,med_ref
P_HALF,2,486,0,0,0,0.0,,,3.6219086623587335
P_OVERLAP,3,486,0,0,0,0.0,,,3.6219086623587335
P_QUARTERS,6,486,486,486,135,0.2777777777777778,0.4425294420559581,4.371873593819872,3.6219086623587335
P_BLOCK,8,486,486,486,198,0.4074074074074074,0.34228225419121466,4.578123127551463,3.6219086623587335
