panel,theta,x,frac_ma,frac_q,d_frac
U56,0.3,0.04258870572676662,0.04258870572676662,0.05654556349815585,0.013956857771389233
U56,0.2,0.10223652894330977,0.10223652894330977,0.1130911269963117,0.01085459805300193
U56,0.12,0.2320147742060299,0.2320147742060299,0.2412534534191688,0.009238679213138895
U56,0.06,0.4407995099690702,0.4407995099690702,0.4503412237140635,0.009541713744993296
U56,0.0,0.7082024406166496,0.7082024406166496,0.7149479481471713,0.006745507530521722
U56,-0.06,0.8576633052825114,0.8576633052825114,0.8687176417806405,0.011054336498129036
U56,-0.12,0.9220595407578257,0.9220595407578257,0.9283832370752989,0.006323696317473204
U56,-0.25,0.9715831586358515,0.9715831586358515,0.9811514788339479,0.009568320198096392
U56,-0.4,0.9893380113539196,0.9893380113539196,0.9948980718531217,0.005560060499202102
B136,0.3,0.040101454916018145,0.040101454916018145,0.04452301423840858,0.004421559322390432
B136,0.2,0.10978500679546047,0.10978500679546047,0.11334566570995874,0.003560658914498277
B136,0.12,0.2633705578143511,0.2633705578143511,0.2677737109898032,0.00440315317545209
B136,0.06,0.4765978692543492,0.4765978692543492,0.47966662620241046,0.0030687569480612464
B136,0.0,0.7086307681916201,0.7086307681916201,0.7110748340376044,0.0024440658459843334
B136,-0.06,0.8520949403311823,0.8520949403311823,0.8559807981951146,0.0038858578639323627
B136,-0.12,0.9222797596218516,0.9222797596218516,0.9250794129184989,0.002799653296647331
B136,-0.25,0.9764663967909389,0.9764663967909389,0.9784227109378195,0.001956314146880578
B136,-0.4,0.9915201273992101,0.9915201273992101,0.991239037866607,-0.0002810895326030849
SMALL439,0.3,0.10112529842021868,0.10112529842021868,0.10278847365705852,0.0016631752368398423
SMALL439,0.2,0.17591708814823848,0.17591708814823848,0.1773671769937656,0.0014500888455271366
SMALL439,0.12,0.2767374432461607,0.2767374432461607,0.27821624092075387,0.0014787976745931908
SMALL439,0.06,0.3801933637669047,0.3801933637669047,0.38171322167583077,0.0015198579089260589
SMALL439,0.0,0.5035660827185529,0.5035660827185529,0.5051830471024074,0.0016169643838545023
SMALL439,-0.06,0.6238446831906551,0.6238446831906551,0.6252894861429902,0.001444802952335067
SMALL439,-0.12,0.7234020063320128,0.7234020063320128,0.7248874390129988,0.0014854326809859986
SMALL439,-0.25,0.8599310007221341,0.8599310007221341,0.8613945937917,0.0014635930695658939
SMALL439,-0.4,0.9322638438075956,0.9322638438075956,0.933716842068713,0.001452998261117333
