panel,band,exit_frac,flips_per_name_yr
u56,0.03,0.31597206578058123,1.7784349464457598
u56,0.05,0.3399086608367978,1.2344795101271786
u56,0.08,0.3474123983698212,0.8143848942226956
u56,0.12,0.3460443588850888,0.5212476192426632
u56,0.16,0.41921399168526896,0.3788076757664503
u56,0.2,0.4110139466300764,0.2652685903868603
u56,0.25,0.45340269102377684,0.17753384259354074
u56,0.3,0.5555469085993979,0.12282864691064736
B136,0.03,0.3156132929505311,2.0365547796050163
B136,0.05,0.3234545651756735,1.3998948712172412
B136,0.08,0.3192711071062051,0.8940151685815124
B136,0.12,0.31468548972491306,0.5941878801531877
B136,0.16,0.3442016470175966,0.430607494180371
B136,0.2,0.3526086122166321,0.3124427423593903
B136,0.25,0.4262755208463701,0.20184726289704888
B136,0.3,0.49582405112930006,0.12993917548997522
SMALL484,0.03,0.6080609093319962,2.5923361894956995
SMALL484,0.05,0.6071506740489141,1.8564839209137558
SMALL484,0.08,0.6022150216615152,1.326226704172375
SMALL484,0.12,0.5933819178171029,0.9532664823806938
SMALL484,0.16,0.5838134457732541,0.7400838203941341
SMALL484,0.2,0.5766572130355884,0.599858948272927
SMALL484,0.25,0.5633731049793113,0.46809717977610066
SMALL484,0.3,0.5570205659903209,0.36814500766056796
