band,K,B,mean_abs_err,rms,mean_exact
MAX,20,1,0.1282056102807053,0.25178747348188674,0.10106877942311891
MAX,20,4,0.06642700257179526,0.13363931632158224,0.10106877942311891
MAX,20,16,0.032064400350128384,0.06454277687749602,0.10106877942311891
MAX,20,64,0.015648755020161935,0.030930526808477757,0.10106877942311891
MAX,20,256,0.008160531745048273,0.01603307888882464,0.10106877942311891
MAX,50,1,0.08201052177126533,0.20098817325945265,0.06885912593457673
MAX,50,4,0.040129787687934064,0.1018686070333422,0.06885912593457673
MAX,50,16,0.01845339034134982,0.04601795243293287,0.06885912593457673
MAX,50,64,0.009232517636147302,0.02381799703792097,0.06885912593457673
MAX,50,256,0.005457964165405642,0.014141137724175105,0.06885912593457673
MAX,100,1,0.05417387027312957,0.15690973360103005,0.0509959235409033
MAX,100,4,0.023650178644646386,0.07230699535004845,0.0509959235409033
MAX,100,16,0.013805559300663807,0.04376938102075463,0.0509959235409033
MAX,100,64,0.006621263186280032,0.019798647978432407,0.0509959235409033
MAX,100,256,0.003856961800775467,0.011439883303815408,0.0509959235409033
MAX,200,1,0.03692162528459653,0.13597331560630577,0.031374254757533485
MAX,200,4,0.018989761988532663,0.0730883831586354,0.031374254757533485
MAX,200,16,0.009164751729525657,0.03537241255755197,0.031374254757533485
MAX,200,64,0.00487936477472788,0.01836511063142775,0.031374254757533485
MAX,200,256,0.0021357978676949402,0.007891157487334917,0.031374254757533485
MAX,400,1,0.013691206963674332,0.07925538666342616,0.015565549716590127
MAX,400,4,0.007676584185818603,0.039543144268531207,0.015565549716590127
MAX,400,16,0.0035251137015528543,0.017621920761301573,0.015565549716590127
MAX,400,64,0.0020930743522435493,0.011414791588289787,0.015565549716590127
MAX,400,256,0.0010110680150651344,0.005048601793727584,0.015565549716590127
Q95,20,1,0.1252601427768674,0.2414925543081427,0.10399348406015133
Q95,20,4,0.061271375835778664,0.12001843445492562,0.10399348406015133
Q95,20,16,0.034647094854469346,0.06641221027691342,0.10399348406015133
Q95,20,64,0.017210856788638425,0.03334105433209309,0.10399348406015133
Q95,20,256,0.00871461637307797,0.016971198872493053,0.10399348406015133
Q95,50,1,0.07805204626561404,0.19114930364126723,0.06591842554211265
Q95,50,4,0.03584453644601918,0.09329177580364546,0.06591842554211265
Q95,50,16,0.023696753540798435,0.05683454596848102,0.06591842554211265
Q95,50,64,0.01000078890626048,0.024514841061173406,0.06591842554211265
Q95,50,256,0.005695670676795643,0.01318590591995469,0.06591842554211265
Q95,100,1,0.058710725093795935,0.17049722758425767,0.048246379440667495
Q95,100,4,0.025722399284122534,0.07851650148440145,0.048246379440667495
Q95,100,16,0.015314243793145919,0.044524070621813516,0.048246379440667495
Q95,100,64,0.006239842694044517,0.018358393673298855,0.048246379440667495
Q95,100,256,0.0038269524564181574,0.011448208755339563,0.048246379440667495
Q95,200,1,0.04285522569591698,0.15052876136096413,0.03468798828077787
Q95,200,4,0.021477336940399393,0.07715030993431649,0.03468798828077787
Q95,200,16,0.009646778998352173,0.0320806121931309,0.03468798828077787
Q95,200,64,0.005321513322810266,0.018488391008897674,0.03468798828077787
Q95,200,256,0.0025535887147109418,0.008708136650695135,0.03468798828077787
Q95,400,1,0.02400526738662177,0.10888572906918069,0.02535895973821574
Q95,400,4,0.011781085417397813,0.05397134510300082,0.02535895973821574
Q95,400,16,0.0067826768919847236,0.028556862081986618,0.02535895973821574
Q95,400,64,0.0037861524877379035,0.016277110052436043,0.02535895973821574
Q95,400,256,0.0018110568802392484,0.008294257182716765,0.02535895973821574
