panel,val,bps,S_ew,S_top,C_ew,C_top,dS,dC,dOS,dOC,rev,rev_oos,dial
B136,0.55,0,1.106134381217271,1.0441919792665026,0.08519380386565345,0.10715457867678158,0.06194240195076839,-0.021960774811128125,0.11716420581972953,-0.019386552434255133,True,True,g
B136,0.55,10,1.0260827035396232,0.9415833283341117,0.07858142796014045,0.09557269911032851,0.08449937520551143,-0.01699127115018806,0.13728801660408296,-0.014216165625511534,True,True,g
B136,0.65,0,1.1057853421908845,1.0448333420868847,0.10076735597552156,0.12668920585247,0.060952000103999815,-0.025921849876948455,0.11577966812381402,-0.02275649494364762,True,True,g
B136,0.65,10,1.0261060976531897,0.942401755107913,0.09287764827889688,0.11279264523118604,0.0837043425452767,-0.019914996952289155,0.13610806020965627,-0.01651616014278101,True,True,g
B136,0.75,0,1.1054296734148639,1.0454701923010825,0.11635195735512016,0.14620897388850618,0.059959481113781354,-0.029857016533386016,0.11438840330455458,-0.02606035420328978,True,True,g
B136,0.75,10,1.0261183690583502,0.9431848997615343,0.10716215168162102,0.12992958836952506,0.08293346929681589,-0.02276743668790404,0.1349453882045959,-0.0187067788960531,True,True,g
B136,0.85,0,1.1050671538820822,1.0461025225628564,0.13194143197416808,0.16570094251452128,0.0589646313192258,-0.0337595105403532,0.11299002116462264,-0.029290518805958676,True,True,g
B136,0.85,10,1.0261192135065866,0.9439302341222259,0.1214289032552971,0.14696844186260583,0.08218897938436076,-0.02553953860730873,0.1338030127925942,-0.020778375650907233,True,True,g
B136,1.0,0,1.1045099934782039,1.0470424902551358,0.1553209440248331,0.19485780465491187,0.05746750322306804,-0.039536860630078774,0.11087820133697857,-0.033980704824425834,True,True,g
B136,1.0,10,1.0260978234221485,0.9449768997291139,0.1427821467910242,0.17230965956257882,0.08112092369303459,-0.02952751277155463,0.13212360747632468,-0.023642553668309363,True,True,g
BSTK100,0.55,0,1.0941629146213732,1.0364103773218452,0.10057453299679686,0.11326398673412297,0.057752537299528006,-0.012689453737326106,0.10288877715288203,-0.011000483371376824,True,True,g
BSTK100,0.55,10,1.0236384047854383,0.9452365636406221,0.09355960584301992,0.10227273162940897,0.07840184114481619,-0.008713125786389053,0.12081817002722595,-0.007009196489246694,True,True,g
BSTK100,0.65,0,1.0934356768729758,1.0365594533256717,0.11888542701773663,0.13381027018127845,0.05687622354730415,-0.014924843163541812,0.10156155245309328,-0.012831028839009662,True,True,g
BSTK100,0.65,10,1.023253147101753,0.9455536370742377,0.11049726807474758,0.12061038339665542,0.0776995100275153,-0.01011311532190784,0.11966641285279678,-0.008010253202063389,True,True,g
BSTK100,0.75,0,1.0926815390192868,1.0366881647031916,0.13717411937332047,0.15429839582784632,0.05599337431609519,-0.017124276454525855,0.10022096553626614,-0.014594031950789343,True,True,g
BSTK100,0.75,10,1.0228373951970056,0.9458199036213336,0.12738334929822792,0.13882130950972837,0.07701749157567195,-0.011437960211500453,0.11852701802338605,-0.008907999914866016,True,True,g
BSTK100,0.85,0,1.0918993526009961,1.0367956655291133,0.1554277518586129,0.17470971231415078,0.055103687071882845,-0.019281960455537872,0.09886643556861086,-0.016283209230387063,True,True,g
BSTK100,0.85,10,1.0223896614516035,0.9460316099835284,0.14420528383127684,0.15688460348540878,0.07635805146807506,-0.012679319654131938,0.11740047901526174,-0.009694287455284334,True,True,g
BSTK100,1.0,0,1.0906706883128743,1.036915067403514,0.18271316448987607,0.20514045289780825,0.05375562090936037,-0.022427288407932178,0.09680710424047922,-0.018664710280635877,True,True,g
BSTK100,1.0,10,1.0216541437771602,0.9462501821225723,0.16928915877336181,0.1836576622948387,0.07540396165458796,-0.014368503521476894,0.11572835178732854,-0.010648094362196714,True,True,g
SMALL,0.55,0,0.4364251052824236,0.5690893701620077,0.03867344766996661,0.06524496879642294,-0.13266426487958405,-0.026571521126456332,-0.19223050902968103,-0.0348441755318305,False,False,g
SMALL,0.55,10,0.3355693229916205,0.4487354514663965,0.028476292549199256,0.04937568263628944,-0.11316612847477597,-0.020899390087090186,-0.17354232970818084,-0.02874767515086818,False,False,g
SMALL,0.65,0,0.4362841347169263,0.569554451469128,0.04479434428143514,0.0758515475782755,-0.1332703167522017,-0.031057203296840363,-0.19315065840887663,-0.04088666617426728,False,False,g
SMALL,0.65,10,0.33583769520270385,0.44933555241211076,0.03272016900464059,0.05694711458601853,-0.11349785720940692,-0.024226945581377946,-0.1741728749491372,-0.03352259643234934,False,False,g
