statistic,D,floor_form,spanR_FULL,marginR_FULL,cells_gt1_FULL,spanR_IS,marginR_IS,cells_gt1_IS,spanR_OOS,marginR_OOS,cells_gt1_OOS,order_same,top_same,collapse,OOS_content
PREM_SHARPE,3,POOLED,1.0852096265746574,0.19593418500140022,3,1.5225568713915754,0.42168616006268,3,0.6888758662446379,0.1619234697047821,0,3,6,True,False
PREM_SHARPE,3,RSS,0.6747657983674279,0.17290158380213694,0,1.1682915739133206,0.30379833929274663,3,0.671002673408408,0.17778785204951802,1,3,6,True,False
PREM_SHARPE,6,POOLED,1.2116314952564518,0.21875960527039132,3,1.5808540118238166,0.4378320904731732,3,0.7466042663636094,0.17549279809296842,0,3,6,True,False
PREM_SHARPE,6,RSS,0.9233541844329924,0.15704415840012734,3,1.3664969849354633,0.2806944149230781,3,0.5794797949963225,0.15438395028335689,0,3,6,True,False
PREM_SHARPE,12,POOLED,1.214160067406906,0.2192161380096744,3,1.5900855934603375,0.44038886210171124,3,0.6910626497351411,0.16243748331394753,0,3,6,True,False
PREM_SHARPE,12,RSS,0.777629552312213,0.18675082488936418,3,1.0976603531387372,0.3560427190277925,3,0.5213499804540926,0.13494389101981058,0,3,6,True,False
PREM_SHARPE,24,POOLED,1.2165695403447625,0.21965116743145713,3,1.7895216163128616,0.49562450697978355,5,0.6816052114939377,0.16021446855966015,0,3,6,True,False
PREM_SHARPE,24,RSS,0.7417519706447133,0.2005473402716197,3,1.2116041312422947,0.40883210749535426,3,0.5165939813708593,0.13547455628071822,0,3,6,True,False
PREM_CAGR,3,POOLED,1.0022563079972522,0.42173216737250735,3,1.167527940693293,0.33024349423853305,3,0.5680953053397966,0.20521275610279247,0,6,6,True,False
PREM_CAGR,3,RSS,0.8417717033270535,0.39755633363739606,2,0.8713981563624479,0.2627212145384845,2,0.6357056514271653,0.4264697660375519,2,6,6,True,False
PREM_CAGR,6,POOLED,1.011162247096213,0.4254796329346823,3,1.0280386659864822,0.2907879712635355,3,0.6450595096369708,0.23301449348140812,1,6,6,True,False
PREM_CAGR,6,RSS,0.753889722507401,0.3174861968010169,2,0.7934968952395949,0.18335796738009374,3,0.49180691858062364,0.25231326751179206,1,6,6,True,False
PREM_CAGR,12,POOLED,1.028372055349125,0.43272122341074415,3,1.0062934878903786,0.2846371946122871,3,0.640712260427966,0.2314441390298572,1,6,6,True,False
PREM_CAGR,12,RSS,0.8239635775595273,0.3531808488763539,2,0.7459873501153348,0.218182359029152,2,0.4771812623992935,0.23399283957740136,0,6,6,True,False
PREM_CAGR,24,POOLED,1.0471029301338457,0.4406028524478597,4,1.160895715525548,0.32836752267705394,3,0.6287175340277295,0.22711129057968527,1,6,6,True,False
PREM_CAGR,24,RSS,0.8640186188347422,0.38113729729589896,2,0.8728677552262301,0.2671514747781216,2,0.47233347664479786,0.2353807270348569,0,6,6,True,False
SHARPE,3,POOLED,5.4813480840520175,0.46984437338155666,6,2.743310299251265,0.12805435640396687,6,5.425108085006139,0.6317718650459492,6,6,6,False,True
SHARPE,3,RSS,3.5104896526373124,0.3737310005887471,6,1.8180183976831066,0.09871704034591433,6,2.407479545102773,1.1376997535048128,6,6,6,False,True
SHARPE,6,POOLED,5.202297886772415,0.44592504494768115,6,2.789360149906531,0.13020390689038774,6,5.494562421839212,0.6398600533786081,6,6,6,False,True
