panel,chooser,ladder,rung,n_decidable,note,CAGR,Sharpe,MaxDD,H1,H2,IS_CAGR,IS_Sharpe,IS_MaxDD,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,PASS_4b_full,PASS_4b_oos,PASS_4a
U56,CH_IS,N,40,3,,0.13458962107135175,1.1268612424698448,-0.22984197733835132,1.271594173374019,1.0255837724892403,0.12806181559145302,1.1761930490300028,-0.12581421125997172,0.13999175176293477,1.0985169918082796,-0.22984197733835132,False,False,False
U56,CH_SE,N,5,3,,0.178276605253195,0.9859641986138101,-0.258535970580156,1.1972154954026135,0.8268982116554808,0.18764660078193307,1.1163893761484653,-0.24238284139504873,0.17061858024243115,0.9002766918846121,-0.2585359705801554,False,False,False
U56,CH_SPREAD,N,30,3,,0.14008531207115005,1.1007870781379492,-0.22068524196589911,1.1595569517334936,1.0676672551114448,0.12162381769080799,1.0639169938199005,-0.15324866989529362,0.15551092343024187,1.1329923623078662,-0.22068524196589956,False,False,False
U56,CH_DEC,N,10,3,,0.17124116741964635,1.1125372000857465,-0.20771054445737924,1.247478843180138,1.0033843704590317,0.1641262033737012,1.140620911476732,-0.18868986952427957,0.17713093991346973,1.0954228230619285,-0.20771054445737946,False,False,False
B136,CH_IS,N,8,4,,0.1782211925038646,0.9883520420625724,-0.24535256443898135,1.369320557424036,0.7066621559053999,0.21911842781946667,1.2950986667099715,-0.21002331052310796,0.1455591690419591,0.7866466863657643,-0.24535256443898168,False,False,False
B136,CH_SE,H,63,4,,0.1695140686096932,1.082336942583977,-0.2869481836289933,1.3387285180940438,0.8873528433714876,0.1751728910680972,1.2157937198737896,-0.13655282794379697,0.16487229134834314,0.9960363388880005,-0.28694818362899355,False,False,False
B136,CH_SPREAD,N,5,4,,0.18905908768145907,0.9776027635417431,-0.281238810087446,1.3071352694307312,0.72568322978275,0.23791409235330785,1.2857293644485364,-0.2679179203071377,0.150259915145035,0.7686882215621813,-0.2812388100874458,False,False,False
B136,CH_DEC,H,63,4,,0.1695140686096932,1.082336942583977,-0.2869481836289933,1.3387285180940438,0.8873528433714876,0.1751728910680972,1.2157937198737896,-0.13655282794379697,0.16487229134834314,0.9960363388880005,-0.28694818362899355,False,False,False
SMALL,CH_IS,H,252,0,,0.13356082787910206,0.7843890486901455,-0.37411836270629684,0.9552303423552178,0.641731606248526,0.17011783897963473,0.9832856884938772,-0.30978044126058046,0.11159184725299265,0.6676058493481922,-0.37411836270629684,False,False,False
SMALL,CH_SE,N,8,0,,0.06544326194491723,0.3994715569587979,-0.4398599894390911,0.5015530048747446,0.32275508045492024,0.08743449438424444,0.5140092748370534,-0.33024935697947577,0.052106028949809424,0.3372432648112661,-0.4398599894390902,False,False,False
SMALL,CH_SPREAD,N,8,0,,0.06544326194491723,0.3994715569587979,-0.4398599894390911,0.5015530048747446,0.32275508045492024,0.08743449438424444,0.5140092748370534,-0.33024935697947577,0.052106028949809424,0.3372432648112661,-0.4398599894390902,False,False,False
SMALL,CH_DEC,H,252,0,NO DECIDABLE BOOK — fell back to the whole pool,0.13356082787910206,0.7843890486901455,-0.37411836270629684,0.9552303423552178,0.641731606248526,0.17011783897963473,0.9832856884938772,-0.30978044126058046,0.11159184725299265,0.6676058493481922,-0.37411836270629684,False,False,False
