panel,share,rep,lo,hi,n,rho
BROAD136,0.15,0,0,5.0,157,0.537055305134647
BROAD136,0.15,0,5,10.0,200,0.04545311390311424
BROAD136,0.15,0,10,25.0,604,-0.08522333806478902
BROAD136,0.15,0,25,50.0,1045,-0.02122352857225194
BROAD136,0.15,0,50,100.0,2072,-0.04090300395930341
BROAD136,0.15,0,100,250.0,6148,0.004327716810176517
BROAD136,0.15,0,250,1000000000.0,9674,-0.006368679024489884
BROAD136,0.15,1,0,5.0,164,0.43980797590819626
BROAD136,0.15,1,5,10.0,202,0.18087370832146024
BROAD136,0.15,1,10,25.0,627,0.0804264671245831
BROAD136,0.15,1,25,50.0,993,-0.11943396548499596
BROAD136,0.15,1,50,100.0,2030,-0.005675143290770968
BROAD136,0.15,1,100,250.0,6137,0.017591335087720296
BROAD136,0.15,1,250,1000000000.0,9747,-0.02430819194043974
BROAD136,0.15,2,0,5.0,167,0.4522659476269572
BROAD136,0.15,2,5,10.0,200,-0.017483630332484696
BROAD136,0.15,2,10,25.0,621,-0.14266285720812324
BROAD136,0.15,2,25,50.0,1022,-0.028201333905807015
BROAD136,0.15,2,50,100.0,2002,-0.026559871427102394
BROAD136,0.15,2,100,250.0,6113,0.004030121397713494
BROAD136,0.15,2,250,1000000000.0,9775,-0.0026679855873543968
BROAD136,0.15,3,0,5.0,151,0.506760836954506
BROAD136,0.15,3,5,10.0,204,0.2256762651524744
BROAD136,0.15,3,10,25.0,610,-0.042997650750474195
BROAD136,0.15,3,25,50.0,1036,-0.0693027227623095
BROAD136,0.15,3,50,100.0,2032,0.016293818486242524
BROAD136,0.15,3,100,250.0,6230,-0.026230192616735867
BROAD136,0.15,3,250,1000000000.0,9637,0.0005989835121434451
BROAD136,0.15,4,0,5.0,149,0.2812817362747164
BROAD136,0.15,4,5,10.0,201,0.008994299312049151
BROAD136,0.15,4,10,25.0,627,-0.027578210643261228
BROAD136,0.15,4,25,50.0,1028,-0.05362882213615366
BROAD136,0.15,4,50,100.0,2080,-0.043950249720671006
BROAD136,0.15,4,100,250.0,5994,0.007305560624993273
BROAD136,0.15,4,250,1000000000.0,9821,-0.002410128969002938
BROAD136,0.15,5,0,5.0,154,0.5396086833667817
BROAD136,0.15,5,5,10.0,204,6.68911735418816e-05
BROAD136,0.15,5,10,25.0,562,-0.16973931109468846
BROAD136,0.15,5,25,50.0,1052,-0.041944673003984904
BROAD136,0.15,5,50,100.0,2043,0.018383164282501436
BROAD136,0.15,5,100,250.0,6133,0.0013092944714977802
BROAD136,0.15,5,250,1000000000.0,9752,-0.00914487303377012
BROAD136,0.15,6,0,5.0,165,0.5448254253407836
BROAD136,0.15,6,5,10.0,193,0.030576627110636977
BROAD136,0.15,6,10,25.0,629,-0.04473194154244093
BROAD136,0.15,6,25,50.0,1050,0.03940050536859507
BROAD136,0.15,6,50,100.0,2034,-0.07869889162884297
BROAD136,0.15,6,100,250.0,6115,0.026209290580369454
BROAD136,0.15,6,250,1000000000.0,9714,-0.02153879863560884
BROAD136,0.15,7,0,5.0,183,0.4464109033069253
BROAD136,0.15,7,5,10.0,210,0.023228918829440358
BROAD136,0.15,7,10,25.0,610,-0.0814804528396726
BROAD136,0.15,7,25,50.0,1007,0.03270078324204964
BROAD136,0.15,7,50,100.0,1984,-0.053588276579247314
BROAD136,0.15,7,100,250.0,6121,0.014110177401662087
BROAD136,0.15,7,250,1000000000.0,9785,-0.015313963811368465
BROAD136,0.3,0,0,5.0,170,0.3452859915946073
BROAD136,0.3,0,5,10.0,201,-0.06349849821401553
BROAD136,0.3,0,10,25.0,624,-0.011698179861339305
BROAD136,0.3,0,25,50.0,1033,-0.032483616922420334
BROAD136,0.3,0,50,100.0,2018,-0.009088645833419076
BROAD136,0.3,0,100,250.0,6086,-0.008490579974796434
BROAD136,0.3,0,250,1000000000.0,9768,-0.0035898467339557124
BROAD136,0.3,1,0,5.0,161,0.2796806176050261
BROAD136,0.3,1,5,10.0,187,0.046750300197970655
BROAD136,0.3,1,10,25.0,581,0.04068260173664213
BROAD136,0.3,1,25,50.0,1019,-0.12009718005301948
BROAD136,0.3,1,50,100.0,2067,0.002844122198046494
BROAD136,0.3,1,100,250.0,6190,-0.010013327853283667
BROAD136,0.3,1,250,1000000000.0,9695,0.00011090749067270762
BROAD136,0.3,2,0,5.0,169,0.47471050300547646
BROAD136,0.3,2,5,10.0,220,0.14763389508880706
BROAD136,0.3,2,10,25.0,644,-0.0292353854993945
BROAD136,0.3,2,25,50.0,1018,0.007637898132873642
BROAD136,0.3,2,50,100.0,1988,-0.0069598093420849255
BROAD136,0.3,2,100,250.0,6130,0.00770538753583628
BROAD136,0.3,2,250,1000000000.0,9731,-0.024154891438467777
BROAD136,0.3,3,0,5.0,170,0.24442744222355595
BROAD136,0.3,3,5,10.0,213,0.0003355970043828777
BROAD136,0.3,3,10,25.0,583,-0.17856244236605626
BROAD136,0.3,3,25,50.0,1023,0.05362304651811242
BROAD136,0.3,3,50,100.0,2001,-0.003075190665158576
BROAD136,0.3,3,100,250.0,6156,0.0008674988982782548
BROAD136,0.3,3,250,1000000000.0,9754,-0.009387480697700928
BROAD136,0.3,4,0,5.0,166,0.46969321656373864
BROAD136,0.3,4,5,10.0,210,0.33203896289423873
BROAD136,0.3,4,10,25.0,655,-0.12884699450002687
BROAD136,0.3,4,25,50.0,1022,-0.0676748287978006
BROAD136,0.3,4,50,100.0,2110,-0.0009739196916507989
BROAD136,0.3,4,100,250.0,6005,-0.02461772576859506
BROAD136,0.3,4,250,1000000000.0,9732,0.005728073783528112
BROAD136,0.3,5,0,5.0,157,0.4365789354536496
BROAD136,0.3,5,5,10.0,205,0.19337286880807772
BROAD136,0.3,5,10,25.0,589,-0.08096010850097318
BROAD136,0.3,5,25,50.0,994,-0.13526408628238268
BROAD136,0.3,5,50,100.0,2090,0.02905853633296599
BROAD136,0.3,5,100,250.0,6133,-0.004823334413918003
BROAD136,0.3,5,250,1000000000.0,9732,-0.005877225264638014
BROAD136,0.3,6,0,5.0,180,0.596564257309427
BROAD136,0.3,6,5,10.0,205,0.1354260846259905
BROAD136,0.3,6,10,25.0,603,-0.07778458679645484
BROAD136,0.3,6,25,50.0,1035,-0.04748677288999064
BROAD136,0.3,6,50,100.0,1988,0.06440213589530337
BROAD136,0.3,6,100,250.0,6155,0.0020727493601215385
BROAD136,0.3,6,250,1000000000.0,9734,-0.028752847375799622
BROAD136,0.3,7,0,5.0,162,0.5558582049477052
BROAD136,0.3,7,5,10.0,205,-0.18172130879564724
BROAD136,0.3,7,10,25.0,650,-0.06709187184103287
BROAD136,0.3,7,25,50.0,1012,-0.03905291559377542
BROAD136,0.3,7,50,100.0,2052,0.024957633483566513
BROAD136,0.3,7,100,250.0,6150,-5.427300452863417e-05
BROAD136,0.3,7,250,1000000000.0,9669,-0.01246707814161504
BROAD136,0.5,0,0,5.0,179,0.2755510458762866
BROAD136,0.5,0,5,10.0,214,-0.22000865027807584
BROAD136,0.5,0,10,25.0,622,0.034247568573576775
BROAD136,0.5,0,25,50.0,979,-0.018943361706600284
BROAD136,0.5,0,50,100.0,2031,-0.002804548810267711
BROAD136,0.5,0,100,250.0,6162,-0.017428854568950485
BROAD136,0.5,0,250,1000000000.0,9713,0.0008333591983091185
BROAD136,0.5,1,0,5.0,154,0.40595184635308995
BROAD136,0.5,1,5,10.0,202,-0.037719276399480466
BROAD136,0.5,1,10,25.0,580,-0.06931853976759163
BROAD136,0.5,1,25,50.0,1042,-0.04370801903275751
BROAD136,0.5,1,50,100.0,2029,-0.008100290406680522
BROAD136,0.5,1,100,250.0,6158,-0.011292078819803184
BROAD136,0.5,1,250,1000000000.0,9735,0.0017281282998621908
BROAD136,0.5,2,0,5.0,165,0.2553667896710569
BROAD136,0.5,2,5,10.0,212,0.011575911572697465
BROAD136,0.5,2,10,25.0,600,0.02860070118658964
BROAD136,0.5,2,25,50.0,1048,0.038315231696881544
BROAD136,0.5,2,50,100.0,2035,0.019285479753445352
BROAD136,0.5,2,100,250.0,6093,-0.017010528143823103
BROAD136,0.5,2,250,1000000000.0,9747,-0.01410743822687689
BROAD136,0.5,3,0,5.0,172,0.2210674881020464
BROAD136,0.5,3,5,10.0,199,-0.05048181605130506
BROAD136,0.5,3,10,25.0,590,-0.08305342615716392
BROAD136,0.5,3,25,50.0,1037,-0.05595607418318392
BROAD136,0.5,3,50,100.0,2104,0.031231457529435274
BROAD136,0.5,3,100,250.0,6165,-0.0016767975600007728
BROAD136,0.5,3,250,1000000000.0,9633,-0.007923106600558588
BROAD136,0.5,4,0,5.0,156,0.3916157437198307
BROAD136,0.5,4,5,10.0,214,0.10955433220741209
BROAD136,0.5,4,10,25.0,600,-0.0741013169327096
BROAD136,0.5,4,25,50.0,1067,-0.010816741207225148
BROAD136,0.5,4,50,100.0,2019,-0.027705774730525146
BROAD136,0.5,4,100,250.0,6179,0.0036972297015906833
BROAD136,0.5,4,250,1000000000.0,9665,-0.009874977054334544
BROAD136,0.5,5,0,5.0,165,0.3008978287136202
BROAD136,0.5,5,5,10.0,207,-0.045959552431559095
BROAD136,0.5,5,10,25.0,610,-0.025385709603052777
BROAD136,0.5,5,25,50.0,1009,-0.0506587268368428
BROAD136,0.5,5,50,100.0,2055,0.0122457885105787
BROAD136,0.5,5,100,250.0,6108,0.005209660381308776
BROAD136,0.5,5,250,1000000000.0,9746,-0.013392189323461038
BROAD136,0.5,6,0,5.0,159,0.33926856991569976
BROAD136,0.5,6,5,10.0,202,0.22853191878533727
BROAD136,0.5,6,10,25.0,621,-0.006136242009287401
BROAD136,0.5,6,25,50.0,1035,-0.09983375470569628
BROAD136,0.5,6,50,100.0,2101,0.05308290954744024
BROAD136,0.5,6,100,250.0,6107,-0.01184783910634183
BROAD136,0.5,6,250,1000000000.0,9675,-0.013657989389128029
BROAD136,0.5,7,0,5.0,197,0.3590709935587339
BROAD136,0.5,7,5,10.0,199,0.24282731702208848
BROAD136,0.5,7,10,25.0,606,0.08151051204088196
BROAD136,0.5,7,25,50.0,1030,-0.04597156672246444
BROAD136,0.5,7,50,100.0,2120,-0.005653040784092603
BROAD136,0.5,7,100,250.0,6125,-0.0273624933845814
