k,d2_exact,d2_mc,vs_k2,vs_k4
2,1.128379,1.1297013141757077,1.0,0.5480891083963044
3,1.692569,1.6945814113546651,1.5000004431135283,0.8221339054601552
4,2.058751,2.0608847390229412,1.8245208391861245,1.0
5,2.325929,2.3267184905776,2.0613012117382543,1.1297767432778416
6,2.534413,2.5351315753115613,2.2460653734250635,1.2310439679203555
7,2.704357,2.705299878180239,2.3966743443470677,1.3135911045094817
8,2.847201,2.8484311413098884,2.5232665620327923,1.3829749202307613
9,2.970026,2.9707124020929903,2.6321174002706536,1.442634879108741
10,3.077505,3.077759023856482,2.7273681980965616,1.4948408039631795
11,3.172873,3.173472348562118,2.8118859000389054,1.5411640358644634
12,3.258457,3.2585084856598963,2.8877327564586013,1.5827348717741971
