source,commit,commit_iso,claim_csvs,snippet,truth_NONE,relerr_NONE,exact_NONE,truth_DATE_AT,relerr_DATE_AT,exact_DATE_AT,truth_DATE_PARENT,relerr_DATE_PARENT,exact_DATE_PARENT,best_scope,best_relerr
2026-09-05_is-the-book-size-floor-a-corpus-wide-clause_C.result.md,654e24d9,2026-09-05T22:51:07+00:00,497,".  Coverage is the census's real limitation, and it is severe: 480 of 497 CSVs are unusable, almost all because `n` is",5027,0.9011338770638552,False,513,0.031189083820662766,False,507,0.01972386587771203,False,DATE_PARENT,0.01972386587771203
2026-09-06_does-the-sharpe-cagr-reversal-sit-under-every-EWall-claim_C.result.md,f6f838cf,2026-09-06T11:50:10+00:00,771,c column only.  ---  ## Leg A — the census (the queue's literal ask)  771 committed CSVs scanned (`.csv` and `.csv.gz`; this run,5027,0.8466282076785359,False,776,0.006443298969072165,False,771,0.0,True,DATE_PARENT,0.0
2026-09-06_quote-every-n-argmax-with-its-saturation-share_cloud.result.md,401fce6b,2026-09-06T05:51:13+00:00,648,"xes are at or past saturation  Mechanical, not read out of prose: all 648 committed CSVs in `research/backtests/` were scanned;",5027,0.8710960811617267,False,674,0.03857566765578635,False,666,0.02702702702702703,False,DATE_PARENT,0.02702702702702703
2026-09-06_the-anchor-position-column_B.result.md,439e7f13,2026-09-06T01:31:38+00:00,570,hem.  ## Deliverable 2 — the back-fill (the count idea 183 asks for)  570 committed CSVs; 243 carry an OOS Sharpe column; 29 fil,5027,0.8866122936144818,False,591,0.03553299492385787,False,582,0.020618556701030927,False,DATE_PARENT,0.020618556701030927
2026-09-07_does-the-IS-SPREAD-screen-retire-the-rho-based-chooser-verdicts_B.result.md,c306cb14,2026-09-07T07:47:55+00:00,169,"from 225 live grids; here: 12,724 one-dial slices reconstructed from 169 committed CSVs, plus 72 exact live cells) and agree on",5027,0.9663815396856973,False,1123,0.8495102404274265,False,1116,0.8485663082437276,False,DATE_PARENT,0.8485663082437276
2026-09-07_does-the-IS-SPREAD-screen-retire-the-rho-based-chooser-verdicts_B.result.md,c306cb14,2026-09-07T07:47:55+00:00,1078,"tistic the queue proposes to screen by. - [B] Record archaeology. All 1,078 committed CSVs; 169 carry IS Sharpe + OOS Sharpe + OOS",5027,0.7855579868708972,False,1123,0.04007123775601069,False,1116,0.034050179211469536,False,DATE_PARENT,0.034050179211469536
2026-09-07_does-the-NUMERAIRE-clause-screen-the-queues-open-overlay-ideas_C.result.md,376aabb4,2026-09-07T08:40:36+00:00,1108,"a non-numeric arm column, grouped on whitelisted axis columns); 32 of 1,108 CSVs qualify, three pairs of them commit the",5027,0.7795902128506067,False,1139,0.027216856892010536,False,1132,0.02120141342756184,False,DATE_PARENT,0.02120141342756184
2026-09-07_does-the-ceiling-invert-BECAUSE-of-de-grossing_cloud.result.md,e1b7ff71,2026-09-07T12:57:42+00:00,137,"d and lets one script outvote the whole record.  With dumps excluded: 137 CSVs, 70,411 rows (26,950 of them, 38.3%, ca",5027,0.9727471653073404,False,1261,0.8913560666137986,False,1251,0.8904876099120703,False,DATE_PARENT,0.8904876099120703
2026-09-07_does-the-informative-cell-restriction-change-any-published-share_cloud.result.md,8616c2c6,2026-09-07T21:57:58+00:00,64,"se is not an equality anybody can trade.  ## [B] The degeneracy map — 64 CSVs, 196 predicates  | group kind | predica",5027,0.9872687487567138,False,1480,0.9567567567567568,False,1476,0.9566395663956639,False,DATE_PARENT,0.9566395663956639
2026-09-07_is-the-0-bps-to-10-bps-cliff-the-real-killer_cloud.result.md,f8d6e656,2026-09-07T08:57:29+00:00,1108,"re any return is scored).  Then the record contradicts it. 117 of the 1,108 committed CSVs carry both a turnover column and a full",5027,0.7795902128506067,False,1148,0.03484320557491289,False,1139,0.027216856892010536,False,DATE_PARENT,0.027216856892010536
