file,panels,n_panels,explains,explains_tight,publishes_n_elig,publishes_k,known_panels,Ebar_gap,k_gap,separable
2026-09-04_52w-high-proximity_C.result.md,U56;B136,2,True,True,False,False,U56;B136,53.21619475295946,80.0,False
2026-09-04_abs-momentum-filter_C.result.md,U56;B136,2,True,True,False,False,U56;B136,53.21619475295946,80.0,False
2026-09-04_asset-class-dispersion_B.result.md,U56;B136;BSTK100;ETF36,4,True,True,True,False,U56;B136,53.21619475295946,80.0,False
2026-09-04_broad-H2-binding-bar_cloud.result.md,U56;B136,2,True,False,False,False,U56;B136,53.21619475295946,80.0,False
2026-09-04_core-sleeve-walk-forward-repair_B.result.md,U56;B136,2,True,True,False,False,U56;B136,53.21619475295946,80.0,False
2026-09-04_cost-sensitivity_cloud.result.md,U56;B136,2,False,False,False,False,U56;B136,53.21619475295946,80.0,False
2026-09-04_crypto-sleeve_C.result.md,U56;B136,2,True,True,False,True,U56;B136,53.21619475295946,80.0,False
2026-09-04_defensive-sleeve_cloud.result.md,U56;B136,2,False,False,False,False,U56;B136,53.21619475295946,80.0,False
2026-09-04_drawdown-control_C.result.md,U56;B136,2,False,False,False,True,U56;B136,53.21619475295946,80.0,False
2026-09-04_drawdown-insurance-price-list_B.result.md,U56;B136,2,True,False,False,True,U56;B136,53.21619475295946,80.0,False
2026-09-04_earnings-season-avoidance_cloud.result.md,U56;B136,2,False,False,False,False,U56;B136,53.21619475295946,80.0,False
2026-09-04_eligible-fraction-vs-n_B.result.md,U56;B136,2,False,False,False,False,U56;B136,53.21619475295946,80.0,False
2026-09-04_ensemble-plus-momentum_C.result.md,U56;B136,2,True,True,False,False,U56;B136,53.21619475295946,80.0,False
2026-09-04_exit-schedule-vs-entry-schedule_cloud.result.md,U56;B136,2,False,False,False,False,U56;B136,53.21619475295946,80.0,False
2026-09-04_gross-exposure-is-the-error_B.result.md,U56;B136,2,True,True,False,False,U56;B136,53.21619475295946,80.0,False
2026-09-04_gross-matched-turnover-constraints_B.result.md,U56;B136,2,False,False,False,True,U56;B136,53.21619475295946,80.0,False
2026-09-04_interior-4b-selection_cloud.result.md,U56;B136,2,True,False,False,False,U56;B136,53.21619475295946,80.0,False
2026-09-04_is-window-has-no-crash_C.result.md,U56;B136,2,True,False,False,False,U56;B136,53.21619475295946,80.0,False
2026-09-04_lookback-blend_C.result.md,U56;B136,2,False,False,False,False,U56;B136,53.21619475295946,80.0,False
2026-09-04_lookback-candidate-cost-and-lag_cloud.result.md,U56;B136,2,False,False,False,False,U56;B136,53.21619475295946,80.0,False
2026-09-04_momentum-plus-quality-proxy_cloud.result.md,U56;B136,2,False,False,False,True,U56;B136,53.21619475295946,80.0,False
2026-09-04_monthly-seasonality_cloud.result.md,U56;B136,2,True,False,False,False,U56;B136,53.21619475295946,80.0,False
2026-09-04_one-year-leverage-audit_cloud.result.md,U56;B136,2,False,False,False,False,U56;B136,53.21619475295946,80.0,False
2026-09-04_position-count.result.md,U56;B136,2,True,False,False,False,U56;B136,53.21619475295946,80.0,False
2026-09-04_prox-inverted-signal_cloud.result.md,U56;B136,2,False,False,False,False,U56;B136,53.21619475295946,80.0,False
2026-09-04_rebalance-freq_cloud.result.md,U56;B136,2,True,False,False,False,U56;B136,53.21619475295946,80.0,False
2026-09-04_sector-only-universe_C.result.md,U56;B136;BSTK100;ETF36,4,True,False,False,False,U56;B136,53.21619475295946,80.0,False
2026-09-04_selectability-pre-test_cloud.result.md,U56;B136,2,False,False,False,True,U56;B136,53.21619475295946,80.0,False
2026-09-04_sharpe-bound-book-change_cloud.result.md,U56;B136,2,True,False,False,True,U56;B136,53.21619475295946,80.0,False
2026-09-04_small-cap-momentum-clean_cloud.result.md,U56;B136;SMALL439,3,False,False,False,False,U56;B136;SMALL439,105.38441200700237,384.0,False
2026-09-04_third-universe-portability_B.result.md,U56;B136;SMALL439,3,False,False,False,False,U56;B136;SMALL439,105.38441200700237,384.0,False
2026-09-04_trend-gate-as-drawdown-insurance_B.result.md,U56;B136,2,False,False,False,True,U56;B136,53.21619475295946,80.0,False
2026-09-04_trend-gate-lookback-primary_cloud.result.md,U56;B136,2,False,False,False,True,U56;B136,53.21619475295946,80.0,False
2026-09-04_turnover-budget_B.result.md,U56;B136,2,False,False,False,True,U56;B136,53.21619475295946,80.0,False
2026-09-04_vol-cap-as-a-satellite-clause_B.result.md,U56;B136,2,True,True,False,False,U56;B136,53.21619475295946,80.0,False
2026-09-04_which-4b-bar-binds_B.result.md,U56;B136,2,True,False,False,True,U56;B136,53.21619475295946,80.0,False
2026-09-05_2011-the-opposite-outlier_C.result.md,U56;B136,2,True,False,False,False,U56;B136,53.21619475295946,80.0,False
2026-09-05_2013-as-the-IS-windows-single-point-of-failure_C.result.md,U56;B136,2,True,False,False,False,U56;B136,53.21619475295946,80.0,False
2026-09-05_absorbing-state-audit_B.result.md,U56;B136,2,False,False,False,True,U56;B136,53.21619475295946,80.0,False
2026-09-05_abstention-is-the-only-thing-that-ever-helps_cloud.result.md,U56;B136;SMALL439,3,True,False,False,False,U56;B136;SMALL439,105.38441200700237,384.0,False
2026-09-05_audit-every-committed-null-for-a-salted-seed_C.result.md,U56;SMALL439,2,False,False,False,True,U56;SMALL439,105.38441200700237,384.0,False
2026-09-05_back-fill-the-swapped-coefficient-audit_B.result.md,U56;B136,2,True,False,False,True,U56;B136,53.21619475295946,80.0,False
2026-09-05_band-width-at-g085_cloud.result.md,U56;B136,2,False,False,False,True,U56;B136,53.21619475295946,80.0,False
2026-09-05_cagr-floor-calibration_B.result.md,U56;B136,2,False,False,False,False,U56;B136,53.21619475295946,80.0,False
2026-09-05_cagr-floor-constrained-selector_cloud.result.md,U56;B136,2,True,False,False,True,U56;B136,53.21619475295946,80.0,False
2026-09-05_candidate-count-vs-dispersion_B.result.md,U56;B136,2,True,False,True,True,U56;B136,53.21619475295946,80.0,False
2026-09-05_clause-11b-draw-count-by-enumeration_cloud.result.md,U56;SMALL439,2,False,False,False,True,U56;SMALL439,105.38441200700237,384.0,False
2026-09-05_crisis-beta-as-the-pre-registrable-selector_C.result.md,U56;B136,2,True,False,False,False,U56;B136,53.21619475295946,80.0,False
2026-09-05_crisis-depth-as-the-price-denominator_B.result.md,U56;B136;SMALL439,3,True,True,False,False,U56;B136;SMALL439,105.38441200700237,384.0,False
2026-09-05_de-gross-vs-reweight-across-gates_cloud.result.md,U56;B136;SMALL439,3,False,False,False,False,U56;B136;SMALL439,105.38441200700237,384.0,False
