rule,window,n,exact,share_exact,over,under
R_NOUN,IS,21,2,0.09523809523809523,0,19
R_NOUN,OOS,4,3,0.75,0,1
R_NEAREST,IS,111,36,0.32432432432432434,16,59
R_NEAREST,OOS,36,19,0.5277777777777778,3,14
R_MAXART,IS,111,6,0.05405405405405406,2,103
R_MAXART,OOS,36,1,0.027777777777777776,0,35
