panel,kind,ladder,q,draw,k,Ebar,breadth,Emed,Ebar_IS,breadth_IS,selectivity20,EW_Sharpe,EW_OOS_Sharpe,ADAPT_Sharpe,S1_rho_n_OOS,S2_overlap,S3_reversal,S4_argmax_n,S5_fix_minus_adapt,best_prem,spy_OOS_S,spy_OOS_CAGR,spy_OOS_DD,v2_OOS_S,v2_OOS_CAGR,v2_OOS_DD
U56,named,full,0.0,,55.0,36.14209401709402,0.6571289821289822,40.0,34.41860465116279,0.6257928118393236,0.5533713677613882,1.0494591387986694,1.1090118579135833,1.013650867905443,1.0,0.7982968369829684,0.8666666666666667,40.0,0.08186746907630393,0.07244176938527991,0.872122672456382,0.15237187725667578,-0.33717256775620263,1.283477959645955,0.09304248036450669,-0.11686570684742059
U56,named,lad,0.0,,55.0,36.14209401709402,0.6571289821289822,40.0,34.41860465116279,0.6257928118393236,0.5533713677613882,1.0494591387986694,1.1090118579135833,1.013650867905443,0.9999999999999999,0.7982968369829684,0.8,30.0,0.08186746907630393,0.06695944558929523,0.872122672456382,0.15237187725667578,-0.33717256775620263,1.283477959645955,0.09304248036450669,-0.11686570684742059
B136,named,full,0.0,,135.0,89.35828877005348,0.6619132501485443,98.0,86.76279069767442,0.6426873385012919,0.22381807301017353,1.0278772028988117,1.0197977090316812,0.8503208289428925,1.0,0.5755839822024472,1.0,40.0,0.10889638644132271,-0.025888714263377244,0.8820239235972316,0.1545044425578177,-0.3371595330739301,1.1206256094912124,0.07923708287380316,-0.12089929066527871
B136,named,lad,0.0,,135.0,89.35828877005348,0.6619132501485443,98.0,86.76279069767442,0.6426873385012919,0.22381807301017353,1.0278772028988117,1.0197977090316812,0.8503208289428925,0.9999999999999999,0.5755839822024472,1.0,30.0,0.10889638644132271,-0.05761035544131443,0.8820239235972316,0.1545044425578177,-0.3371595330739301,1.1206256094912124,0.07923708287380316,-0.12089929066527871
BSTK100,named,full,0.0,,100.0,66.17433155080214,0.6617433155080215,72.0,64.56511627906977,0.6456511627906977,0.3022319913370937,1.0228373951970056,1.0095999331099443,0.9572515591899007,0.942857142857143,0.7017357222844346,0.9333333333333333,40.0,0.045797966311981186,0.0138877253759766,0.8820239235972316,0.1545044425578177,-0.3371595330739301,1.1403815423349781,0.08799248238836488,-0.12756222828417896
BSTK100,named,lad,0.0,,100.0,66.17433155080214,0.6617433155080215,72.0,64.56511627906977,0.6456511627906977,0.3022319913370937,1.0228373951970056,1.0095999331099443,0.9572515591899007,0.8999999999999998,0.7017357222844346,0.9,30.0,0.045797966311981186,0.0004983749241289637,0.8820239235972316,0.1545044425578177,-0.3371595330739301,1.1403815423349781,0.08799248238836488,-0.12756222828417896
ETF36,named,full,0.0,,35.0,23.183957219251337,0.6623987776928953,26.0,22.197674418604652,0.6342192691029901,0.8626654979932648,0.6281241511695829,0.6671024032211856,0.6315573029712007,0.8285714285714287,0.91811797752809,0.5333333333333333,20.0,0.1733170952687375,0.17675024707035536,0.8820239235972316,0.1545044425578177,-0.3371595330739301,0.9255395608675551,0.05255771905851825,-0.09915953544983391
ETF36,named,lad,0.0,,35.0,23.183957219251337,0.6623987776928953,26.0,22.197674418604652,0.6342192691029901,0.8626654979932648,0.6281241511695829,0.6671024032211856,0.6315573029712007,0.9999999999999999,0.91811797752809,0.5,20.0,0.1733170952687375,0.17675024707035536,0.8820239235972316,0.1545044425578177,-0.3371595330739301,0.9255395608675551,0.05255771905851825,-0.09915953544983391
SMALL439,named,full,1.0,,439.0,141.5265060240964,0.3223838406015863,149.0,134.43076923076924,0.30622043104958824,0.14131628457353979,0.33611343420604756,0.29095981782086194,0.3742554783896291,-0.08571428571428573,0.4010493827160494,0.13333333333333333,15.0,0.09806246992535916,0.16276400993738976,0.8820106885412021,0.15450723909089636,-0.33717256775620263,0.5664770405739927,0.03828296062081327,-0.14664882144700353
SMALL439,named,lad,1.0,,439.0,141.5265060240964,0.3223838406015863,149.0,134.43076923076924,0.30622043104958824,0.14131628457353979,0.33611343420604756,0.29095981782086194,0.3742554783896291,0.0,0.4010493827160494,0.1,15.0,0.09806246992535916,0.16276400993738976,0.8820106885412021,0.15450723909089636,-0.33717256775620263,0.5664770405739927,0.03828296062081327,-0.14664882144700353
