CAGR,Sharpe,MaxDD,H1,H2,IS_Sharpe,IS_CAGR,IS_MaxDD,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,turnover,panel,form,cadence,family,dial,clause,L_H1,L_H2,L_OOS,L_DD,L_CAGR,fail4b,keep4b,keep4a,IS_keep4b,IS_fail4b,dd_gain_pp,cagr_cost_pp,cash_edge_pp,IS_cash_edge_pp
0.13269560660401059,1.124034686997564,-0.22525886233200354,1.1901342806780089,1.071956590475289,1.1099709031695586,0.12609224208057568,-0.12568104798771695,0.13817416449485576,1.1357456546242786,-0.22525886233200332,0.8284430238501934,U56,EWall,W,PARENT,,PARENT,True,True,True,False,True,DD,False,False,True,-,0.0,0.0,,
0.13286142526195843,1.1339938764798247,-0.2227698341888874,1.1889932188558443,1.0907049643719569,1.108792032182628,0.12536250663725856,-0.12771877645441476,0.13908750259613956,1.1542484119818377,-0.22276983418888785,0.4055213977212259,U56,EWall,M,PARENT,,PARENT,True,True,True,False,True,DD,False,False,True,-,0.0,0.0,,
0.11550771620309908,1.0909448611053358,-0.1864741894557631,1.1669196683757839,1.0365733966172206,1.066932666323839,0.10494971965028954,-0.10874846622664192,0.1242966053625254,1.1117899810925378,-0.186474189455763,7.615898659704117,U56,MA-RS,W,PARENT,,PARENT,True,True,True,True,True,-,True,False,True,-,0.0,0.0,,
0.12590833694454684,1.1579560633273787,-0.18229398064920188,1.2077970846804917,1.1233316085976048,1.1114935357325566,0.11339090389868112,-0.11499486714070806,0.13634422658955447,1.1949871159552083,-0.18229398064920166,3.2685636350802776,U56,MA-RS,M,PARENT,,PARENT,True,True,True,True,True,-,True,False,True,-,0.0,0.0,,
0.08202499557346865,1.1711892239349373,-0.12011678946550997,1.1807377701241404,1.1652018483140811,1.0547592043963379,0.07117769371461646,-0.08704820115807743,0.09105937600673375,1.2628708846048204,-0.12011678946550941,3.1357132278661237,U56,MA-DG,W,PARENT,,PARENT,True,True,True,True,False,CAGR,False,False,False,CAGR,0.0,0.0,,
0.08918013849500595,1.2109309112931348,-0.11826656744906439,1.247417289237737,1.177864390310612,1.1336997574202268,0.08244094324380313,-0.07865432570339548,0.09477322578030067,1.2736037585503377,-0.11826656744906427,1.4893742676747808,U56,MA-DG,M,PARENT,,PARENT,True,True,True,True,False,CAGR,False,False,False,CAGR,0.0,0.0,,
0.15115175634983213,1.150931584616023,-0.21957623947937355,1.2531221244109128,1.084056410596295,1.1694706057869717,0.1372935606677883,-0.11227801812260618,0.16271527602584457,1.1466167496502144,-0.21957623947937355,9.457052008270985,U56,TOP20,W,PARENT,,PARENT,True,True,True,False,True,DD,False,False,True,-,0.0,0.0,,
0.1675650169024827,1.2327511007663423,-0.21458141612318882,1.3115262878026654,1.1825990187716313,1.216636508198307,0.14859827268278258,-0.11884772029741641,0.18345291528966157,1.2515199315829921,-0.21458141612318893,4.023409550465727,U56,TOP20,M,PARENT,,PARENT,True,True,True,False,True,DD,False,False,True,-,0.0,0.0,,
0.16356515508676295,1.0538374418409473,-0.2327532357895029,1.1293140341317227,1.0103929534259544,1.0872942644638797,0.14842314948121804,-0.1368842007403479,0.1762112931088209,1.0419845213821293,-0.23275323578950258,13.457509955237217,U56,TOP10,W,PARENT,,PARENT,True,True,True,False,True,DD,False,False,False,"H1,DD",0.0,0.0,,
0.1865934901610058,1.1407896386946699,-0.2503140393393257,1.3276647504150145,1.0127139252893358,1.3000257779149187,0.19028393749882566,-0.15306562119731992,0.18355657972346218,1.0455236511013521,-0.25031403933932583,5.689573205429617,U56,TOP10,M,PARENT,,PARENT,True,True,True,False,True,DD,False,False,False,DD,0.0,0.0,,
0.14355726018656934,1.108366720424408,-0.21368382764560445,1.1949452007738772,1.0551427410794225,1.1045397866564188,0.1267164703852024,-0.11879662736232077,0.15764447923511438,1.1199361189157533,-0.21368382764560478,10.325313288422647,U56,MA20,W,PARENT,,PARENT,True,True,True,False,True,DD,False,False,False,H1,0.0,0.0,,
0.1621378309296151,1.2015130353975967,-0.21458141612318904,1.2691341186118505,1.1619259897861578,1.1692423645207373,0.14046825359730786,-0.11933404734592878,0.18033033081177674,1.2320596099073853,-0.2145814161231887,4.360899054566986,U56,MA20,M,PARENT,,PARENT,True,True,True,False,True,DD,False,False,True,-,0.0,0.0,,
0.14157411947237497,1.1219549467170122,-0.2537106610635025,1.2311809584625346,1.0240240275629424,1.1458535010857958,0.144292388435302,-0.15327717788034978,0.13933574083806333,1.1022031339130582,-0.2537106610635026,0.8657057588560485,B136,EWall,W,PARENT,,PARENT,True,True,True,False,True,DD,False,False,False,DD,0.0,0.0,,
0.1403118949199531,1.1223215296797844,-0.24997108761675657,1.2242984600783362,1.0295928583140237,1.1378972590708734,0.14261791672873514,-0.1544418908517492,0.13841236352628794,1.1092258920060423,-0.24997108761675657,0.4244324634756839,B136,EWall,M,PARENT,,PARENT,True,True,True,False,True,DD,False,False,False,DD,0.0,0.0,,
0.11637443421605997,1.056627234650641,-0.20122396720949698,1.1576062671159508,0.9695425892777702,1.0469183215657092,0.1125363260274177,-0.11241891236789026,0.11955179067759225,1.064516105449877,-0.2012239672094971,7.843664828304625,B136,MA-RS,W,PARENT,,PARENT,True,True,True,True,True,-,True,False,True,-,0.0,0.0,,
0.12427283151947832,1.0944102136113205,-0.21789078167135778,1.1957261093753282,1.0104315249675984,1.0879991134479157,0.11916159461626896,-0.1097797071435378,0.12850843892665886,1.1001206042656517,-0.21789078167135734,3.4699278000336458,B136,MA-RS,M,PARENT,,PARENT,True,True,True,False,True,DD,False,False,True,-,0.0,0.0,,
0.07779602544784181,1.0937126762113742,-0.12616421510282394,1.1983302829088325,0.9903722064445416,1.0567522861186438,0.07668998872872757,-0.07942891087199377,0.07870963426528443,1.1257193251059632,-0.12616421510282372,3.3226790083358653,B136,MA-DG,W,PARENT,,PARENT,True,True,True,True,False,CAGR,False,False,False,CAGR,0.0,0.0,,
0.08429619745840466,1.1332694244105408,-0.12272861238799748,1.2440727155640248,1.0210519566435126,1.1128506113961334,0.0857763522401298,-0.07852082245707914,0.08307622438435969,1.1523520140846,-0.12272861238799715,1.591042987642449,B136,MA-DG,M,PARENT,,PARENT,True,True,True,True,False,CAGR,False,False,False,CAGR,0.0,0.0,,
0.1477892697320875,0.9859490440414309,-0.2400321713910687,1.1610631804660634,0.8526943573501743,1.0732919398158176,0.14836261392069283,-0.1309724051297897,0.14731633492199347,0.9298071807761868,-0.24003217139106858,13.432907234929457,B136,TOP20,W,PARENT,,PARENT,True,True,True,False,True,DD,False,False,True,-,0.0,0.0,,
0.17565455931897356,1.1097376523731672,-0.2545753734411724,1.375169105038217,0.9111697292319785,1.2882619117571756,0.18692406245798665,-0.12385863300631939,0.16643507006204405,0.9947124553316803,-0.2545753734411724,5.9005424991227455,B136,TOP20,M,PARENT,,PARENT,True,True,True,False,True,DD,False,False,True,-,0.0,0.0,,
0.17365599911553242,0.973463793034821,-0.2601489005608494,1.2684425308301506,0.770307192097475,1.198118928287248,0.19081088390224799,-0.15251112318516247,0.15968527022621437,0.8407615347658991,-0.26014890056084916,16.019403667956528,B136,TOP10,W,PARENT,,PARENT,True,False,False,False,True,"H2,OOS,DD",False,False,False,DD,0.0,0.0,,
0.19929375220646817,1.066370299791102,-0.285113189138005,1.3308219562194765,0.895315277989764,1.2647079414173896,0.20613888572491978,-0.15443232788394157,0.1936740957920351,0.9568759646670967,-0.28511318913800476,7.07236477261205,B136,TOP10,M,PARENT,,PARENT,True,True,True,False,True,DD,False,False,False,DD,0.0,0.0,,
0.14798759856865118,0.9902185996262249,-0.2400321713910687,1.166964081095393,0.8559539771001323,1.0791799102753667,0.14858875016403084,-0.1309724051297898,0.14749173716132935,0.9331677669795392,-0.24003217139106858,13.527073128226238,B136,MA20,W,PARENT,,PARENT,True,True,True,False,True,DD,False,False,True,-,0.0,0.0,,
0.17413280748286786,1.1033392511056574,-0.25457537344117276,1.3677881777847731,0.9065889811078137,1.2797566210046156,0.1846703018044138,-0.12385863300631994,0.1655074031574022,0.990481313278919,-0.2545753734411724,5.969624926048395,B136,MA20,M,PARENT,,PARENT,True,True,True,False,True,DD,False,False,True,-,0.0,0.0,,
0.1018177783174512,0.678135269658678,-0.3616637358208413,0.7970199840580422,0.6139801956312066,0.7737298887497327,0.10331123381065299,-0.21882785690658313,0.10089643214031607,0.6366624355474833,-0.36166373582084044,1.7409003477225007,SMALL439,EWall,W,PARENT,,PARENT,False,False,False,False,True,"H1,H2,OOS,DD",False,False,False,"H2,OOS,DD",0.0,0.0,,
0.09756071669611144,0.6606192319497557,-0.3476061094999652,0.7766615946286013,0.5963665514200113,0.7449694246548504,0.09823922463938772,-0.22303220453981942,0.09714188049160621,0.6238458517363085,-0.3476061094999645,0.8862315721152745,SMALL439,EWall,M,PARENT,,PARENT,False,False,False,False,False,"H1,H2,OOS,DD,CAGR",False,False,False,"H2,OOS,DD",0.0,0.0,,
0.06478682046825734,0.5033872943946726,-0.38239943767382534,0.49768164644656343,0.5177740654303229,0.44644038405104564,0.050305673513820315,-0.20539528479235092,0.07382991597741184,0.535474046054103,-0.3823994376738248,10.338000682036554,SMALL439,MA-RS,W,PARENT,,PARENT,False,False,False,False,False,"H1,H2,OOS,DD,CAGR",False,False,False,"H1,H2,OOS,DD,CAGR",0.0,0.0,,
0.08615983450417919,0.630662780588819,-0.39436414443317025,0.6772390202992641,0.6105560088607724,0.6347043333520427,0.07670120470259123,-0.18393890441633232,0.09204293125107355,0.6329681136360448,-0.3943641444331698,4.573999672176937,SMALL439,MA-RS,M,PARENT,,PARENT,False,False,False,False,False,"H1,H2,OOS,DD,CAGR",False,False,False,"H1,H2,OOS,DD,CAGR",0.0,0.0,,
0.035584750244263,0.5395195187479797,-0.14270715775313225,0.5239945844696813,0.5554248655384679,0.5211972703196115,0.03310944026882057,-0.1151665941764054,0.03711646003531155,0.5504275280301453,-0.1427071577531348,3.7117495532923597,SMALL439,MA-DG,W,PARENT,,PARENT,False,False,False,True,False,"H1,H2,OOS,CAGR",False,False,False,"H1,H2,OOS,DD,CAGR",0.0,0.0,,
0.04406787725630412,0.6358573582173438,-0.16572093189362447,0.7103522792281731,0.5723828338618278,0.7171120289507844,0.04893788238642727,-0.08379311929938238,0.041071469409913686,0.5877918062419493,-0.1657209318936259,1.7849271347323268,SMALL439,MA-DG,M,PARENT,,PARENT,False,False,False,True,False,"H1,H2,OOS,CAGR",False,False,False,"H2,OOS,CAGR",0.0,0.0,,
0.1425797903509014,0.7515803023959661,-0.30792765723322213,0.8613879873763343,0.7001972257355461,0.6892371946288659,0.10591079494894085,-0.1710007960320017,0.16583130624158526,0.7910468371130291,-0.3079276572332219,16.321805990037504,SMALL439,TOP20,W,PARENT,,PARENT,False,False,False,False,True,"H1,H2,OOS,DD",False,False,False,"H2,OOS,DD",0.0,0.0,,
0.13948832528792665,0.7268787321020195,-0.3369939262084941,0.8788507319761174,0.6492983497217096,0.8292028334860736,0.13248909344954907,-0.20721548955284042,0.14383263264102664,0.6939038162169292,-0.33699392620849355,7.531946843161373,SMALL439,TOP20,M,PARENT,,PARENT,False,False,False,False,True,"H1,H2,OOS,DD",False,False,False,"H2,OOS,DD",0.0,0.0,,
0.15439048561469937,0.7001916071271207,-0.35241599900169707,0.8855085192024778,0.5965779897233578,0.7089234502988422,0.12839603438383684,-0.22700996452505373,0.17074287406791844,0.7082690314118363,-0.3524159990016966,19.02920036231405,SMALL439,TOP10,W,PARENT,,PARENT,False,False,False,False,True,"H1,H2,OOS,DD",False,False,False,"H2,OOS,DD",0.0,0.0,,
0.15948074438079507,0.7096474117243613,-0.3953835822409735,0.8312559162437756,0.6518046226563489,0.7895479202840546,0.14758212046336716,-0.2163868266681821,0.16689086268975095,0.6877285098832469,-0.3953835822409738,8.672627876680565,SMALL439,TOP10,M,PARENT,,PARENT,False,False,False,False,True,"H1,H2,OOS,DD",False,False,False,"H2,OOS,DD",0.0,0.0,,
0.1414505170009448,0.7466275783797374,-0.30792765723322213,0.8613879873763343,0.691807929363273,0.6892371946288659,0.10591079494894085,-0.1710007960320017,0.16396799049360355,0.7837883608258199,-0.3079276572332219,16.333261168245613,SMALL439,MA20,W,PARENT,,PARENT,False,False,False,False,True,"H1,H2,OOS,DD",False,False,False,"H2,OOS,DD",0.0,0.0,,
0.13948832528792665,0.7268787321020195,-0.3369939262084941,0.8788507319761174,0.6492983497217096,0.8292028334860736,0.13248909344954907,-0.20721548955284042,0.14383263264102664,0.6939038162169292,-0.33699392620849355,7.531946843161373,SMALL439,MA20,M,PARENT,,PARENT,False,False,False,False,True,"H1,H2,OOS,DD",False,False,False,"H2,OOS,DD",0.0,0.0,,
0.00654534650612959,1.1213691744089387,-0.012220231468272225,1.184651826975463,1.0712768179018746,1.1042364431538034,0.006223420667749169,-0.006591954172205594,0.0068110923136330825,1.1353910434187198,-0.012220231468272114,0.04930186554047899,U56,EWall,W,CASH,0.05,CASH(0.05),True,True,True,True,False,CAGR,False,False,False,CAGR,21.30386308637313,12.6150260097881,0.0,0.0
