panel,form,IS_shares,pick_n,IS_share,OOS_share,med_OOS_CAGR,med_OOS_Sharpe,med_OOS_MaxDD,beat_SPY_OOS,beat_v2_OOS,pick_draw_k,pick_draw_d,pick_draw_OOS_CAGR,pick_draw_OOS_Sharpe,pick_draw_OOS_MaxDD,spy_OOS_Sharpe,spy_OOS_CAGR,spy_OOS_MaxDD,v2_OOS_Sharpe,v2_OOS_CAGR,v2_OOS_MaxDD
B136,NOM,5:0.015 10:0.086 15:0.127 20:0.163 30:0.120 40:0.085,20,0.16266666666666665,0.29833333333333334,0.10487538064981972,0.9700145472307928,-0.17906228701292792,0.8353333333333334,0.10366666666666667,20,253,0.09625805891298111,1.3063014902766252,-0.13857913397467347,0.8820239235972316,0.1545044425578177,-0.3371595330739301,1.1185082795688426,0.07983337481604336,-0.12240793860208021
B136,MATCH,5:0.010 10:0.068 15:0.120 20:0.191 30:0.230 40:0.248,40,0.24833333333333332,0.31033333333333335,0.1095154319535967,0.9796020930439425,-0.1961423518976687,0.7893333333333333,0.065,20,253,0.14173200469057323,1.1940514107713411,-0.16551581689436967,0.8820239235972316,0.1545044425578177,-0.3371595330739301,1.1185082795688426,0.07983337481604336,-0.12240793860208021
SMALL484,NOM,5:0.000 10:0.001 15:0.000 20:0.000 30:0.000 40:0.000,10,0.0006666666666666666,0.0,0.032983321277732625,0.2928764660183201,-0.3272826988117978,0.0006666666666666666,0.04,40,905,0.03949738925662172,0.32725914865110833,-0.42951461765101484,0.8820106885412021,0.15450723909089636,-0.33717256775620263,0.6629120596089234,0.04548190065633895,-0.12087781772280581
SMALL484,MATCH,5:0.000 10:0.000 15:0.000 20:0.000 30:0.000 40:0.000,5,0.0,0.0,0.03998340999808003,0.289879602516792,-0.45437622507519354,0.006,0.04933333333333333,20,922,-0.051743366041932304,-0.13693856724482706,-0.6778200745798191,0.8820106885412021,0.15450723909089636,-0.33717256775620263,0.6629120596089234,0.04548190065633895,-0.12087781772280581
