panel,N,draw,has_spy
U56,20,0,True
U56,20,1,False
U56,20,2,True
U56,20,3,False
U56,20,4,True
U56,20,5,True
U56,20,6,False
U56,20,7,False
U56,20,8,False
U56,20,9,False
U56,20,10,False
U56,20,11,False
U56,20,12,False
U56,20,13,True
U56,20,14,True
U56,20,15,False
U56,20,16,False
U56,20,17,False
U56,20,18,False
U56,20,19,False
U56,20,20,True
U56,20,21,False
U56,20,22,True
U56,20,23,True
U56,36,0,True
U56,36,1,True
U56,36,2,True
U56,36,3,False
U56,36,4,True
U56,36,5,True
U56,36,6,True
U56,36,7,True
U56,36,8,True
U56,36,9,False
U56,36,10,True
U56,36,11,True
U56,36,12,False
U56,36,13,False
U56,36,14,False
U56,36,15,True
U56,36,16,True
U56,36,17,True
U56,36,18,True
U56,36,19,True
U56,36,20,True
U56,36,21,True
U56,36,22,True
U56,36,23,True
U56,56,0,True
B136,20,0,False
B136,20,1,True
B136,20,2,False
B136,20,3,False
B136,20,4,True
B136,20,5,False
B136,20,6,False
B136,20,7,False
B136,20,8,False
B136,20,9,False
B136,20,10,False
B136,20,11,False
B136,20,12,False
B136,20,13,False
B136,20,14,False
B136,20,15,False
B136,20,16,False
B136,20,17,False
B136,20,18,False
B136,20,19,False
B136,20,20,False
B136,20,21,False
B136,20,22,False
B136,20,23,True
B136,36,0,False
B136,36,1,True
B136,36,2,True
B136,36,3,True
B136,36,4,False
B136,36,5,False
B136,36,6,False
B136,36,7,False
B136,36,8,False
B136,36,9,False
B136,36,10,False
B136,36,11,False
B136,36,12,False
B136,36,13,False
B136,36,14,True
B136,36,15,False
B136,36,16,False
B136,36,17,True
B136,36,18,True
B136,36,19,False
B136,36,20,False
B136,36,21,False
B136,36,22,False
B136,36,23,False
B136,56,0,False
B136,56,1,True
B136,56,2,True
B136,56,3,False
B136,56,4,True
B136,56,5,True
B136,56,6,True
B136,56,7,False
B136,56,8,True
B136,56,9,False
B136,56,10,False
B136,56,11,True
B136,56,12,True
B136,56,13,True
B136,56,14,False
B136,56,15,False
B136,56,16,False
B136,56,17,False
B136,56,18,False
B136,56,19,False
B136,56,20,False
B136,56,21,False
B136,56,22,True
B136,56,23,False
B136,100,0,False
B136,100,1,False
B136,100,2,False
B136,100,3,False
B136,100,4,True
B136,100,5,True
B136,100,6,True
B136,100,7,False
B136,100,8,True
B136,100,9,True
B136,100,10,True
B136,100,11,True
B136,100,12,True
B136,100,13,False
B136,100,14,True
B136,100,15,True
B136,100,16,True
B136,100,17,True
B136,100,18,True
B136,100,19,True
B136,100,20,False
B136,100,21,True
B136,100,22,False
B136,100,23,False
B136,136,0,True
SMALL,20,0,False
SMALL,20,1,False
SMALL,20,2,False
SMALL,20,3,False
SMALL,20,4,False
SMALL,20,5,False
SMALL,20,6,False
SMALL,20,7,False
SMALL,20,8,False
SMALL,20,9,False
SMALL,20,10,False
SMALL,20,11,False
SMALL,20,12,False
SMALL,20,13,False
SMALL,20,14,False
SMALL,20,15,False
SMALL,20,16,False
SMALL,20,17,False
SMALL,20,18,False
SMALL,20,19,False
SMALL,20,20,False
SMALL,20,21,False
SMALL,20,22,False
SMALL,20,23,False
SMALL,36,0,False
SMALL,36,1,False
SMALL,36,2,False
SMALL,36,3,False
SMALL,36,4,False
SMALL,36,5,False
SMALL,36,6,False
SMALL,36,7,False
SMALL,36,8,False
SMALL,36,9,False
SMALL,36,10,False
SMALL,36,11,False
SMALL,36,12,False
SMALL,36,13,False
SMALL,36,14,False
SMALL,36,15,False
SMALL,36,16,False
SMALL,36,17,False
SMALL,36,18,False
SMALL,36,19,False
SMALL,36,20,False
SMALL,36,21,False
SMALL,36,22,False
SMALL,36,23,False
SMALL,56,0,False
SMALL,56,1,False
SMALL,56,2,False
SMALL,56,3,False
SMALL,56,4,False
SMALL,56,5,False
SMALL,56,6,False
SMALL,56,7,False
SMALL,56,8,False
SMALL,56,9,False
SMALL,56,10,False
SMALL,56,11,False
SMALL,56,12,False
SMALL,56,13,False
SMALL,56,14,False
SMALL,56,15,False
SMALL,56,16,False
SMALL,56,17,False
SMALL,56,18,False
SMALL,56,19,False
SMALL,56,20,False
SMALL,56,21,False
SMALL,56,22,False
SMALL,56,23,False
SMALL,100,0,False
SMALL,100,1,False
SMALL,100,2,False
SMALL,100,3,False
SMALL,100,4,False
SMALL,100,5,False
SMALL,100,6,False
SMALL,100,7,False
SMALL,100,8,False
SMALL,100,9,False
SMALL,100,10,False
SMALL,100,11,False
SMALL,100,12,False
SMALL,100,13,False
SMALL,100,14,False
SMALL,100,15,False
SMALL,100,16,False
SMALL,100,17,False
SMALL,100,18,False
SMALL,100,19,False
SMALL,100,20,False
SMALL,100,21,False
SMALL,100,22,False
SMALL,100,23,False
SMALL,136,0,False
SMALL,136,1,False
SMALL,136,2,False
SMALL,136,3,False
SMALL,136,4,False
SMALL,136,5,False
SMALL,136,6,False
SMALL,136,7,False
SMALL,136,8,False
SMALL,136,9,False
SMALL,136,10,False
SMALL,136,11,False
SMALL,136,12,False
SMALL,136,13,False
SMALL,136,14,False
SMALL,136,15,False
SMALL,136,16,False
SMALL,136,17,False
SMALL,136,18,False
SMALL,136,19,False
SMALL,136,20,False
SMALL,136,21,False
SMALL,136,22,False
SMALL,136,23,False
SMALL,300,0,False
SMALL,300,1,False
SMALL,300,2,False
SMALL,300,3,False
SMALL,300,4,False
SMALL,300,5,False
SMALL,300,6,False
SMALL,300,7,False
SMALL,300,8,False
SMALL,300,9,False
SMALL,300,10,False
SMALL,300,11,False
SMALL,300,12,False
SMALL,300,13,False
SMALL,300,14,False
SMALL,300,15,False
SMALL,300,16,False
SMALL,300,17,False
SMALL,300,18,False
SMALL,300,19,False
SMALL,300,20,False
SMALL,300,21,False
SMALL,300,22,False
SMALL,300,23,False
SMALL,665,0,False
