resolution,statistic,n,n_estimable,share
R_1164,S_PHI,132,107,0.8106060606060606
R_1164,S_LSTAR,132,75,0.5681818181818182
R_1164,S_BAND,132,132,1.0
R_STRICT,S_PHI,132,70,0.5303030303030303
R_STRICT,S_LSTAR,132,53,0.4015151515151515
R_STRICT,S_BAND,132,132,1.0
R_LOOSE,S_PHI,132,122,0.9242424242424242
R_LOOSE,S_LSTAR,132,85,0.6439393939393939
R_LOOSE,S_BAND,132,132,1.0
R_TSTAT,S_PHI,132,123,0.9318181818181818
R_TSTAT,S_LSTAR,132,84,0.6363636363636364
R_TSTAT,S_BAND,132,132,1.0
