statistic,threshold,panel_dependent,spread_daily,ratio_daily,U56_daily,B136_daily,SMALL439_daily,spread_rebal,ratio_rebal,U56_rebal,B136_rebal,SMALL439_rebal,degenerate
BREADTH,0.3,True,0.059859900569351504,1.9914854426393707,0.06530060797117766,0.06037395809867087,0.12023385866802237,0.06240489489764864,2.0844322302025358,0.06724511930585683,0.05754614549402823,0.11995104039167687,False
BREADTH,0.4,True,0.15841229349369346,2.5626492684855675,0.11573969826615627,0.10137418337463393,0.2597864768683274,0.15742294908546273,2.542409958592672,0.11496746203904555,0.10206297502714441,0.2594859241126071,False
BREADTH,0.48,True,0.29594779278230476,3.189520420267751,0.15041657284395407,0.13516557783284525,0.43111337061515,0.2998802589383845,3.227336439373001,0.15292841648590022,0.13463626492942454,0.43451652386780903,False
BREADTH,0.5,True,0.3337374061059063,3.3111705861218685,0.1573969826615627,0.14440189231808967,0.47813929842399594,0.3364816859966749,3.3477244909313453,0.1648590021691974,0.14332247557003258,0.47980416156670747,False
BREADTH,0.6,True,0.5446586404899127,3.6025185200589047,0.2132402612024319,0.20928136967785538,0.7539400101677681,0.5366844882830514,3.4838513251692977,0.22017353579175705,0.21606948968512488,0.7527539779681762,False
BREADTH,0.68,True,0.5243381935692587,2.695983916708724,0.3091646025669894,0.31155665690470824,0.8335027961362481,0.5272101927419108,2.727973621050889,0.3188720173535792,0.30510314875135724,0.8323133414932681,False
DISP,0.01,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,True
DISP,0.015,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,True
DISP,0.02,True,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,True
DISP,0.03,True,0.004503490204908811,1.0045238633793259,0.9954965097950912,1.0,1.0,0.005422993492407824,1.005452562704471,0.9945770065075922,1.0,1.0,True
DISP,0.5,True,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,True
VOL20,0.2,True,0.6181040306237333,2.6185141509433962,0.38189596937626663,0.5127280919125929,1.0,0.621475054229935,2.641833810888252,0.37852494577006507,0.5146579804560261,1.0,False
VOL20,0.25,True,0.8204639098605944,5.689421137311325,0.17496059446070705,0.2552376661410228,0.9954245043213015,0.8181750598055954,5.656527192226907,0.175704989154013,0.252985884907709,0.9938800489596084,False
VOL20,0.3,True,0.7837687069705763,8.892781922123195,0.09930195901823914,0.13313809416535255,0.8830706659888155,0.7873310375772958,9.06576907384741,0.09761388286334056,0.1281216069489685,0.8849449204406364,False
VOL20,0.4,True,0.3706908759219763,13.285359552011169,0.030173384372888988,0.03401667042126605,0.40086426029486527,0.3697366429745352,13.625821660093386,0.02928416485900217,0.03474484256243214,0.3990208078335373,False
VOL20,0.6,True,0.036312680965267144,7.450584646670056,0.005629362756136005,0.006758278891642262,0.04194204372140315,0.032660094467617355,6.018767849857201,0.006507592190889371,0.006514657980456026,0.03916768665850673,False
CORR,0.2,True,0.6217824342589452,3.6791808284498253,0.8538617428507093,0.8107681910340166,0.2320793085917641,0.6256382139832253,3.718863940554761,0.8557483731019523,0.8089033659066233,0.23011015911872704,False
CORR,0.3,True,0.4878281118060524,8.134259449237955,0.5032650303985589,0.5562063527821581,0.06837824097610574,0.48303092402622344,8.047076159454011,0.5,0.5515743756786102,0.06854345165238677,False
CORR,0.4,True,0.21542343234213818,8.92033441900908,0.2267507318171583,0.2426222122099572,0.027198779867819014,0.21533855090722792,9.377695051962153,0.22885032537960953,0.24104234527687296,0.025703794369645042,False
CORR,0.5,True,0.12615453931065557,inf,0.11573969826615627,0.12615453931065557,0.0,0.1259500542888165,inf,0.113882863340564,0.1259500542888165,0.0,False
CORR,0.6,True,0.0326650146429376,inf,0.014185994145462734,0.0326650146429376,0.0,0.033659066232356136,inf,0.013015184381778741,0.033659066232356136,0.0,False
SPYTR,-0.05,False,0.011791083630065022,1.1718004555580586,0.08038730015762216,0.08042351881054291,0.06863243518047789,0.01235685228524687,1.1941451599432056,0.07592190889370933,0.07600434310532031,0.06364749082007344,False
SPYTR,0.0,False,0.01725479879603911,1.1125711085632137,0.17045710425579824,0.17053390403243973,0.15327910523640062,0.018277456386212088,1.1175801721853171,0.1735357917570499,0.1737242128121607,0.1554467564259486,False
SPYTR,0.05,False,0.009834893448592452,1.0262308276791612,0.3845980634992119,0.3847713448974994,0.37493645144890697,0.010376672686944255,1.0280719920040844,0.3796095444685466,0.3800217155266015,0.36964504283965727,False
SPYTR,0.1,False,0.018339032421986867,1.023616758027618,0.7766268858365233,0.7765262446496959,0.7948652770716828,0.016677364952415896,1.0215123993293769,0.7754880694143167,0.7752442996742671,0.791921664626683,False
