pid,label,proposed,tier,vintage,files,claim_files,with_col,reprice_share
239,publish EWall beside every PANEL claim,2026-09-06,LOOSE,PRE,551,263,1,0.0038022813688212928
239,publish EWall beside every PANEL claim,2026-09-06,LOOSE,AT,1030,487,12,0.024640657084188913
239,publish EWall beside every PANEL claim,2026-09-06,LOOSE,NOW,2811,1322,35,0.0264750378214826
239,publish EWall beside every PANEL claim,2026-09-06,STRICT,PRE,551,252,1,0.003968253968253968
239,publish EWall beside every PANEL claim,2026-09-06,STRICT,AT,1030,468,12,0.02564102564102564
239,publish EWall beside every PANEL claim,2026-09-06,STRICT,NOW,2811,1285,35,0.027237354085603113
471,publish MATCHED GROSS on every d_on/d_off REGIME SPLIT,2026-09-08,LOOSE,PRE,1523,36,4,0.1111111111111111
471,publish MATCHED GROSS on every d_on/d_off REGIME SPLIT,2026-09-08,LOOSE,AT,2121,59,7,0.11864406779661017
471,publish MATCHED GROSS on every d_on/d_off REGIME SPLIT,2026-09-08,LOOSE,NOW,2811,85,10,0.11764705882352941
471,publish MATCHED GROSS on every d_on/d_off REGIME SPLIT,2026-09-08,STRICT,PRE,1523,36,3,0.08333333333333333
471,publish MATCHED GROSS on every d_on/d_off REGIME SPLIT,2026-09-08,STRICT,AT,2121,59,6,0.1016949152542373
471,publish MATCHED GROSS on every d_on/d_off REGIME SPLIT,2026-09-08,STRICT,NOW,2811,84,9,0.10714285714285714
583,publish BOTH arms' GROSS beside every CAGR/MaxDD comparison,2026-09-09,LOOSE,PRE,2121,921,67,0.0727470141150923
583,publish BOTH arms' GROSS beside every CAGR/MaxDD comparison,2026-09-09,LOOSE,AT,2677,1114,80,0.0718132854578097
583,publish BOTH arms' GROSS beside every CAGR/MaxDD comparison,2026-09-09,LOOSE,NOW,2811,1150,80,0.06956521739130435
583,publish BOTH arms' GROSS beside every CAGR/MaxDD comparison,2026-09-09,STRICT,PRE,2121,916,61,0.0665938864628821
583,publish BOTH arms' GROSS beside every CAGR/MaxDD comparison,2026-09-09,STRICT,AT,2677,1109,74,0.06672678088367899
583,publish BOTH arms' GROSS beside every CAGR/MaxDD comparison,2026-09-09,STRICT,NOW,2811,1145,74,0.06462882096069869
604,publish a PLACEBO column beside every MATCHED-GROSS TWIN claim,2026-09-10,LOOSE,PRE,2677,296,5,0.016891891891891893
604,publish a PLACEBO column beside every MATCHED-GROSS TWIN claim,2026-09-10,LOOSE,AT,2809,317,5,0.015772870662460567
604,publish a PLACEBO column beside every MATCHED-GROSS TWIN claim,2026-09-10,LOOSE,NOW,2811,317,5,0.015772870662460567
604,publish a PLACEBO column beside every MATCHED-GROSS TWIN claim,2026-09-10,STRICT,PRE,2677,278,5,0.017985611510791366
604,publish a PLACEBO column beside every MATCHED-GROSS TWIN claim,2026-09-10,STRICT,AT,2809,297,5,0.016835016835016835
604,publish a PLACEBO column beside every MATCHED-GROSS TWIN claim,2026-09-10,STRICT,NOW,2811,297,5,0.016835016835016835
607,publish a CROSSING COST beside every TWIN claim,2026-09-10,LOOSE,PRE,2677,296,160,0.5405405405405406
607,publish a CROSSING COST beside every TWIN claim,2026-09-10,LOOSE,AT,2809,317,175,0.5520504731861199
607,publish a CROSSING COST beside every TWIN claim,2026-09-10,LOOSE,NOW,2811,317,175,0.5520504731861199
607,publish a CROSSING COST beside every TWIN claim,2026-09-10,STRICT,PRE,2677,278,152,0.5467625899280576
607,publish a CROSSING COST beside every TWIN claim,2026-09-10,STRICT,AT,2809,297,165,0.5555555555555556
607,publish a CROSSING COST beside every TWIN claim,2026-09-10,STRICT,NOW,2811,297,165,0.5555555555555556
