panel,family,q,w,realised,nominal
U56,QEXP,0.07,0,0.002251745102454402,0.07
U56,QEXP_armed,0.07,0,0.002251745102454402,0.07
U56,QROLL,0.07,252,0.11101103355100203,0.07
U56,QROLL_armed,0.07,252,0.11101103355100203,0.07
U56,QROLL,0.07,504,0.10628236883584778,0.07
U56,QROLL_armed,0.07,504,0.1124344926155312,0.07
U56,QROLL,0.07,1008,0.059671245215041656,0.07
U56,QROLL_armed,0.07,1008,0.07173795343800758,0.07
U56,QROLL,0.07,2016,0.0448097275388426,0.07
U56,QROLL_armed,0.07,2016,0.07408786299329859,0.07
U56,QEXP,0.12,0,0.032425129475343394,0.12
U56,QEXP_armed,0.12,0,0.032425129475343394,0.12
U56,QROLL,0.12,252,0.1612249493357352,0.12
U56,QROLL_armed,0.12,252,0.1612249493357352,0.12
U56,QROLL,0.12,504,0.14073406890340012,0.12
U56,QROLL_armed,0.12,504,0.1488804192472606,0.12
U56,QROLL,0.12,1008,0.09659986489529385,0.12
U56,QROLL_armed,0.12,1008,0.11613427179209529,0.12
U56,QROLL,0.12,2016,0.0677775275838775,0.12
U56,QROLL_armed,0.12,2016,0.11206254653760238,0.12
U56,QEXP,0.17,0,0.05201531186669669,0.17
U56,QEXP_armed,0.17,0,0.05201531186669669,0.17
U56,QROLL,0.17,252,0.1965773474442693,0.17
U56,QROLL_armed,0.17,252,0.1965773474442693,0.17
U56,QROLL,0.17,504,0.17405989641972527,0.17
U56,QROLL_armed,0.17,504,0.18413530252501192,0.17
U56,QROLL,0.17,1008,0.12226975906327403,0.17
U56,QROLL_armed,0.17,1008,0.14699512723335137,0.17
U56,QROLL,0.17,2016,0.09164602566989417,0.17
U56,QROLL_armed,0.17,2016,0.15152643335815338,0.17
U56,ABS,0.3,0,0.07002927268633191,
U56,ABS,0.4,0,0.12339563161450123,
U56,ABS,0.5,0,0.16707948660211663,
B136,QEXP,0.07,0,0.0,0.07
B136,QEXP_armed,0.07,0,0.0,0.07
B136,QROLL,0.07,252,0.12232484793872493,0.07
B136,QROLL_armed,0.07,252,0.12232484793872493,0.07
B136,QROLL,0.07,504,0.10250056318990763,0.07
B136,QROLL_armed,0.07,504,0.10843660629170639,0.07
B136,QROLL,0.07,1008,0.05969813020950664,0.07
B136,QROLL_armed,0.07,1008,0.07177681473456121,0.07
B136,QROLL,0.07,2016,0.043027708943455735,0.07
B136,QROLL_armed,0.07,2016,0.07116244411326378,0.07
B136,QEXP,0.12,0,0.024780355936021625,0.12
B136,QEXP_armed,0.12,0,0.024780355936021625,0.12
B136,QROLL,0.12,252,0.17548997521964407,0.12
B136,QROLL_armed,0.12,252,0.17548997521964407,0.12
B136,QROLL,0.12,504,0.15003379139445822,0.12
B136,QROLL_armed,0.12,504,0.15872259294566254,0.12
B136,QROLL,0.12,1008,0.09439062851993692,0.12
B136,QROLL_armed,0.12,1008,0.11348862405200433,0.12
B136,QROLL,0.12,2016,0.07051137643613427,0.12
B136,QROLL_armed,0.12,2016,0.11661698956780923,0.12
B136,QEXP,0.17,0,0.047082676278441093,0.17
B136,QEXP_armed,0.17,0,0.047082676278441093,0.17
B136,QROLL,0.17,252,0.21829240820004506,0.17
B136,QROLL_armed,0.17,252,0.21829240820004506,0.17
B136,QROLL,0.17,504,0.18923180896598332,0.17
B136,QROLL_armed,0.17,504,0.2001906577693041,0.17
B136,QROLL,0.17,1008,0.12074791619734174,0.17
B136,QROLL_armed,0.17,1008,0.14517876489707476,0.17
B136,QROLL,0.17,2016,0.09258842081549899,0.17
B136,QROLL_armed,0.17,2016,0.15312965722801788,0.17
B136,ABS,0.3,0,0.0653300292858752,
B136,ABS,0.4,0,0.10903356611849516,
B136,ABS,0.5,0,0.15183599909889614,
SMALL439,QEXP,0.07,0,0.0002541942043721403,0.07
SMALL439,QEXP_armed,0.07,0,0.0002541942043721403,0.07
SMALL439,QROLL,0.07,252,0.12379257752923234,0.07
SMALL439,QROLL_armed,0.07,252,0.12379257752923234,0.07
SMALL439,QROLL,0.07,504,0.08057956278596848,0.07
