part,n,leg,is_first_below_1,oos_first_below_1,is_first_below_half,oos_first_below_half,curve_spearman,qstar,IS_Sharpe,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,anchor_OOS_Sharpe,v2_OOS_Sharpe,spy_OOS_Sharpe,beat_v2,beat_spy,pass4b,pass4a,oos_argmax_q
C1,10,H1,0.0,0.0,0.4,0.15,0.707540262765572,,,,,,,,,,,,,
C1,10,H2,0.0,0.0,0.0,0.1,0.8340623117607006,,,,,,,,,,,,,
C1,10,DD,0.0,0.0,0.0,0.0,-0.038030001206094344,,,,,,,,,,,,,
C1,10,CAGR,0.0,0.0,0.45,0.2,0.83672817009059,,,,,,,,,,,,,
C1,10,JOINT4,0.0,0.0,0.0,0.0,-0.15549158041176175,,,,,,,,,,,,,
C1,20,H1,0.0,0.05,0.7,0.45,0.8925037059339506,,,,,,,,,,,,,
C1,20,H2,0.0,0.0,0.2,0.2,0.9097268580655951,,,,,,,,,,,,,
C1,20,DD,0.0,0.4,0.0,0.9,0.15729986303005516,,,,,,,,,,,,,
C1,20,CAGR,0.0,0.0,0.45,0.2,0.8171695663232639,,,,,,,,,,,,,
C1,20,JOINT4,0.0,0.0,0.0,0.2,0.7582582582582582,,,,,,,,,,,,,
C2,10,book,,,,,,0.05,1.0181251674318703,0.13037545509931486,0.9124575355502693,-0.2180597461996635,0.6524655607978854,1.1333984260516738,0.8820239235972315,0.0,9.0,1.0,0.0,0.05
C2,20,book,,,,,,0.15,1.0291145828527812,0.11178691081016097,0.9891399981486897,-0.1785320921160424,0.7072176857253715,1.0606127494948212,0.8820239235972315,2.0,9.0,7.0,0.0,0.05
