uni,book,cost,g,sel,spy_OOS_Sharpe,spy_OOS_CAGR,spy_OOS_MaxDD,v1_OOS_Sharpe,v1_OOS_CAGR,v1_OOS_MaxDD,band,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,pass4a,pass4b,beat_spy,beat_v1
broad,cand20,10.0,0.55,SEL-IS,0.8820239235972316,0.1545044425578177,-0.3371595330739301,0.5762505378038233,0.05941502665859644,-0.2119126361153264,0.0,0.09205791935687202,0.8903177251679739,-0.14943601943893237,True,False,True,True
broad,cand20,10.0,0.55,SEL-4b,0.8820239235972316,0.1545044425578177,-0.3371595330739301,0.5762505378038233,0.05941502665859644,-0.2119126361153264,,,,,False,False,False,False
broad,cand20,10.0,0.55,PIN3,0.8820239235972316,0.1545044425578177,-0.3371595330739301,0.5762505378038233,0.05941502665859644,-0.2119126361153264,3.0,0.09309986015197191,0.898666989672383,-0.14943601943893214,True,False,True,True
broad,cand20,10.0,0.55,CTL0,0.8820239235972316,0.1545044425578177,-0.3371595330739301,0.5762505378038233,0.05941502665859644,-0.2119126361153264,0.0,0.09205791935687202,0.8903177251679739,-0.14943601943893237,True,False,True,True
broad,cand20,10.0,0.65,SEL-IS,0.8820239235972316,0.1545044425578177,-0.3371595330739301,0.5762505378038233,0.05941502665859644,-0.2119126361153264,0.0,0.10852329699930752,0.8911365396892873,-0.17519266285141322,True,False,True,True
broad,cand20,10.0,0.65,SEL-4b,0.8820239235972316,0.1545044425578177,-0.3371595330739301,0.5762505378038233,0.05941502665859644,-0.2119126361153264,0.0,0.10852329699930752,0.8911365396892873,-0.17519266285141322,True,False,True,True
broad,cand20,10.0,0.65,PIN3,0.8820239235972316,0.1545044425578177,-0.3371595330739301,0.5762505378038233,0.05941502665859644,-0.2119126361153264,3.0,0.1097767659961526,0.8995246975135228,-0.17519266285141322,True,False,True,True
broad,cand20,10.0,0.65,CTL0,0.8820239235972316,0.1545044425578177,-0.3371595330739301,0.5762505378038233,0.05941502665859644,-0.2119126361153264,0.0,0.10852329699930752,0.8911365396892873,-0.17519266285141322,True,False,True,True
broad,cand20,10.0,0.75,SEL-IS,0.8820239235972316,0.1545044425578177,-0.3371595330739301,0.5762505378038233,0.05941502665859644,-0.2119126361153264,0.0,0.12486792010130898,0.8919165372280256,-0.2005204833110832,True,False,True,True
broad,cand20,10.0,0.75,SEL-4b,0.8820239235972316,0.1545044425578177,-0.3371595330739301,0.5762505378038233,0.05941502665859644,-0.2119126361153264,,,,,False,False,False,False
