incumbent,norm,q,cal_D,cal_t,cal_n,tau_test,OOS_D,OOS_t,OOS_p,OOS_n,OOS_abstain
ctl,raw,0.0,0.0,,1200,0.0009133966158880735,0.0,,,1200,0.0
ctl,raw,0.1,0.009630548938608601,9.679434720979886,1200,0.0034325720780703506,-0.0109306518424782,-10.688222580070496,0.0,1200,0.09166666666666666
ctl,raw,0.2,0.02444436198846515,15.666995508193654,1200,0.013746107754145198,-0.02168376142136089,-15.945801104229746,0.0,1200,0.1975
ctl,raw,0.3,0.035875295316452734,19.191432264338935,1200,0.018627048795337497,-0.02443333304595677,-17.02892480640572,0.0,1200,0.295
ctl,raw,0.4,0.04241780638607459,21.114470169761745,1200,0.022119872302339028,-0.028346873599485428,-18.541651673767994,0.0,1200,0.3983333333333333
ctl,raw,0.5,0.051123925283173804,23.792103955171694,1200,0.0319305741400111,-0.03286583717444579,-20.26342490476548,0.0,1200,0.4725
ctl,raw,0.6,0.0602033954054162,27.1742245494282,1200,0.035016835336478036,-0.03286583717444579,-20.26342490476548,0.0,1200,0.5875
ctl,raw,0.7,0.06390644827196254,28.647360068566098,1200,0.0381236739944969,-0.03286583717444579,-20.26342490476548,0.0,1200,0.6883333333333334
ctl,raw,0.8,0.07041931097403806,32.21135620146461,1200,0.050991154336702094,-0.03286583717444579,-20.26342490476548,0.0,1200,0.7983333333333333
ctl,raw,0.9,0.07493085929421622,35.066169080933676,1200,0.054270970110401606,-0.03286583717444579,-20.26342490476548,0.0,1200,0.865
ctl,z,0.0,0.0,,1200,0.020658310025207172,0.0,,,1200,0.0
ctl,z,0.1,0.011303972779256216,10.704176707235897,1200,0.09376995658325675,-0.0118630597030998,-11.236793392570847,0.0,1200,0.1
ctl,z,0.2,0.022666677484781975,15.058681554438122,1200,0.18030965896429754,-0.020375745404994674,-15.344912844196871,0.0,1200,0.2
ctl,z,0.3,0.0267229868310946,16.400644729882835,1200,0.26360801198361805,-0.02147810879544114,-15.853801211495771,0.0,1200,0.3
ctl,z,0.4,0.029332043856235106,17.237096391920737,1200,0.32761156172810985,-0.02168376142136089,-15.945801104229746,0.0,1200,0.4
ctl,z,0.5,0.03347591830923367,18.509479395361847,1200,0.4224746746406355,-0.02168376142136089,-15.945801104229746,0.0,1200,0.5
ctl,z,0.6,0.04156148187070572,20.8875015106394,1200,0.7166761440954024,-0.02617006060475818,-17.697631468751897,0.0,1200,0.6
ctl,z,0.7,0.04650002486427911,22.44227069461221,1200,1.229782460387449,-0.03263418557798543,-20.175123274763507,0.0,1200,0.7
ctl,z,0.8,0.05628672092001134,26.68190900536864,1200,1.449482810760993,-0.03286583717444579,-20.26342490476548,0.0,1200,0.8
ctl,z,0.9,0.06726507174520405,31.70818486634701,1200,1.6843336298939593,-0.03286583717444579,-20.26342490476548,0.0,1200,0.9
ctl,rng,0.0,0.0,,1200,0.008396731812325614,0.0,,,1200,0.0
ctl,rng,0.1,0.011554222759225966,10.511236723240941,1200,0.02899661809097526,-0.011436040652761636,-11.018388278690791,0.0,1200,0.09666666666666666
ctl,rng,0.2,0.023173368765521965,15.179337693352837,1200,0.06369490759139039,-0.020235763094355364,-15.298927520711901,0.0,1200,0.1975
ctl,rng,0.3,0.027608906229684146,16.67765927394247,1200,0.09963683744688581,-0.021379210932105937,-15.807755863185726,0.0,1200,0.2941666666666667
ctl,rng,0.4,0.030514051561771238,17.49122981610862,1200,0.11896191693928729,-0.02147810879544114,-15.853801211495771,0.0,1200,0.3925
ctl,rng,0.5,0.03558131372469314,19.008199116642913,1200,0.15552563021303012,-0.02168376142136089,-15.945801104229746,0.0,1200,0.49916666666666665
ctl,rng,0.6,0.042339308035299617,21.12935423801031,1200,0.24552000230918294,-0.02662237753383766,-17.876173257652866,0.0,1200,0.5966666666666667
ctl,rng,0.7,0.048091278044988264,23.273149353183605,1200,0.35214260023874683,-0.03240136235220281,-20.086913273068713,0.0,1200,0.685
ctl,rng,0.8,0.056576066223268114,26.85563760567982,1200,0.3910774178489162,-0.03251777396509413,-20.13101651556828,0.0,1200,0.8
ctl,rng,0.9,0.06808552427763419,32.00233767701739,1200,0.4901737340125646,-0.03286583717444579,-20.26342490476548,0.0,1200,0.8991666666666667
med,raw,0.0,0.0,,1200,0.0009133966158880735,0.0,,,1200,0.0
med,raw,0.1,0.0019794566893796476,3.4535197189146647,1200,0.0034325720780703506,-0.0030274151278453596,-5.785411511482328,7.23350312981097e-09,1200,0.09166666666666666
med,raw,0.2,0.003929711952150029,4.133039917210409,1200,0.013746107754145198,-0.005180704871038199,-6.35594914457484,2.071436355777223e-10,1200,0.1975
med,raw,0.3,-0.0002397820957511158,-0.16977659563993971,1200,0.018627048795337497,-0.005549670343970732,-5.802107681481176,6.548648290305437e-09,1200,0.295
med,raw,0.4,-0.006363485587992699,-3.7842845367113753,1200,0.022119872302339028,-0.008339277960884222,-7.737664756123989,1.021405182655144e-14,1200,0.3983333333333333
med,raw,0.5,-0.011137501714317436,-5.802666608192604,1200,0.0319305741400111,-0.010284140028000564,-9.001154824971055,0.0,1200,0.4725
