panel,arm,bps,b_n_ok,b_lo,b_hi,b_width,b_contiguous,b_cens_lo,b_cens_hi,a_n_ok,a_lo,a_hi,a_width,a_contiguous,a_cens_lo,a_cens_hi
broad,band3-dg,0.0,1,0.6916089115879073,0.6916089115879073,0.0,True,False,True,121,0.053243501986676905,0.6916089115879073,0.6383654096012303,True,True,True
broad,band3-dg,5.0,0,,,,,False,False,121,0.053243501986676905,0.6916089115879073,0.6383654096012303,True,True,True
broad,band3-dg,10.0,0,,,,,False,False,121,0.053243501986676905,0.6916089115879073,0.6383654096012303,True,True,True
broad,band3-dg,25.0,0,,,,,False,False,121,0.053243501986676905,0.6916089115879073,0.6383654096012303,True,True,True
small,band3-dg,0.0,0,,,,,False,False,0,,,,,False,False
small,band3-dg,5.0,0,,,,,False,False,0,,,,,False,False
small,band3-dg,10.0,0,,,,,False,False,0,,,,,False,False
small,band3-dg,25.0,0,,,,,False,False,121,0.0377268254573291,0.4902632241746071,0.452536398717278,True,True,True
u56,band3-dg,0.0,10,0.6445236492972449,0.6924148072351936,0.047891157937948625,True,False,True,104,0.05331543125495519,0.6019484139000599,0.5486329826451047,True,True,False
u56,band3-dg,5.0,9,0.6498452002765803,0.6924148072351936,0.042569606958613226,True,False,True,105,0.05331543125495519,0.6072705944469705,0.5539551631920153,True,True,False
u56,band3-dg,10.0,8,0.6551666731484714,0.6924148072351936,0.03724813408672212,True,False,True,106,0.05331543125495519,0.6125926958403564,0.5592772645854012,True,True,False
u56,band3-dg,25.0,3,0.6817728704759399,0.6924148072351936,0.010641936759253623,True,False,True,121,0.05331543125495519,0.6924148072351936,0.6390993759802384,True,True,True
broad,band3-rw,0.0,24,0.6527606347694602,0.825162139709576,0.17240150494011575,True,False,False,90,0.0750858451298542,0.7427171374529776,0.6676312923231235,True,True,False
broad,band3-rw,5.0,22,0.6677546081155058,0.825162139709576,0.15740753159407017,True,False,False,96,0.0750858451298542,0.7876888971317109,0.7126030520018567,True,True,False
broad,band3-rw,10.0,19,0.682748088158625,0.8176677230524625,0.13491963489383751,True,False,False,106,0.0750858451298542,0.8626325035926133,0.7875466584627592,True,True,False
broad,band3-rw,25.0,11,0.7352214284110036,0.8101731908566022,0.07495176244559865,True,False,False,121,0.0750858451298542,0.9750268123881856,0.8999409672583314,True,True,True
small,band3-rw,0.0,0,,,,,False,False,0,,,,,False,False
small,band3-rw,5.0,0,,,,,False,False,0,,,,,False,False
small,band3-rw,10.0,0,,,,,False,False,0,,,,,False,False
small,band3-rw,25.0,0,,,,,False,False,103,0.07505400879128381,0.8400743347668393,0.7650203259755556,True,True,False
u56,band3-rw,0.0,33,0.6303124588898219,0.8701476473690756,0.23983518847925367,True,False,False,67,0.07509858986602101,0.5703306852519764,0.49523209538595536,True,True,False
u56,band3-rw,5.0,30,0.6453064293400198,0.8626549490768078,0.21734851973678804,True,False,False,67,0.07509858986602101,0.5703306852519764,0.49523209538595536,True,True,False
u56,band3-rw,10.0,28,0.6602998165080584,0.8626549490768078,0.20235513256874949,True,False,False,67,0.07509858986602101,0.5703306852519764,0.49523209538595536,True,True,False
u56,band3-rw,25.0,22,0.6977807519457528,0.8551621156919277,0.15738136374617484,True,False,False,77,0.07509858986602101,0.6453064293400198,0.5702078394739988,True,True,False
broad,vol60-dg,0.0,23,0.6221261344467613,0.7811293611795536,0.1590032267327922,True,False,False,89,0.07239115570412379,0.7088618042414282,0.6364706485373044,True,True,False
broad,vol60-dg,5.0,23,0.6221261344467613,0.7811293611795536,0.1590032267327922,True,False,False,94,0.07239115570412379,0.7449969398563459,0.672605784152222,True,True,False
broad,vol60-dg,10.0,22,0.6293547292031558,0.7811293611795536,0.15177463197639773,True,False,False,105,0.07239115570412379,0.82448474758949,0.7520935918853662,True,True,False
broad,vol60-dg,25.0,21,0.6365832096192224,0.7811293611795536,0.14454615156033113,True,False,False,121,0.07239115570412379,0.9400809173144001,0.8676897616102763,True,True,True
small,vol60-dg,0.0,0,,,,,False,False,0,,,,,False,False
small,vol60-dg,5.0,0,,,,,False,False,0,,,,,False,False
small,vol60-dg,10.0,0,,,,,False,False,0,,,,,False,False
small,vol60-dg,25.0,0,,,,,False,False,0,,,,,False,False
u56,vol60-dg,0.0,31,0.6550914890045759,0.8708304981911701,0.21573900918659417,True,False,False,70,0.07204305513230128,0.5687667127240057,0.49672365759170445,True,True,False
u56,vol60-dg,5.0,30,0.6622844479539349,0.8708304981911701,0.20854605023723516,True,False,False,71,0.07204305513230128,0.5759611046227351,0.5039180494904338,True,True,False
u56,vol60-dg,10.0,29,0.6694772895500911,0.8708304981911701,0.20135320864107897,True,False,False,72,0.07204305513230128,0.5831553753679323,0.511112320235631,True,True,False
u56,vol60-dg,25.0,27,0.6766700141101485,0.8636408134829594,0.18697079937281091,True,False,False,83,0.07204305513230128,0.6622844479539349,0.5902413928216337,True,True,False
broad,vol60-rw,0.0,16,0.6152626161331678,0.7277160693910073,0.11245345325783951,True,False,False,78,0.07508330499712132,0.6527500386775235,0.5776667336804021,True,True,False
broad,vol60-rw,5.0,15,0.6227603397383574,0.7277160693910073,0.10495572965264988,True,False,False,84,0.07508330499712132,0.6977310483123377,0.6226477433152163,True,True,False
broad,vol60-rw,10.0,15,0.6227603397383574,0.7277160693910073,0.10495572965264988,True,False,False,93,0.07508330499712132,0.7651947861393169,0.6901114811421956,True,True,False
broad,vol60-rw,25.0,12,0.6377554274381508,0.7202199860668396,0.08246455862868873,True,False,False,121,0.07508330499712132,0.9750255313864132,0.8999422263892919,True,True,True
small,vol60-rw,0.0,0,,,,,False,False,0,,,,,False,False
small,vol60-rw,5.0,0,,,,,False,False,0,,,,,False,False
small,vol60-rw,10.0,0,,,,,False,False,0,,,,,False,False
small,vol60-rw,25.0,0,,,,,False,False,114,0.07502895745236306,0.9225125312042729,0.8474835737519099,True,True,False
u56,vol60-rw,0.0,26,0.6452645814279461,0.8326571912174476,0.18739260978950156,True,False,False,64,0.07508608703189258,0.5477898977316793,0.47270381069978673,True,True,False
u56,vol60-rw,5.0,25,0.6527617475295945,0.8326571912174476,0.17989544368785315,True,False,False,64,0.07508608703189258,0.5477898977316793,0.47270381069978673,True,True,False
u56,vol60-rw,10.0,23,0.6602587888945474,0.8251629133544106,0.16490412445986324,True,False,False,64,0.07508608703189258,0.5477898977316793,0.47270381069978673,True,True,False
u56,vol60-rw,25.0,20,0.6752524989397256,0.817668519550236,0.1424160206105104,True,False,False,74,0.07508608703189258,0.6227723308910375,0.5476862438591449,True,True,False
