panel,control,L,n_bars,observed,null_median,null_mean,lo,hi,share_ge
U56,C_BOOK,1,4446,19.12756183046503,22.406806920832537,23.190969245510306,15.937361950365844,33.19521944867892,0.76
U56,C_BOOK,2,4446,19.12756183046503,22.061467243558468,22.823159481857196,15.524278391347325,33.07104015298852,0.739
U56,C_BOOK,5,4446,19.12756183046503,22.186388766224738,23.1446137812312,15.869707769112221,34.57202119761243,0.751
U56,C_BOOK,10,4446,19.12756183046503,21.879981950478935,22.5666479627086,15.442145306815533,32.19545393304046,0.718
U56,C_BOOK,21,4446,19.12756183046503,21.419025565073845,22.220420196841115,15.452745574155298,31.451588827656515,0.697
U56,C_BOOK,42,4446,19.12756183046503,20.72685027507448,21.600905512205074,14.847753055117476,30.794866260193437,0.683
U56,C_BOOK,63,4446,19.12756183046503,20.177259976913682,21.115530476841524,15.459981668177008,29.45191923707214,0.651
U56,C_BOOK,126,4446,19.12756183046503,19.127561830465044,20.51637203424412,15.769996334125977,26.844266707791803,0.588
U56,C_BOOK,252,4446,19.12756183046503,19.127561830465023,19.765296995374445,15.769996334125997,24.660424208070562,0.48
U56,C_BOOK,504,4446,19.12756183046503,19.12756183046502,19.052431143626627,15.769996334125977,22.985035245564944,0.357
U56,C_BOOK,1008,4446,19.12756183046503,19.12756183046502,18.701062818357233,15.769996334125977,21.25750775438367,0.358
U56,C_BOOK,4446,4446,19.12756183046503,19.127561830465023,19.127492349527223,19.12756183046501,19.127561830465037,0.365
U56,C_GATEOFF,1,4446,20.10683222103151,22.029257606180014,23.024227693079265,15.599561560862218,33.70204740315407,0.674
U56,C_GATEOFF,2,4446,20.10683222103151,21.88004137865325,22.97853329519576,15.57309688748894,34.201793424882226,0.667
U56,C_GATEOFF,5,4446,20.10683222103151,22.47398102130316,23.239467630340126,15.687729405604085,33.60903815070569,0.68
U56,C_GATEOFF,10,4446,20.10683222103151,21.600261635547206,22.563190048989956,15.115372387936164,33.54759524845331,0.614
U56,C_GATEOFF,21,4446,20.10683222103151,21.462969350010297,22.157193814097706,15.257947957945005,31.264246162004866,0.616
U56,C_GATEOFF,42,4446,20.10683222103151,20.723666353671636,21.395752218679103,15.108657652063934,29.477980102103352,0.537
U56,C_GATEOFF,63,4446,20.10683222103151,20.10933451865739,20.82937897203584,14.992917892362858,28.473191143833287,0.509
U56,C_GATEOFF,126,4446,20.10683222103151,20.10683222103154,20.297746687129294,15.085845051684595,26.478447621467,0.548
U56,C_GATEOFF,252,4446,20.10683222103151,20.10683222103154,19.708264373803868,14.542468471736541,24.381485457342613,0.57
U56,C_GATEOFF,504,4446,20.10683222103151,20.10683222103151,19.11993519647786,13.782945751524823,22.755443119595462,0.575
U56,C_GATEOFF,1008,4446,20.10683222103151,20.10683222103154,18.7114071744888,13.782945751524808,20.54552171364158,0.618
U56,C_GATEOFF,4446,4446,20.10683222103151,20.10683222103155,20.078487633846628,20.10683222103151,20.106832221031603,0.953
U56,C_NOREBAL,1,4446,71.9447238308778,57.643215635608364,58.305853350857106,40.71708389418305,77.2975220395232,0.13
U56,C_NOREBAL,2,4446,71.9447238308778,57.9501540390188,58.83321469720526,41.60060014600304,78.14197607492092,0.145
U56,C_NOREBAL,5,4446,71.9447238308778,58.173049515368845,59.539805384932954,42.24059821359917,79.85196264386701,0.16
U56,C_NOREBAL,10,4446,71.9447238308778,59.22129866654423,59.4505958964921,41.56724154912344,80.11297415806573,0.137
U56,C_NOREBAL,21,4446,71.9447238308778,60.10514827006739,61.134944628477434,41.60191773329031,82.31849615765461,0.191
U56,C_NOREBAL,42,4446,71.9447238308778,61.425270623245936,62.35104392519074,43.120565254836784,84.59215371947877,0.214
U56,C_NOREBAL,63,4446,71.9447238308778,63.221975278950694,63.29151877281624,43.196409323891686,84.80955140671243,0.253
U56,C_NOREBAL,126,4446,71.9447238308778,67.91577814854192,66.73501215234302,43.22955798929419,88.8371329783704,0.404
U56,C_NOREBAL,252,4446,71.9447238308778,71.9447238308778,66.77165167383565,42.877984532738964,87.92386815870454,0.501
U56,C_NOREBAL,504,4446,71.9447238308778,71.94472383087783,66.55063571394764,43.36528329295922,84.34118466093048,0.589
U56,C_NOREBAL,1008,4446,71.9447238308778,71.94472383087785,65.97842554782159,43.043706413713934,80.06806698517784,0.643
U56,C_NOREBAL,4446,4446,71.9447238308778,71.94472383087785,71.6618120399146,71.9447238308778,71.94472383087789,0.975
U56,C_SHUFFLE,1,4446,23.161189826322556,22.912170680938637,23.59634276106728,16.192687655234778,34.037203328002185,0.475
U56,C_SHUFFLE,2,4446,23.161189826322556,21.699782854914346,22.85306767317717,16.032480842631543,33.39050203667596,0.401
U56,C_SHUFFLE,5,4446,23.161189826322556,22.27736976745588,23.366377525533096,16.081379295253953,33.96709826994723,0.441
U56,C_SHUFFLE,10,4446,23.161189826322556,22.655417063405302,23.64238775613338,15.77162662577214,35.02794101916671,0.468
U56,C_SHUFFLE,21,4446,23.161189826322556,23.84766008549181,24.70751507729436,16.70675510868441,36.31437866205176,0.56
U56,C_SHUFFLE,42,4446,23.161189826322556,23.181440911212214,24.057358241074333,16.543855913981723,34.45482478432727,0.504
U56,C_SHUFFLE,63,4446,23.161189826322556,22.564091554174787,23.315610340776,16.16200799264323,33.42043223295145,0.438
U56,C_SHUFFLE,126,4446,23.161189826322556,22.642566068623097,23.440862747914515,16.243628305324044,33.343512657196094,0.468
U56,C_SHUFFLE,252,4446,23.161189826322556,22.9429060158783,22.248235276786907,16.243628305323966,30.014361056825802,0.41
U56,C_SHUFFLE,504,4446,23.161189826322556,23.16118982632238,22.13839536299694,16.243628305324044,28.82622348753567,0.363
U56,C_SHUFFLE,1008,4446,23.161189826322556,23.161189826322378,21.418828302726705,16.243628305323966,26.218031873343435,0.268
U56,C_SHUFFLE,4446,4446,23.161189826322556,23.161189826322378,23.0529966480762,23.161189826322147,23.161189826322556,0.248
U56,C_SPY,1,4446,26.19715110967317,24.8072075757446,25.922803119444378,16.92012767604451,38.95157155822853,0.416
U56,C_SPY,2,4446,26.19715110967317,23.992012448358757,25.017862452596077,16.46285141165006,36.770700361556386,0.382
U56,C_SPY,5,4446,26.19715110967317,23.652919468373067,24.783873649237133,16.767313625818257,36.94443483338909,0.324
U56,C_SPY,10,4446,26.19715110967317,23.398088355075906,24.739505030943604,16.4625747621475,37.13812408482216,0.34
U56,C_SPY,21,4446,26.19715110967317,25.01995934154664,25.894785730503056,15.893800131368154,38.81147099353239,0.418
U56,C_SPY,42,4446,26.19715110967317,26.1971511096732,25.878668806020205,16.299685171488292,36.3576712140746,0.559
U56,C_SPY,63,4446,26.19715110967317,26.19715110967319,25.736304642147154,16.47529163104958,35.62779589731262,0.577
U56,C_SPY,126,4446,26.19715110967317,26.19715110967319,24.930905627927494,16.791332027808267,33.07668416620054,0.626
U56,C_SPY,252,4446,26.19715110967317,26.19715110967317,23.994232510921545,17.23829217040624,29.99761410627719,0.608
U56,C_SPY,504,4446,26.19715110967317,26.19715110967317,23.894749686199642,17.23829217040624,27.33118141329932,0.676
U56,C_SPY,1008,4446,26.19715110967317,26.19715110967317,23.649080985766734,17.23829217040626,26.197151109673207,0.673
U56,C_SPY,4446,4446,26.19715110967317,26.19715110967319,26.177242818256964,26.19715110967317,26.197151109673207,0.996
B136,C_BOOK,1,4443,20.74030226784948,25.617164677397497,26.639767614084267,18.084058929007668,37.501274133504,0.845
B136,C_BOOK,2,4443,20.74030226784948,25.514925133461382,26.392739474661234,17.753005965123815,39.20500143000093,0.812
B136,C_BOOK,5,4443,20.74030226784948,24.779052795665695,25.962597051784176,17.447837161743152,37.87315268633288,0.797
B136,C_BOOK,10,4443,20.74030226784948,23.698685862994033,24.645781954141977,16.70211428068781,34.94603228792996,0.727
B136,C_BOOK,21,4443,20.74030226784948,23.662499085096492,24.453397059726246,16.903011101348202,34.96114579312211,0.714
B136,C_BOOK,42,4443,20.74030226784948,23.100213795307887,24.11566357897986,16.73326459414787,34.74609875782261,0.743
B136,C_BOOK,63,4443,20.74030226784948,22.33490251943511,23.32992222736829,17.22804715050507,32.005166779576435,0.709
B136,C_BOOK,126,4443,20.74030226784948,21.17504356972219,22.216515480792907,17.554278746499325,29.289135064437378,0.711
B136,C_BOOK,252,4443,20.74030226784948,20.740302267849486,21.080855644374306,17.554278746499367,26.54008063183081,0.642
B136,C_BOOK,504,4443,20.74030226784948,20.74030226784948,20.291138281946672,17.55427874649936,24.005938046510316,0.598
B136,C_BOOK,1008,4443,20.74030226784948,20.74030226784948,20.076251168048604,17.554278746499367,22.282634474879707,0.618
B136,C_BOOK,4443,4443,20.74030226784948,20.74030226784948,20.733840483066494,20.74030226784946,20.740302267849493,0.73
