panel,form,cadence,cash_bps,window,slope,r2,span,mean_idle
B136,EWall,M,0.0,FULL,0.0006530118885212709,0.4692565754289626,0.0008019687168263623,0.3985894538340778
B136,EWall,M,0.0,IS,0.018335381641922853,0.9991869657643836,0.01467758834896915,0.3985894538340778
B136,EWall,M,0.0,OOS,-0.013779241361861283,0.997341455930807,0.011043347638780787,0.3985894538340778
B136,EWall,M,150.0,FULL,-0.37065988205970896,0.8209943006329595,0.3628315977736212,0.39869582578582957
B136,EWall,M,150.0,IS,-0.3502881886809636,0.8067163181410615,0.34585411693466184,0.39869582578582957
B136,EWall,M,150.0,OOS,-0.3872768367395731,0.8312047720213802,0.3766814856055456,0.39869582578582957
B136,EWall,M,300.0,FULL,-0.7369565093443472,0.8207235672735373,0.7212652937412718,0.398800643058154
B136,EWall,M,300.0,IS,-0.7139362403196038,0.8141740717731407,0.7015188868493176,0.398800643058154
B136,EWall,M,300.0,OOS,-0.7557248681719526,0.8256229051721724,0.7373744081927054,0.398800643058154
B136,EWall,W,0.0,FULL,0.0016431479600024898,0.9068423703788457,0.0013122229221136372,0.39978131616506213
B136,EWall,W,0.0,IS,0.009823686539089502,0.9984653910614175,0.007837592169146479,0.39978131616506213
B136,EWall,W,0.0,OOS,-0.0048768269769365645,0.9841690697113579,0.0039186677430183,0.39978131616506213
B136,EWall,W,150.0,FULL,-0.36466065713574486,0.8209726509703679,0.3569393497290414,0.3998017988843795
B136,EWall,W,150.0,IS,-0.35751858811140114,0.8142604039220227,0.3513616096893468,0.3998017988843795
B136,EWall,W,150.0,OOS,-0.3702555663125429,0.82607399360512,0.3612892534501604,0.3998017988843795
B136,EWall,W,300.0,FULL,-0.72568851835184,0.8212256181988217,0.7100135929986455,0.39982198134528935
B136,EWall,W,300.0,IS,-0.7195672994657728,0.8180284402348207,0.7053843467451877,0.39982198134528935
B136,EWall,W,300.0,OOS,-0.7303738460517025,0.8237095407324033,0.7135146289499075,0.39982198134528935
B136,MA-DG,M,0.0,FULL,0.007060546783910446,0.9997197151927161,0.0056479935326401165,0.5748944320565642
B136,MA-DG,M,0.0,IS,0.011082272711257288,0.9998753305692397,0.008864898144020028,0.5748944320565642
B136,MA-DG,M,0.0,OOS,0.0035320635885110925,0.9989852361507042,0.002825630340038243,0.5748944320565642
B136,MA-DG,M,150.0,FULL,-0.6129047568064058,0.8182450385659406,0.6006567069011104,0.5750115010745038
B136,MA-DG,M,150.0,IS,-0.5864972491020112,0.8160653942342133,0.5755533983438021,0.5750115010745038
B136,MA-DG,M,150.0,OOS,-0.6367854520824602,0.8200063514614261,0.6233774072636706,0.5750115010745038
B136,MA-DG,M,300.0,FULL,-1.2245230044460427,0.8198817864449903,1.198797720730258,0.5751268427098095
B136,MA-DG,M,300.0,IS,-1.1760345800493288,0.8187938191224244,1.1521061824509804,0.5751268427098095
B136,MA-DG,M,300.0,OOS,-1.2684784170131358,0.8207677129895907,1.2411453006671214,0.5751268427098095
B136,MA-DG,W,0.0,FULL,-0.00037708699573872146,0.7535254326660645,0.00034645343296779707,0.5744033694913661
B136,MA-DG,W,0.0,IS,0.004199482118547911,0.9975965432559378,0.0033513847360935323,0.5744033694913661
B136,MA-DG,W,0.0,OOS,-0.004492764288512634,0.9975326477823191,0.0036009363850275644,0.5744033694913661
B136,MA-DG,W,150.0,FULL,-0.6465775849769821,0.8221067321714437,0.6321846483775757,0.5744259179697155
B136,MA-DG,W,150.0,IS,-0.6270026801938374,0.8200495127170381,0.6138286873635601,0.5744259179697155
B136,MA-DG,W,150.0,OOS,-0.6637702674082123,0.823848512655284,0.6482911178122654,0.5744259179697155
B136,MA-DG,W,300.0,FULL,-1.2834872117827967,0.821928279724621,1.254975500602683,0.574448135245821
B136,MA-DG,W,300.0,IS,-1.249125836749378,0.8209351153375654,1.2221316145389747,0.574448135245821
B136,MA-DG,W,300.0,OOS,-1.313572580822683,0.822774546493312,1.283715993598641,0.574448135245821
B136,MA-RS,M,0.0,FULL,0.005660750588383142,0.9992368871872322,0.004526764349258583,0.39871340437365393
B136,MA-RS,M,0.0,IS,0.015568620029050463,0.9999996951171833,0.012456681228010247,0.39871340437365393
B136,MA-RS,M,0.0,OOS,-0.0017878574525216865,0.9834173889111644,0.0014324312214752943,0.39871340437365393
B136,MA-RS,M,150.0,FULL,-0.4014574391444974,0.8166030355093492,0.39384574913774717,0.3988197864920407
B136,MA-RS,M,150.0,IS,-0.40508150875909565,0.8095570941907384,0.3990759974109259,0.3988197864920407
B136,MA-RS,M,150.0,OOS,-0.3985940467910707,0.8219273762073325,0.389771448986304,0.3988197864920407
B136,MA-RS,M,300.0,FULL,-0.8030802186195406,0.8185764019335497,0.786839440107399,0.39892461376030364
