basis,legal,floor,n_declined,OOS_4b,OOS_4a,med_OOS_Sharpe,med_OOS_MaxDD
S_IS4B,True,0.0,0,0,0,0.8312,-0.3414
S_IS4B,True,0.1,6,0,0,0.9849,-0.2271
S_IS4B,True,0.25,6,0,0,0.9849,-0.2271
S_IS4B,True,0.4,6,3,0,1.0011,-0.2
S_IS4B,True,0.5,6,3,0,1.0011,-0.2
S_IS4B,True,0.75,12,0,0,1.0274,-0.1389
S_IS4B,True,0.9,18,0,0,1.1061,-0.1224
S_ISLEG4,True,0.0,0,0,0,0.8312,-0.3414
S_ISLEG4,True,0.1,0,0,0,0.8312,-0.3414
S_ISLEG4,True,0.25,0,0,0,0.8312,-0.3414
S_ISLEG4,True,0.4,0,0,0,0.8312,-0.3414
S_ISLEG4,True,0.5,0,0,0,0.8312,-0.3414
S_ISLEG4,True,0.75,0,1,0,0.7123,-0.2989
S_ISLEG4,True,0.9,9,1,0,0.8528,-0.1635
S_FULL4B,False,0.0,0,0,0,0.8312,-0.3414
S_FULL4B,False,0.1,6,0,0,0.8793,-0.2135
S_FULL4B,False,0.25,9,3,0,1.059,-0.1635
S_FULL4B,False,0.4,12,3,0,1.0695,-0.1389
S_FULL4B,False,0.5,15,3,0,1.1061,-0.1307
S_FULL4B,False,0.75,15,3,0,1.1061,-0.1307
S_FULL4B,False,0.9,18,0,0,1.1061,-0.1224
