panel,L,h,seeds,bar742_CAGR,barW10_CAGR,book_CAGR,barW10_sd,book_sd
U56,0.3,0.0,1,0.1793764968786975,0.1768935586885565,0.11554030620111111,0.0,0.0
U56,0.3,0.005,6,0.1793764968786975,0.1768935586885565,0.11554030620111111,0.0,0.0
U56,0.3,0.01,6,0.17670232437637437,0.17423076078697144,0.11413169067171743,0.00490309754945798,0.003593510411430692
U56,0.3,0.02,6,0.17130836698678595,0.16870577087837815,0.10955453933150805,0.012448323484144975,0.00845955825908657
U56,0.3,0.03,6,0.16714907696854076,0.16444437056815284,0.10874862246258714,0.006820815907143291,0.005595116262627556
U56,0.3,0.05,6,0.1583094188357478,0.15587593774766395,0.10057050582481401,0.006939868064568796,0.008226828113905536
U56,0.55,0.0,1,0.1793764968786975,0.1768935586885565,0.11554030620111111,0.0,0.0
U56,0.55,0.005,6,0.1793764968786975,0.1768935586885565,0.11554030620111111,0.0,0.0
U56,0.55,0.01,6,0.173775960392095,0.17133409963263538,0.11254717659998392,0.007537649018733366,0.006569845904177418
U56,0.55,0.02,6,0.16821413595083756,0.16573837262392244,0.10743863952643877,0.006703645731705014,0.00457911411195249
U56,0.55,0.03,6,0.1638077780858316,0.16125582915409045,0.10314501112867691,0.006445422617297457,0.0065277521335421465
U56,0.55,0.05,6,0.15116129344612947,0.14846586690198985,0.0969226086601415,0.007510997963265852,0.0048265643305434956
U56,1.0,0.0,1,0.1793764968786975,0.1768935586885565,0.11554030620111111,0.0,0.0
U56,1.0,0.005,6,0.1793764968786975,0.1768935586885565,0.11554030620111111,0.0,0.0
U56,1.0,0.01,6,0.1720275453414549,0.1695379299223062,0.10944644856949441,0.005528995822960299,0.004684086033303878
U56,1.0,0.02,6,0.1561656567882492,0.15356992915576514,0.09853528994004186,0.008062777267938378,0.008471585782562017
U56,1.0,0.03,6,0.14920068707570186,0.14676473990601932,0.09674106419986335,0.013886061402763647,0.010730199995737348
U56,1.0,0.05,6,0.12940498168033232,0.12701550086179605,0.08228375524298732,0.012998357835494674,0.01333824993961262
B136,0.3,0.0,1,0.1922167286419465,0.18952378323674113,0.10730181668524397,0.0,0.0
B136,0.3,0.005,6,0.19185181776316276,0.18907346513121495,0.10660931093021235,0.0019204741260899576,0.0010527619978694747
B136,0.3,0.01,6,0.1896213978830591,0.1868634532919301,0.10518396019984348,0.0017829305509698007,0.0015544140621296307
B136,0.3,0.02,6,0.18609904696967927,0.18329204300559007,0.10310167675377409,0.002849534189742594,0.0024217020834673654
B136,0.3,0.03,6,0.18252299031194782,0.1796686848128807,0.10002949786145783,0.0035701297707366178,0.0030428859757030127
B136,0.3,0.05,6,0.1749153670923751,0.17202917641909507,0.09441445222382228,0.006612031816374933,0.006843210414974893
B136,0.55,0.0,1,0.1922167286419465,0.18952378323674113,0.10730181668524397,0.0,0.0
B136,0.55,0.005,6,0.18677907401838248,0.18407372672150799,0.10404858218956507,0.00210307942646521,0.0022264170283783496
B136,0.55,0.01,6,0.1889022011104584,0.18618010735272494,0.10543903396666143,0.001849306774973426,0.0011174938420649245
B136,0.55,0.02,6,0.18150275166028704,0.17871835440941528,0.1001493491365976,0.0025610806424757673,0.0024163397455765827
B136,0.55,0.03,6,0.17370748823693705,0.1708990245991169,0.0949726483343896,0.005448695779364461,0.004956352105053132
B136,0.55,0.05,6,0.15839228132797967,0.15571944683701866,0.08370605605153085,0.010464074902780115,0.007631989672169138
B136,1.0,0.0,1,0.1922167286419465,0.18952378323674113,0.10730181668524397,0.0,0.0
B136,1.0,0.005,6,0.1830645399772354,0.18035235199367372,0.10045264763939887,0.001845563337323547,0.0018450508858640184
B136,1.0,0.01,6,0.18418993282499752,0.1814949261723119,0.10180451946824572,0.001766865332216727,0.0012484803465291645
B136,1.0,0.02,6,0.16836578019559192,0.16566989318664269,0.0910876309070594,0.0038836347509228764,0.0044658152169395815
B136,1.0,0.03,6,0.15859538555417407,0.15592612125868024,0.08562031992788251,0.004016152334850406,0.0019396443778794993
B136,1.0,0.05,6,0.13753628570337809,0.13491465679012557,0.0703113879899198,0.0036958929440731522,0.00698259193476911
