panel,q,draw,from525,k,Ebar,breadth,Emed,Ebar_IS,breadth_IS
q0.00_k40_d0,0.0,0,True,40.0,26.3971119133574,0.659927797833935,28.0,27.076923076923077,0.676923076923077
q0.00_k40_d1,0.0,1,True,40.0,27.252707581227437,0.6813176895306858,29.0,27.92923076923077,0.6982307692307692
q0.00_k40_d2,0.0,2,True,40.0,27.607701564380264,0.6901925391095067,29.0,28.476923076923075,0.7119230769230769
q0.00_k60_d0,0.0,0,True,60.0,42.58243080625752,0.709707180104292,45.0,43.606153846153845,0.7267692307692307
q0.00_k60_d1,0.0,1,True,60.0,41.26113116726835,0.6876855194544725,44.0,41.473846153846154,0.6912307692307692
q0.00_k60_d2,0.0,2,True,60.0,39.67749699157641,0.6612916165262736,42.0,40.283076923076926,0.6713846153846154
q0.00_k80_d0,0.0,0,True,80.0,54.13598074608905,0.6766997593261133,57.0,54.612307692307695,0.6826538461538462
q0.00_k80_d1,0.0,1,True,80.0,54.35379061371841,0.6794223826714801,58.0,55.58769230769231,0.6948461538461538
q0.00_k80_d2,0.0,2,True,80.0,55.01564380264741,0.6876955475330926,58.0,56.04923076923077,0.7006153846153846
q0.00_k100_d0,0.0,0,True,100.0,68.4043321299639,0.6840433212996391,73.0,69.76615384615384,0.6976615384615384
q0.25_k40_d0,0.25,0,True,40.0,25.19253910950662,0.6298134777376655,27.0,26.03076923076923,0.6507692307692308
q0.25_k40_d1,0.25,1,True,40.0,24.018050541516246,0.6004512635379061,26.0,24.203076923076924,0.605076923076923
q0.25_k40_d2,0.25,2,True,40.0,24.54632972322503,0.6136582430806257,26.0,24.790769230769232,0.6197692307692308
q0.25_k60_d0,0.25,0,True,60.0,36.66064981949459,0.6110108303249098,39.0,36.88,0.6146666666666667
q0.25_k60_d1,0.25,1,True,60.0,35.97713598074609,0.5996189330124347,38.0,35.252307692307696,0.5875384615384615
q0.25_k60_d2,0.25,2,True,60.0,36.79903730445247,0.6133172884075412,39.0,37.48,0.6246666666666667
q0.25_k80_d0,0.25,0,True,80.0,49.376654632972325,0.617208182912154,52.0,50.18153846153846,0.6272692307692308
q0.25_k80_d1,0.25,1,True,80.0,50.15884476534296,0.6269855595667871,53.0,51.84307692307692,0.6480384615384616
q0.25_k80_d2,0.25,2,True,80.0,48.474127557160045,0.6059265944645006,51.0,49.51692307692308,0.6189615384615385
q0.25_k100_d0,0.25,0,True,100.0,61.143200962695545,0.6114320096269555,64.0,62.113846153846154,0.6211384615384615
q0.25_k100_d1,0.25,1,True,100.0,61.96871239470517,0.6196871239470518,66.0,62.784615384615385,0.6278461538461538
q0.25_k100_d2,0.25,2,True,100.0,59.86642599277978,0.5986642599277978,63.0,61.01538461538462,0.6101538461538462
q0.50_k40_d0,0.5,0,True,40.0,21.703971119133573,0.5425992779783394,23.0,22.055384615384614,0.5513846153846154
q0.50_k40_d1,0.5,1,True,40.0,22.756919374247893,0.5689229843561974,25.0,23.236923076923077,0.580923076923077
q0.50_k40_d2,0.5,2,True,40.0,20.335740072202167,0.5083935018050542,22.0,20.363076923076925,0.5090769230769231
q0.50_k60_d0,0.5,0,True,60.0,31.85800240673887,0.5309667067789812,34.0,31.818461538461538,0.5303076923076923
q0.50_k60_d1,0.5,1,True,60.0,32.380264741275575,0.5396710790212595,34.0,31.686153846153847,0.528102564102564
q0.50_k60_d2,0.5,2,True,60.0,32.080625752105895,0.5346770958684316,34.0,31.73846153846154,0.5289743589743591
q0.50_k80_d0,0.5,0,True,80.0,43.014440433213,0.5376805054151624,46.0,44.19384615384615,0.5524230769230768
q0.50_k80_d1,0.5,1,True,80.0,41.57400722021661,0.5196750902527075,45.0,41.61846153846154,0.5202307692307692
q0.50_k80_d2,0.5,2,True,80.0,44.285198555956676,0.5535649819494585,46.0,44.353846153846156,0.5544230769230769
q0.50_k100_d0,0.5,0,True,100.0,51.11672683513839,0.5111672683513839,54.0,50.55384615384615,0.5055384615384616
q0.50_k100_d1,0.5,1,True,100.0,50.383874849578824,0.5038387484957882,53.0,51.49846153846154,0.5149846153846154
q0.50_k100_d2,0.5,2,True,100.0,50.63778580024067,0.5063778580024068,53.0,49.535384615384615,0.4953538461538462
q0.50_k200_d0,0.5,0,False,200.0,106.06137184115524,0.5303068592057761,113.0,103.36,0.5167999999999999
q0.50_k200_d1,0.5,1,False,200.0,108.4476534296029,0.5422382671480145,116.0,110.93230769230769,0.5546615384615384
q0.50_k200_d2,0.5,2,False,200.0,108.63537906137184,0.5431768953068592,115.0,109.44923076923077,0.5472461538461538
q0.75_k40_d0,0.75,0,True,40.0,15.700361010830324,0.3925090252707581,16.0,15.904615384615385,0.3976153846153846
q0.75_k40_d1,0.75,1,True,40.0,18.73164861612515,0.46829121540312874,20.0,17.889230769230767,0.4472307692307692
q0.75_k40_d2,0.75,2,True,40.0,18.99037304452467,0.4747593261131167,20.0,19.455384615384617,0.48638461538461536
q0.75_k60_d0,0.75,0,True,60.0,26.703971119133573,0.4450661853188929,28.0,26.043076923076924,0.434051282051282
q0.75_k60_d1,0.75,1,True,60.0,27.310469314079423,0.45517448856799037,29.0,26.501538461538463,0.44169230769230766
q0.75_k60_d2,0.75,2,True,60.0,23.98676293622142,0.39977938227035703,25.0,23.40923076923077,0.3901538461538462
q0.75_k80_d0,0.75,0,True,80.0,37.60890493381468,0.4701113116726835,40.0,36.48,0.45599999999999996
q0.75_k80_d1,0.75,1,True,80.0,38.59205776173285,0.4824007220216607,41.0,38.04,0.4755
q0.75_k80_d2,0.75,2,True,80.0,37.98796630565584,0.474849578820698,40.0,38.82153846153846,0.4852692307692308
