cells,mean_IS_rate,mean_OOS_rate,mean_OOS_lever,mean_OOS_vs_matchedDD,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,beats_SPY,beats_v2,beats_ctl,OOS_pass4b
8,0.5499547808956143,0.4185170644659069,0.6835565539560586,1.3824874545751826,0.118134807933066,1.1061415076721355,-0.17959710429181786,7,2,8,7
8,0.5025854491633814,0.43408687602936474,0.6989172319806113,0.6902767436115669,0.13191053670106678,1.0748022575456684,-0.21104663034883336,7,2,6,0
8,0.5499547808956143,0.4185170644659069,0.6835565539560586,1.3824874545751826,0.118134807933066,1.1061415076721355,-0.17959710429181786,7,2,8,7
12,0.7753660200552971,0.476686859585411,0.9524509266501783,0.0,0.023234879192545244,0.8498301697432833,-0.087480355410518,7,1,6,0
12,0.3444301409060951,0.3125426078901757,0.38049644420606055,0.36103960219160364,0.10412770827176208,0.8627191880814448,-0.21725232907877345,7,2,10,0
12,0.4375088453218631,0.29813091059066726,0.27813461689042546,0.34409329223628876,0.10393843178439009,0.8653317351794213,-0.21776861570951975,7,2,12,1
6,4.115513667167573,0.24216765797785023,0.39523894379139785,1.8208674701323437,0.1330682138572152,1.1187104479579588,-0.1875777692410868,6,0,4,6
8,1.2018862963088985,0.27174985438522314,-0.03452894707129446,1.0317009518440265,0.09691319989895256,0.9284359558187909,-0.18827402431397977,6,0,4,4
12,0.3123209049142339,0.28687944710090063,0.16605416501942824,0.4438132818854235,0.10462661883007363,0.8648137306170444,-0.21495383792809789,7,2,10,0
12,0.5200320803467423,0.3571535517695863,0.562429471052268,1.4559706614001773,0.07148011347896965,0.9556502232128622,-0.13035993133651158,7,3,12,0
