period,D,est,bar,subset,n,was_inside,now_inside,to_inside,to_outside,net,net_vs_RSS,moved_share
FULL,3,RSS_INDEP,1.0,ALL,607,257,300,43,0,43,0,0.07084019769357495
FULL,3,RSS_INDEP,1.0,2PANEL,345,120,132,12,0,12,0,0.034782608695652174
FULL,3,RSS_INDEP,1.0,3PANEL,262,137,168,31,0,31,0,0.1183206106870229
FULL,3,RSS_INDEP,1.0,NESTED_PAIR,366,158,192,34,0,34,0,0.09289617486338798
FULL,3,RSS_INDEP,2.0,ALL,607,312,350,38,0,38,0,0.06260296540362438
FULL,3,RSS_INDEP,2.0,2PANEL,345,141,156,15,0,15,0,0.043478260869565216
FULL,3,RSS_INDEP,2.0,3PANEL,262,171,194,23,0,23,0,0.08778625954198473
FULL,3,RSS_INDEP,2.0,NESTED_PAIR,366,196,208,12,0,12,0,0.03278688524590164
FULL,3,PAIR_INDEP,1.0,ALL,607,257,278,21,0,21,-22,0.03459637561779242
FULL,3,PAIR_INDEP,1.0,2PANEL,345,120,132,12,0,12,0,0.034782608695652174
FULL,3,PAIR_INDEP,1.0,3PANEL,262,137,146,9,0,9,-22,0.03435114503816794
FULL,3,PAIR_INDEP,1.0,NESTED_PAIR,366,158,170,12,0,12,-22,0.03278688524590164
FULL,3,PAIR_INDEP,2.0,ALL,607,312,345,34,1,33,-5,0.057660626029654036
FULL,3,PAIR_INDEP,2.0,2PANEL,345,141,156,15,0,15,0,0.043478260869565216
FULL,3,PAIR_INDEP,2.0,3PANEL,262,171,189,19,1,18,-5,0.07633587786259542
FULL,3,PAIR_INDEP,2.0,NESTED_PAIR,366,196,204,9,1,8,-4,0.0273224043715847
FULL,3,PAIR_SEED,1.0,ALL,607,257,245,18,30,-12,-55,0.07907742998352553
FULL,3,PAIR_SEED,1.0,2PANEL,345,120,119,10,11,-1,-13,0.06086956521739131
FULL,3,PAIR_SEED,1.0,3PANEL,262,137,126,8,19,-11,-42,0.10305343511450382
