rule,basis,k,n_moved,A_Sharpe,B_Sharpe,B_CAGR,B_MaxDD
R_SE,SE_JOINT,0.0,59,0.976813721771814,0.6041809642188745,0.0773610183616382,-0.18496955957631062
R_SE,SE_JOINT,0.25,47,0.9792854599300647,0.5803905633234611,0.0742991588070784,-0.17990443238304532
R_SE,SE_JOINT,0.5,41,0.9818896414901244,0.5638679979372322,0.07208328837297656,-0.179792703510491
R_SE,SE_JOINT,1.0,28,0.9967235717905822,0.5557891409619778,0.07244621978133207,-0.17796226574150426
R_SE,SE_JOINT,1.5,19,1.010027548779497,0.5579922620190776,0.07173282548421928,-0.1723412339364726
R_SE,SE_JOINT,2.0,9,1.0070909094241978,0.5539877247240892,0.07055651584195653,-0.16798525161449912
R_SE,SE_JOINT,3.0,8,1.0070708003418163,0.5539189401857523,0.07006974915119543,-0.1673842296635369
R_SE,SE_MARGINAL,0.0,59,0.976813721771814,0.6041809642188745,0.0773610183616382,-0.18496955957631062
R_SE,SE_MARGINAL,0.25,29,0.9908028360902656,0.5535804238674031,0.0712994138779173,-0.1776074528943616
R_SE,SE_MARGINAL,0.5,18,0.9997047193885563,0.5589875822812784,0.07255905039755593,-0.17285432089300581
R_SE,SE_MARGINAL,1.0,6,1.006950051016779,0.5537277894095474,0.06930115617173409,-0.16612367800229444
R_SE,SE_MARGINAL,1.5,5,1.0069783145505784,0.5538139846810283,0.06991339999877795,-0.16690486204775865
R_SE,SE_MARGINAL,2.0,1,1.0069854601952217,0.5542746471752569,0.071235910907559,-0.17225343504493282
R_SE,SE_MARGINAL,3.0,0,1.0070015764471743,0.5543170365060267,0.07263694359342643,-0.1735344872399986
R_SE,SE_IID,0.0,59,0.976813721771814,0.6041809642188745,0.0773610183616382,-0.18496955957631062
R_SE,SE_IID,0.25,47,0.9792854599300647,0.5803905633234611,0.0742991588070784,-0.17990443238304532
R_SE,SE_IID,0.5,39,0.9822476574946215,0.5651831605568761,0.07252862583157776,-0.17998477327588225
R_SE,SE_IID,1.0,24,0.9988347459280157,0.5595132990193858,0.07378876946400315,-0.17445387946285434
R_SE,SE_IID,1.5,13,1.0099778484927766,0.5521990155236426,0.07069414818079593,-0.17050699956042914
R_SE,SE_IID,2.0,8,1.0070708003418163,0.5539189401857523,0.07006974915119543,-0.1673842296635369
R_SE,SE_IID,3.0,2,1.0071369496929239,0.5541148944400273,0.07308863960728704,-0.1704688664592861
R_RAW,-,,59,0.976813721771814,0.6041809642188745,0.0773610183616382,-0.18496955957631062
R_BAR,-,,13,1.006889051997752,0.5516954432357478,0.06996707476849368,-0.17021856379985484
R_ANCHOR,-,,0,1.0070015764471743,0.5543170365060267,0.07263694359342643,-0.1735344872399986
