panel,family,cad,window,n,mean_resid0,sd_resid0,min_resid0,max_resid0,max_abs,n_neg,mean_c_bar,mean_c_sd,in_pub_band,theta_in_band
U56,MA-THRESH,D,FULL,9,-0.2635611568980438,0.15291093145413723,-0.4996140697159257,-0.061409834115178086,0.4996140697159257,9,0.5850831990203691,0.11203667204756543,True,5
U56,MA-THRESH,D,IS,9,-0.4506720748332422,0.40310458605297556,-0.8610224467547223,0.26113764427035946,0.8610224467547223,8,0.575019079684881,0.11679092129429508,True,4
U56,MA-THRESH,D,OOS,9,-0.10643987949464723,0.22386343238620957,-0.4236170863281652,0.23353981311089456,0.4236170863281652,5,0.5933851667582746,0.10602814087873536,False,3
U56,MA-THRESH,W,FULL,9,-0.44385445993879213,0.37492647353478126,-1.281609381024417,-0.13173294241055622,1.281609381024417,9,0.5848587476884879,0.1120827600906203,True,4
U56,MA-THRESH,W,IS,9,-0.4924098856409336,0.44939315670977337,-1.200996917028819,0.1230716296403358,1.200996917028819,7,0.5747344618578432,0.11680972746403567,True,3
U56,MA-THRESH,W,OOS,9,-0.4003769386703612,0.4113685783074262,-1.386597631375075,-0.02776471556491522,1.386597631375075,9,0.5932103472207952,0.10607780478726014,True,5
U56,MA-THRESH,M,FULL,9,-0.2957138481532557,0.23352958097834284,-0.6358309260322095,-0.025891016070689332,0.6358309260322095,9,0.5836808474549119,0.11135002700616425,True,5
U56,MA-THRESH,M,IS,9,-0.20655711935909032,0.284131062617148,-0.6355473142446222,0.13660509034563262,0.6355473142446222,6,0.574074759893191,0.11825576001693637,True,4
U56,MA-THRESH,M,OOS,9,-0.3557462220390286,0.21455122245657832,-0.6165843719544633,-0.07038719596796916,0.6165843719544633,9,0.591604981337515,0.10267916804838295,True,6
U56,MA-THRESH,Q,FULL,9,-0.2728392393844121,0.23946393326609078,-0.6317674515516245,0.06840483910857387,0.6317674515516245,8,0.5770292658077334,0.12120942786536272,True,6
U56,MA-THRESH,Q,IS,9,-0.24952130654292157,0.3058860118368502,-0.6735419605480519,0.2725754073575217,0.6735419605480519,8,0.5682116446069089,0.12385783881884589,True,6
