credit,passes,L5,L4,grosses
0.0,0,0.5,0.375,[]
0.01,0,0.5,0.375,[]
0.02,0,0.5,0.375,[]
0.03,0,0.5,0.375,[]
0.04,0,0.625,0.375,[]
0.05,0,0.625,0.375,[]
0.06,2,0.75,0.375,[np.float64(0.5)]
