corpus,cost_bps,dial,group,n_books,mean_d,sd_d,p_sign_disagree,mean_abs_err,t_like
A,5,GROSS,ALL,53,-0.00012562543834537422,0.00011507703387673948,0.3125,0.00011107435305273042,1.0916638448317102
A,5,GROSS,B136,48,-0.0001457626082867642,0.00011904995496872151,0.2375,0.0001145070224433066,1.2243818748245572
A,5,GROSS,B136k20,16,-8.930167383845028e-05,8.986509692824568e-05,0.5,8.930167383845028e-05,0.9937303346595663
A,5,GROSS,B136k40,16,-0.0003479861510218424,0.0003501816690226519,0.5,0.0003479861510218424,0.9937303428798329
A,5,GROSS,B136k80,16,0.0,0.0,0.0,0.0,0.0
A,5,N,ALL,53,-0.007434196024472373,0.047220335732797804,0.575,0.037678023848047505,0.15743632290931323
A,5,N,B136,48,-0.01860411708772565,0.054302079067492494,0.4625,0.04411624676308369,0.342604139783669
A,5,N,B136k20,16,0.027665947042003813,0.03361705422130124,0.15,0.023911879273017283,0.8229735674951103
A,5,N,B136k40,16,-0.040800896550076814,0.0714079684502614,0.15,0.050827691461088786,0.5713773607482608
A,5,N,B136k80,16,-0.02661028595434105,0.13171733511954614,0.325,0.11602257469643129,0.20202569335302473
A,5,BAND,ALL,53,-0.0012582926675590693,0.003088774653875437,0.35,0.002602714684414842,0.4073760012155413
A,5,BAND,B136,48,-0.0016632926510690726,0.003895310939081482,0.375,0.0033504641023971798,0.4269986855103998
A,5,BAND,B136k20,16,-0.004421300884027937,0.011601133860608875,0.4,0.00969383511968185,0.3811093757532748
A,5,BAND,B136k40,16,-0.0035526415839536585,0.004504854195838836,0.3625,0.004231475955894512,0.788625209323452
A,5,BAND,B136k80,16,0.0029840645147743775,0.0020977136145804774,0.1,0.0019827978487909964,1.4225318902497708
A,5,BAND+,ALL,53,0.005203436478454946,0.010193087121383164,0.275,0.008615097806143264,0.510486805025794
A,5,BAND+,B136,48,0.009592310891646718,0.0072899813413082725,0.125,0.005513608655246395,1.3158210482620307
A,5,BAND+,B136k20,16,0.017107089247091697,0.014395196565008208,0.1,0.011199580066521692,1.1883887217967666
A,5,BAND+,B136k40,16,-0.00199741006203359,0.009915063044402421,0.3375,0.007391808569024503,0.2014520788105106
A,5,BAND+,B136k80,16,0.00817125221545012,0.009430027847098683,0.175,0.006721586266502771,0.8665141129034563
A,5,CADENCE,ALL,53,0.03141473870534832,0.010098175936582987,0.0,0.008500078010434798,3.110932003910746
A,5,CADENCE,B136,48,0.03469781050985925,0.01026648179044233,0.0,0.008283755843002505,3.379717727525875
A,5,CADENCE,B136k20,16,0.03137520229909786,0.02437826029348269,0.0875,0.018850022358369585,1.287015640988899
