check,got,want,err,ok
rung identity @10bps,0.0,0.0,0.0,True
rung identity @25bps,0.0,0.0,0.0,True
idea 40/41 U56 n=3 NONE CAGR,0.218531179006751,0.2185,3.117900675100871e-05,True
idea 40/41 U56 n=3 NONE Sharpe,1.0360853249411557,1.036,8.532494115565115e-05,True
idea 40/41 U56 n=3 NONE MaxDD,-0.2581034625219104,-0.2581,3.4625219104134075e-06,True
idea 40/41 U56 n=3 NONE H1,1.0144577492222204,1.014,0.00045774922222041603,True
idea 40/41 U56 n=3 NONE H2,1.0612718596873816,1.061,0.000271859687381637,True
GROSS linearity @0bps,0.0,0.0,0.0,True
