panel,ladder,stat,core_k,core_peak,edge,side,extendable,ext_k,ext_peak,moved,moved_outward,ext_gap,ext_spread,ext_floor,ext_tie_n,ext_rho
U56,N,S_FULL,9,12,False,,,13,12,False,False,0.007068668245825416,0.22669502236058714,0.1972105128950422,11,0.5604395604395604
U56,N,S_OOS,9,15,False,,,13,15,False,False,0.014730064937639176,0.3773584211449196,0.30577720912366957,11,0.5054945054945055
U56,N,CAGR,9,5,True,LO,True,13,3,True,True,2.535047560020274,7.921740260521171,6.550911496085066,9,-0.9615384615384616
U56,N,DD,9,20,False,,,13,20,False,False,1.0416639841034687,17.48289326534359,6.726027403333877,10,0.24175824175824176
U56,H,S_FULL,4,252,True,HI,True,8,252,False,False,0.005795070602756525,0.0784762261025842,inf,8,0.8809523809523809
U56,H,S_OOS,4,252,True,HI,True,8,252,False,False,0.028770378742377645,0.168697775676816,0.168697775676816,7,-0.16666666666666666
U56,H,CAGR,4,252,True,HI,True,8,252,False,False,0.3049987073677549,2.7754502284563554,2.0711780877910027,6,0.8095238095238095
U56,H,DD,4,126,False,,,8,5,True,True,0.12780039514388264,7.209638835154795,inf,8,-0.21428571428571427
U56,GROSS,S_FULL,10,0.75,True,HI,True,17,1.0,True,True,8.742112031567828e-05,0.0028672217088339114,0.0021330088636448696,14,1.0
U56,GROSS,S_OOS,10,0.75,True,HI,True,17,1.0,True,True,0.00013397096171474665,0.003480470004242786,inf,17,1.0
U56,GROSS,CAGR,10,0.75,True,HI,True,17,1.0,True,True,1.0502965402386941,16.723194824749488,1.0335147164816982,1,1.0
U56,GROSS,DD,10,0.3,True,LO,True,17,0.2,True,True,1.3119452172777208,19.548158006355074,1.137676143297849,1,-1.0
U56,CADENCE,S_FULL,4,W,False,,,6,W,False,False,0.0008674369892938127,0.20667931410685014,0.16468625834023953,5,-0.7142857142857143
U56,CADENCE,S_OOS,4,Q,True,HI,True,6,Q,False,False,0.008308398644119697,0.23036096523592242,0.22205256659180272,5,-0.6
U56,CADENCE,CAGR,4,W,False,,,6,W,False,False,0.16042241106593025,3.2253280139271183,2.318823268030256,4,-0.8857142857142857
U56,CADENCE,DD,4,W,False,,,6,2Q,True,True,1.2313311041019652,5.234623059129774,inf,6,0.42857142857142855
B136,N,S_FULL,9,30,False,,,13,50,True,True,0.0004313048500346195,0.12096243461251788,inf,13,0.8846153846153846
B136,N,S_OOS,9,30,False,,,13,60,True,True,0.023050529639433437,0.32391538889994265,0.24134638911431416,10,0.9175824175824175
B136,N,CAGR,9,5,True,LO,True,13,3,True,True,2.324800815826844,8.688576923100543,4.874837078051986,3,-0.989010989010989
B136,N,DD,9,15,False,,,13,15,False,False,0.543560127681598,9.360639803448436,6.953285654466381,10,0.23626373626373626
B136,H,S_FULL,4,21,True,LO,True,8,21,False,False,0.002489675049586637,0.12020969100321666,0.1089552873543076,6,0.19047619047619047
B136,H,S_OOS,4,252,True,HI,True,8,252,False,False,0.02989620363405554,0.2047740305201603,0.2047740305201603,7,0.6666666666666666
B136,H,CAGR,4,63,False,,,8,63,False,False,0.564914333987776,3.5899559379907195,2.6792532006335783,6,0.2857142857142857
B136,H,DD,4,126,False,,,8,5,True,True,0.9035108305427109,8.858026925592569,inf,8,0.07142857142857142
B136,GROSS,S_FULL,10,0.75,True,HI,True,17,1.0,True,True,0.0003389085552232274,0.006793895719858334,0.0003389085552232274,1,1.0
B136,GROSS,S_OOS,10,0.75,True,HI,True,17,1.0,True,True,0.0004014498193911642,0.007770760072120186,0.0004014498193911642,1,1.0
B136,GROSS,CAGR,10,0.75,True,HI,True,17,1.0,True,True,1.0659105244785536,17.13411460775598,1.0659105244785536,1,1.0
B136,GROSS,DD,10,0.3,True,LO,True,17,0.2,True,True,1.4240663706319383,21.134890638833262,1.2201974349994487,1,-1.0
B136,CADENCE,S_FULL,4,M,False,,,6,2Q,True,True,0.03659811774504407,0.1475604219396992,0.1475604219396992,5,-0.2
B136,CADENCE,S_OOS,4,M,False,,,6,2Q,True,True,0.0696914084338709,0.3068408108647791,0.2371494024309082,5,-0.02857142857142857
B136,CADENCE,CAGR,4,M,False,,,6,2Q,True,True,0.02783976064584337,2.7001593022652806,2.672319541619437,5,-0.2571428571428571
B136,CADENCE,DD,4,W,False,,,6,W,False,False,1.3764460187531853,7.623470897118423,inf,6,0.2
