L,n_fire,sel_mean_OOS_Sharpe,d_sel,n_4b_both,do_nothing_OOS,do_nothing_4b
1,11,0.792082965725636,-0.00016457447153095384,21,0.7922475401971669,24
2,12,0.7922046978924073,-4.284230475959383e-05,21,0.7922475401971669,24
5,12,0.7922046978924073,-4.284230475959383e-05,21,0.7922475401971669,24
10,13,0.792250218600111,2.6784029441007107e-06,20,0.7922475401971669,24
16,15,0.7917691440183773,-0.0004783961787896418,20,0.7922475401971669,24
21,16,0.7918144668343835,-0.00043307336278342046,20,0.7922475401971669,24
26,15,0.7917691440183773,-0.0004783961787896418,20,0.7922475401971669,24
32,17,0.7908280073816341,-0.0014195328155328646,19,0.7922475401971669,24
42,17,0.7908280073816341,-0.0014195328155328646,19,0.7922475401971669,24
52,17,0.7908280073816341,-0.0014195328155328646,19,0.7922475401971669,24
63,17,0.7908280073816341,-0.0014195328155328646,19,0.7922475401971669,24
79,18,0.7916975121039779,-0.0005500280931890478,18,0.7922475401971669,24
100,18,0.7916975121039779,-0.0005500280931890478,18,0.7922475401971669,24
126,18,0.7916975121039779,-0.0005500280931890478,18,0.7922475401971669,24
160,20,0.7938080672942602,0.0015605270970933116,18,0.7922475401971669,24
200,19,0.7916975121039779,-0.0005500280931890478,18,0.7922475401971669,24
252,22,0.7896433885870748,-0.002604151610092087,17,0.7922475401971669,24
378,23,0.7889410910362454,-0.0033064491609214874,16,0.7922475401971669,24
504,24,0.7889410910362454,-0.0033064491609214874,16,0.7922475401971669,24
756,27,0.7948933369467722,0.0026457967496053003,15,0.7922475401971669,24
1008,32,0.7949096542620926,0.002662114064925669,13,0.7922475401971669,24
