CLAIM_SET,src,which,mult,k_min,k_max,inflation,SURVIVES,corrected
C_STRICT,LEADERBOARD,smallest,1.0,3,594,1.9251546022643684,False,0.5194388018623539
C_STRICT,LEADERBOARD,largest,1.0,3,594,1.9251546022643684,False,0.5194388018623539
C_STRICT,LEADERBOARD,smallest,2.0,3,126,1.9251546022643684,True,1.0388776037247078
C_STRICT,LEADERBOARD,largest,2.0,3,126,1.9251546022643684,True,1.0388776037247078
C_STRICT,LEADERBOARD,smallest,0.25,3,4,1.2163468668042485,False,0.2055334763650388
C_STRICT,LEADERBOARD,largest,12.2,3,4,1.2163468668042485,True,10.030033646613893
C_STRICT,LEADERBOARD,smallest,9.0,3,20,1.9251546022643684,True,4.674949216761185
C_STRICT,LEADERBOARD,largest,9.0,3,20,1.9251546022643684,True,4.674949216761185
C_STRICT,LEADERBOARD,smallest,4.5,13,115,1.0,True,4.5
C_STRICT,LEADERBOARD,largest,4.5,13,115,1.0,True,4.5
C_STRICT,LEADERBOARD,smallest,2.4,2,16,2.8877327564586013,False,0.8311018374647877
C_STRICT,LEADERBOARD,largest,10.8,2,16,2.8877327564586013,True,3.739958268591545
C_STRICT,LEADERBOARD,smallest,1.9,40,504,1.0,True,1.9
C_STRICT,LEADERBOARD,largest,1.9,40,504,1.0,True,1.9
C_STRICT,LEADERBOARD,smallest,1.902,3,30,1.9251546022643684,False,0.9879726011421971
C_STRICT,LEADERBOARD,largest,1.969,3,30,1.9251546022643684,True,1.022775000866975
C_STRICT,LEADERBOARD,smallest,2.0,24,136,1.0,True,2.0
C_STRICT,LEADERBOARD,largest,2.0,24,136,1.0,True,2.0
C_STRICT,LEADERBOARD,smallest,10.0,1,12,2.8877327564586013,True,3.462924322769949
C_STRICT,LEADERBOARD,largest,10.0,1,12,2.8877327564586013,True,3.462924322769949
C_STRICT,LEADERBOARD,smallest,5.07,3,126,1.9251546022643684,True,2.6335547254421345
C_STRICT,LEADERBOARD,largest,7.68,3,126,1.9251546022643684,True,3.989289998302878
C_STRICT,LEADERBOARD,smallest,16.0,0,126,2.8877327564586013,True,5.540678916431919
C_STRICT,LEADERBOARD,largest,56.0,0,126,2.8877327564586013,True,19.392376207511713
C_STRICT,LEADERBOARD,smallest,5.09,0,136,2.8877327564586013,True,1.762628480289904
C_STRICT,LEADERBOARD,largest,6.7,0,136,2.8877327564586013,True,2.320159296255866
C_STRICT,LEADERBOARD,smallest,1.0,3,45,1.9251546022643684,False,0.5194388018623539
C_STRICT,LEADERBOARD,largest,6.66,3,45,1.9251546022643684,True,3.459462420403277
C_STRICT,LEADERBOARD,smallest,4.816,0,54,2.8877327564586013,True,1.6677443538460075
C_STRICT,LEADERBOARD,largest,20.0,0,54,2.8877327564586013,True,6.925848645539898
C_STRICT,LEADERBOARD,smallest,0.6,19,62,1.0,False,0.6
C_STRICT,LEADERBOARD,largest,0.7,19,62,1.0,False,0.7
C_STRICT,LEADERBOARD,smallest,8.2,2,816,2.8877327564586013,True,2.839597944671358
C_STRICT,LEADERBOARD,largest,10.9,2,816,2.8877327564586013,True,3.7745875118192447
C_STRICT,LEADERBOARD,smallest,39.0,7,9,1.0982373998699135,True,35.51144771123216
C_STRICT,LEADERBOARD,largest,39.0,7,9,1.0982373998699135,True,35.51144771123216
C_STRICT,LEADERBOARD,smallest,1.75,3,96,1.9251546022643684,False,0.9090179032591194
C_STRICT,LEADERBOARD,largest,1.75,3,96,1.9251546022643684,False,0.9090179032591194
C_STRICT,LEADERBOARD,smallest,10.0,2,252,2.8877327564586013,True,3.462924322769949
C_STRICT,LEADERBOARD,largest,10.0,2,252,2.8877327564586013,True,3.462924322769949
C_STRICT,LEADERBOARD,smallest,1.8,4,439,1.5827348717741971,True,1.1372719664552884
C_STRICT,LEADERBOARD,largest,1.8,4,439,1.5827348717741971,True,1.1372719664552884
C_STRICT,LEADERBOARD,smallest,0.85,3,5,1.3742004018743106,False,0.6185415160995886
C_STRICT,LEADERBOARD,largest,0.85,3,5,1.3742004018743106,False,0.6185415160995886
C_STRICT,LEADERBOARD,smallest,0.76,3,11,1.8745900462551306,False,0.40542197560381393
C_STRICT,LEADERBOARD,largest,0.76,3,11,1.8745900462551306,False,0.40542197560381393
C_STRICT,LEADERBOARD,smallest,1.0,3,1020,1.9251546022643684,False,0.5194388018623539
C_STRICT,LEADERBOARD,largest,1.0,3,1020,1.9251546022643684,False,0.5194388018623539
C_STRICT,LEADERBOARD,smallest,4.0,3,4,1.2163468668042485,True,3.2885356218406208
C_STRICT,LEADERBOARD,largest,4.0,3,4,1.2163468668042485,True,3.2885356218406208
C_STRICT,LEADERBOARD,smallest,5.39,6,8,1.1234163492690419,True,4.797865015501188
C_STRICT,LEADERBOARD,largest,5.39,6,8,1.1234163492690419,True,4.797865015501188
C_STRICT,LEADERBOARD,smallest,0.0008,2,3,1.5000004431135283,False,0.0005333331757819031
C_STRICT,LEADERBOARD,largest,4.0,2,3,1.5000004431135283,True,2.666665878909516
C_STRICT,LEADERBOARD,smallest,0.6,2,4608,2.8877327564586013,False,0.20777545936619693
C_STRICT,LEADERBOARD,largest,0.6,2,4608,2.8877327564586013,False,0.20777545936619693
C_STRICT,LEADERBOARD,smallest,2.39,2,9,2.6321174002706536,False,0.9080142093032183
C_STRICT,LEADERBOARD,largest,6.38,2,9,2.6321174002706536,True,2.4239040398972937
C_STRICT,LEADERBOARD,smallest,0.001,72,4608,1.0,False,0.001
C_STRICT,LEADERBOARD,largest,0.001,72,4608,1.0,False,0.001
C_STRICT,LEADERBOARD,smallest,1.6,3,24,1.9251546022643684,False,0.8311020829797663
C_STRICT,LEADERBOARD,largest,171.0,3,24,1.9251546022643684,True,88.82403511846252
C_STRICT,LEADERBOARD,smallest,2.0,3,1551,1.9251546022643684,True,1.0388776037247078
C_STRICT,LEADERBOARD,largest,4.0,3,1551,1.9251546022643684,True,2.0777552074494157
C_STRICT,LEADERBOARD,smallest,0.6,3,20,1.9251546022643684,False,0.3116632811174123
C_STRICT,LEADERBOARD,largest,0.6,3,20,1.9251546022643684,False,0.3116632811174123
C_STRICT,LEADERBOARD,smallest,3.2,2,216,2.8877327564586013,True,1.1081357832863838
C_STRICT,LEADERBOARD,largest,9.7,2,216,2.8877327564586013,True,3.3590365930868504
C_STRICT,LEADERBOARD,smallest,5.0,12,70,1.0,True,5.0
C_STRICT,LEADERBOARD,largest,11.37,12,70,1.0,True,11.37
C_STRICT,LEADERBOARD,smallest,3.8,6,54,1.2856850876317318,True,2.9556226766227076
C_STRICT,LEADERBOARD,largest,36.48,6,54,1.2856850876317318,True,28.37397769557799
C_STRICT,LEADERBOARD,smallest,3.1,3,747,1.9251546022643684,True,1.610260285773297
C_STRICT,LEADERBOARD,largest,3.1,3,747,1.9251546022643684,True,1.610260285773297
C_STRICT,LEADERBOARD,smallest,34.0,3,136,1.9251546022643684,True,17.660919263320032
C_STRICT,LEADERBOARD,largest,34.0,3,136,1.9251546022643684,True,17.660919263320032
C_STRICT,LEADERBOARD,smallest,1.2,3,288,1.9251546022643684,False,0.6233265622348246
C_STRICT,LEADERBOARD,largest,10.0,3,288,1.9251546022643684,True,5.194388018623539
C_STRICT,LEADERBOARD,smallest,0.255,2,1296,2.8877327564586013,False,0.0883045702306337
C_STRICT,LEADERBOARD,largest,0.255,2,1296,2.8877327564586013,False,0.0883045702306337
C_STRICT,LEADERBOARD,smallest,1.34,0,24,2.8877327564586013,False,0.4640318592511732
C_STRICT,LEADERBOARD,largest,3.7,0,24,2.8877327564586013,True,1.2812819994248812
C_STRICT,LEADERBOARD,smallest,0.97,19,19440,1.0,False,0.97
C_STRICT,LEADERBOARD,largest,5.6,19,19440,1.0,True,5.6
C_STRICT,LEADERBOARD,smallest,0.33,18,29808,1.0,False,0.33
C_STRICT,LEADERBOARD,largest,5.0,18,29808,1.0,True,5.0
C_STRICT,LEADERBOARD,smallest,2.0,3,8,1.682177211091542,True,1.1889353789915076
C_STRICT,LEADERBOARD,largest,2.0,3,8,1.682177211091542,True,1.1889353789915076
C_STRICT,LEADERBOARD,smallest,9.28,0,1087557,2.8877327564586013,True,3.2135937715305123
C_STRICT,LEADERBOARD,largest,9.28,0,1087557,2.8877327564586013,True,3.2135937715305123
C_STRICT,LEADERBOARD,smallest,2.8,32,66,1.0,True,2.8
C_STRICT,LEADERBOARD,largest,24.0,32,66,1.0,True,24.0
C_STRICT,LEADERBOARD,smallest,0.022,12208,79368,1.0,False,0.022
C_STRICT,LEADERBOARD,largest,12.9,12208,79368,1.0,True,12.9
C_STRICT,LEADERBOARD,smallest,2.083,5,18,1.4009271134243564,True,1.486872500388988
C_STRICT,LEADERBOARD,largest,77.956,5,18,1.4009271134243564,True,55.64600702848005
C_STRICT,LEADERBOARD,smallest,1.36,3,81,1.9251546022643684,False,0.7064367705328014
C_STRICT,LEADERBOARD,largest,1.36,3,81,1.9251546022643684,False,0.7064367705328014
C_STRICT,LEADERBOARD,smallest,1.36,3,81,1.9251546022643684,False,0.7064367705328014
C_STRICT,LEADERBOARD,largest,1.36,3,81,1.9251546022643684,False,0.7064367705328014
C_STRICT,LEADERBOARD,smallest,3.0,15,120,1.0,True,3.0
C_STRICT,LEADERBOARD,largest,277.0,15,120,1.0,True,277.0
C_STRICT,LEADERBOARD,smallest,8.0,2,81,2.8877327564586013,True,2.7703394582159593
C_STRICT,LEADERBOARD,largest,16.8,2,81,2.8877327564586013,True,5.817712862253515
C_STRICT,LEADERBOARD,smallest,2.7,36,260,1.0,True,2.7
C_STRICT,LEADERBOARD,largest,2.7,36,260,1.0,True,2.7
C_STRICT,2026-09-03_qqq-trend-only.result.md,smallest,2.6,1,21,2.8877327564586013,False,0.9003603239201868
C_STRICT,2026-09-03_qqq-trend-only.result.md,largest,5.34,1,21,2.8877327564586013,True,1.8492015883591528
