panel,family,bps,n,inert,inert_oos,p4a,p4b,p4a_inert,p4b_inert,p4a_live,p4b_live
BROAD136,BUDGET,10,10,0,0,0,0,0,0,0,0
BROAD136,BUDGET,25,10,0,0,0,0,0,0,0,0
BROAD136,DDCTL,10,10,2,2,2,0,0,0,2,0
BROAD136,DDCTL,25,10,2,2,1,0,0,0,1,0
BROAD136,SLEEVE,10,10,0,0,4,1,0,0,4,1
BROAD136,SLEEVE,25,10,0,0,3,0,0,0,3,0
SMALL439,BUDGET,10,10,0,0,0,0,0,0,0,0
SMALL439,BUDGET,25,10,0,0,0,0,0,0,0,0
SMALL439,DDCTL,10,10,2,2,0,0,0,0,0,0
SMALL439,DDCTL,25,10,2,2,0,0,0,0,0,0
SMALL439,SLEEVE,10,10,0,0,0,0,0,0,0,0
SMALL439,SLEEVE,25,10,0,0,0,0,0,0,0,0
U56,BUDGET,10,10,0,0,0,5,0,0,0,5
U56,BUDGET,25,10,0,0,0,4,0,0,0,4
U56,DDCTL,10,10,4,4,0,7,0,4,0,3
U56,DDCTL,25,10,4,4,0,4,0,4,0,0
U56,SLEEVE,10,10,0,0,1,7,0,0,1,7
U56,SLEEVE,25,10,0,0,0,0,0,0,0,0
