bar_pair,scope,screen_k,n,cost,error,n_err,err_extra,err_lost
B_MEANP,ALL,0.0,132,0.0,0.022727272727272728,3,1,2
B_MEANP,ALL,0.25,132,0.1893939393939394,0.0,0,0,0
B_MEANP,ALL,0.5,132,0.25,0.0,0,0,0
B_MEANP,ALL,1.0,132,0.2878787878787879,0.0,0,0,0
B_MEANP,ALL,2.0,132,0.3939393939393939,0.0,0,0,0
B_MEANP,ALL,inf,132,1.0,0.0,0,0,0
B_MEANP,NOGROSS,0.0,87,0.0,0.034482758620689655,3,1,2
B_MEANP,NOGROSS,0.25,87,0.11494252873563218,0.0,0,0,0
B_MEANP,NOGROSS,0.5,87,0.20689655172413793,0.0,0,0,0
B_MEANP,NOGROSS,1.0,87,0.26436781609195403,0.0,0,0,0
B_MEANP,NOGROSS,2.0,87,0.42528735632183906,0.0,0,0,0
B_MEANP,NOGROSS,inf,87,1.0,0.0,0,0,0
B_SHARPE,ALL,0.0,132,0.0,0.015151515151515152,2,0,2
B_SHARPE,ALL,0.25,132,0.1893939393939394,0.0,0,0,0
B_SHARPE,ALL,0.5,132,0.25,0.0,0,0,0
B_SHARPE,ALL,1.0,132,0.2878787878787879,0.0,0,0,0
B_SHARPE,ALL,2.0,132,0.3939393939393939,0.0,0,0,0
B_SHARPE,ALL,inf,132,1.0,0.0,0,0,0
B_SHARPE,NOGROSS,0.0,87,0.0,0.022988505747126436,2,0,2
B_SHARPE,NOGROSS,0.25,87,0.11494252873563218,0.0,0,0,0
B_SHARPE,NOGROSS,0.5,87,0.20689655172413793,0.0,0,0,0
B_SHARPE,NOGROSS,1.0,87,0.26436781609195403,0.0,0,0,0
B_SHARPE,NOGROSS,2.0,87,0.42528735632183906,0.0,0,0,0
B_SHARPE,NOGROSS,inf,87,1.0,0.0,0,0,0
B_PERMT,ALL,0.0,132,0.0,0.12878787878787878,17,0,17
B_PERMT,ALL,0.25,132,0.09090909090909091,0.09090909090909091,12,0,12
B_PERMT,ALL,0.5,132,0.20454545454545456,0.03787878787878788,5,0,5
B_PERMT,ALL,1.0,132,0.45454545454545453,0.0,0,0,0
B_PERMT,ALL,2.0,132,1.0,0.0,0,0,0
B_PERMT,ALL,inf,132,1.0,0.0,0,0,0
B_PERMT,NOGROSS,0.0,87,0.0,0.10344827586206896,9,0,9
B_PERMT,NOGROSS,0.25,87,0.034482758620689655,0.09195402298850575,8,0,8
B_PERMT,NOGROSS,0.5,87,0.16091954022988506,0.034482758620689655,3,0,3
B_PERMT,NOGROSS,1.0,87,0.367816091954023,0.0,0,0,0
B_PERMT,NOGROSS,2.0,87,1.0,0.0,0,0,0
B_PERMT,NOGROSS,inf,87,1.0,0.0,0,0,0
B_TSTAT,ALL,0.0,132,0.0,0.12121212121212122,16,16,0
B_TSTAT,ALL,0.25,132,0.007575757575757576,0.11363636363636363,15,15,0
B_TSTAT,ALL,0.5,132,0.03787878787878788,0.10606060606060606,14,14,0
B_TSTAT,ALL,1.0,132,0.06818181818181818,0.08333333333333333,11,11,0
B_TSTAT,ALL,2.0,132,0.12121212121212122,0.06818181818181818,9,9,0
B_TSTAT,ALL,inf,132,1.0,0.0,0,0,0
B_TSTAT,NOGROSS,0.0,87,0.0,0.1839080459770115,16,16,0
B_TSTAT,NOGROSS,0.25,87,0.011494252873563218,0.1724137931034483,15,15,0
B_TSTAT,NOGROSS,0.5,87,0.05747126436781609,0.16091954022988506,14,14,0
B_TSTAT,NOGROSS,1.0,87,0.10344827586206896,0.12643678160919541,11,11,0
B_TSTAT,NOGROSS,2.0,87,0.1839080459770115,0.10344827586206896,9,9,0
B_TSTAT,NOGROSS,inf,87,1.0,0.0,0,0,0
