tol,tol_label,n_numbers,n_moved,share_moved
0.0,exact,2461416,128820,0.052336
1e-12,1e-12,2461416,126348,0.051331
1e-09,1e-9,2461416,123408,0.050137
1e-06,1e-6,2461416,90171,0.036634
5.094e-05,1 RESTATEMENT STEP (5.094e-05),2461416,80291,0.03262
0.001,1e-3,2461416,57688,0.023437
0.01,1e-2,2461416,11490,0.004668
