panel,arm,conv,f,cad,be_H1,be_H2,be_DD,be_CAGR,binding,be_joint
u56,S3,g1.00,0.0,W,30.0,30.0,,30.0,DD (never),
u56,S3,g1.00,0.0,M,30.0,30.0,,30.0,DD (never),
u56,S3,g1.00,0.0,D,17.5,17.5,,25.5,DD (never),
u56,S3,g1.00,0.25,W,30.0,30.0,30.0,30.0,H1,30.0
u56,S3,g1.00,0.25,M,30.0,30.0,30.0,30.0,H1,30.0
u56,S3,g1.00,0.25,D,17.0,17.0,28.5,18.0,H1,17.0
u56,S3,g1.00,0.5,W,27.0,30.0,30.0,21.0,CAGR,21.0
u56,S3,g1.00,0.5,M,30.0,30.0,30.0,30.0,H1,30.0
u56,S3,g1.00,0.5,D,13.5,16.5,30.0,8.0,CAGR,8.0
u56,S3,g1.00,0.75,W,3.0,30.0,30.0,,CAGR (never),
u56,S3,g1.00,0.75,M,30.0,30.0,30.0,,CAGR (never),
u56,S3,g1.00,0.75,D,5.5,14.5,30.0,,CAGR (never),
u56,S3,g1.00,1.0,W,,24.5,15.5,,CAGR|H1 (never),
u56,S3,g1.00,1.0,M,,30.0,,,CAGR|DD|H1 (never),
u56,S3,g1.00,1.0,D,,1.0,6.5,,CAGR|H1 (never),
u56,S3,natural,0.0,W,30.0,30.0,30.0,30.0,H1,30.0
u56,S3,natural,0.0,M,30.0,30.0,30.0,30.0,H1,30.0
u56,S3,natural,0.0,D,20.0,20.5,30.0,17.5,CAGR,17.5
u56,S3,natural,0.25,W,30.0,30.0,30.0,18.5,CAGR,18.5
u56,S3,natural,0.25,M,30.0,30.0,30.0,30.0,H1,30.0
u56,S3,natural,0.25,D,21.5,22.5,30.0,7.5,CAGR,7.5
u56,S3,natural,0.5,W,30.0,30.0,30.0,,CAGR (never),
u56,S3,natural,0.5,M,30.0,30.0,30.0,,CAGR (never),
u56,S3,natural,0.5,D,22.5,24.5,30.0,,CAGR (never),
u56,S3,natural,0.75,W,28.5,30.0,30.0,,CAGR (never),
u56,S3,natural,0.75,M,30.0,30.0,30.0,,CAGR (never),
u56,S3,natural,0.75,D,18.5,24.0,30.0,,CAGR (never),
u56,S3,natural,1.0,W,,30.0,30.0,,CAGR|H1 (never),
u56,S3,natural,1.0,M,,30.0,30.0,,CAGR|H1 (never),
u56,S3,natural,1.0,D,,10.5,30.0,,CAGR|H1 (never),
u56,S4,g1.00,0.0,W,30.0,30.0,,30.0,DD (never),
u56,S4,g1.00,0.0,M,30.0,30.0,,30.0,DD (never),
u56,S4,g1.00,0.0,D,17.5,17.5,,25.5,DD (never),
u56,S4,g1.00,0.25,W,30.0,30.0,30.0,30.0,H1,30.0
u56,S4,g1.00,0.25,M,30.0,30.0,30.0,30.0,H1,30.0
u56,S4,g1.00,0.25,D,18.0,17.0,29.0,19.0,H2,17.0
u56,S4,g1.00,0.5,W,30.0,30.0,30.0,25.5,CAGR,25.5
u56,S4,g1.00,0.5,M,30.0,30.0,30.0,30.0,H1,30.0
u56,S4,g1.00,0.5,D,17.0,16.5,30.0,10.0,CAGR,10.0
u56,S4,g1.00,0.75,W,22.0,30.0,30.0,,CAGR (never),
u56,S4,g1.00,0.75,M,30.0,30.0,30.0,5.0,CAGR,5.0
u56,S4,g1.00,0.75,D,13.5,13.0,30.0,,CAGR (never),
u56,S4,g1.00,1.0,W,,16.0,30.0,,CAGR|H1 (never),
u56,S4,g1.00,1.0,M,,30.0,30.0,,CAGR|H1 (never),
u56,S4,g1.00,1.0,D,1.0,,27.5,,CAGR|H2 (never),
u56,S4,natural,0.0,W,30.0,30.0,30.0,30.0,H1,30.0
u56,S4,natural,0.0,M,30.0,30.0,30.0,30.0,H1,30.0
u56,S4,natural,0.0,D,20.0,20.5,30.0,17.5,CAGR,17.5
u56,S4,natural,0.25,W,30.0,30.0,30.0,18.5,CAGR,18.5
u56,S4,natural,0.25,M,30.0,30.0,30.0,30.0,H1,30.0
u56,S4,natural,0.25,D,22.0,21.5,30.0,7.5,CAGR,7.5
u56,S4,natural,0.5,W,30.0,30.0,30.0,,CAGR (never),
u56,S4,natural,0.5,M,30.0,30.0,30.0,,CAGR (never),
u56,S4,natural,0.5,D,23.0,22.5,30.0,,CAGR (never),
u56,S4,natural,0.75,W,30.0,30.0,30.0,,CAGR (never),
u56,S4,natural,0.75,M,30.0,30.0,30.0,,CAGR (never),
u56,S4,natural,0.75,D,21.0,20.0,30.0,,CAGR (never),
u56,S4,natural,1.0,W,,25.5,30.0,,CAGR|H1 (never),
u56,S4,natural,1.0,M,,30.0,30.0,,CAGR|H1 (never),
u56,S4,natural,1.0,D,2.0,7.0,30.0,,CAGR (never),
broad,S3,g1.00,0.0,W,1.0,19.0,,30.0,DD (never),
broad,S3,g1.00,0.0,M,30.0,30.0,,30.0,DD (never),
broad,S3,g1.00,0.0,D,,7.5,,12.0,DD|H1 (never),
broad,S3,g1.00,0.25,W,5.0,24.5,,27.0,DD (never),
broad,S3,g1.00,0.25,M,30.0,30.0,,30.0,DD (never),
broad,S3,g1.00,0.25,D,,8.5,,8.0,DD|H1 (never),
broad,S3,g1.00,0.5,W,3.5,30.0,30.0,11.5,H1,3.5
broad,S3,g1.00,0.5,M,30.0,30.0,30.0,30.0,H1,30.0
broad,S3,g1.00,0.5,D,,10.0,21.0,1.5,H1 (never),
broad,S3,g1.00,0.75,W,,30.0,30.0,,CAGR|H1 (never),
broad,S3,g1.00,0.75,M,16.5,30.0,30.0,,CAGR (never),
broad,S3,g1.00,0.75,D,,11.0,19.5,,CAGR|H1 (never),
broad,S3,g1.00,1.0,W,,24.5,15.5,,CAGR|H1 (never),
broad,S3,g1.00,1.0,M,,30.0,,,CAGR|DD|H1 (never),
broad,S3,g1.00,1.0,D,,1.0,6.5,,CAGR|H1 (never),
broad,S3,natural,0.0,W,3.0,18.5,30.0,20.5,H1,3.0
broad,S3,natural,0.0,M,26.0,30.0,,30.0,DD (never),
broad,S3,natural,0.0,D,,7.0,20.0,4.5,H1 (never),
broad,S3,natural,0.25,W,7.0,26.5,30.0,5.5,CAGR,5.5
broad,S3,natural,0.25,M,30.0,30.0,30.0,30.0,H1,30.0
broad,S3,natural,0.25,D,,10.0,29.0,,CAGR|H1 (never),
broad,S3,natural,0.5,W,12.0,30.0,30.0,,CAGR (never),
broad,S3,natural,0.5,M,30.0,30.0,30.0,,CAGR (never),
broad,S3,natural,0.5,D,3.5,14.0,30.0,,CAGR (never),
broad,S3,natural,0.75,W,12.0,30.0,30.0,,CAGR (never),
broad,S3,natural,0.75,M,30.0,30.0,30.0,,CAGR (never),
broad,S3,natural,0.75,D,7.0,17.5,30.0,,CAGR (never),
broad,S3,natural,1.0,W,,30.0,30.0,,CAGR|H1 (never),
broad,S3,natural,1.0,M,,30.0,30.0,,CAGR|H1 (never),
broad,S3,natural,1.0,D,,10.5,30.0,,CAGR|H1 (never),
broad,S4,g1.00,0.0,W,1.0,19.0,,30.0,DD (never),
broad,S4,g1.00,0.0,M,30.0,30.0,,30.0,DD (never),
broad,S4,g1.00,0.0,D,,7.5,,12.0,DD|H1 (never),
broad,S4,g1.00,0.25,W,6.5,25.0,,28.5,DD (never),
broad,S4,g1.00,0.25,M,30.0,30.0,,30.0,DD (never),
broad,S4,g1.00,0.25,D,,8.5,,8.5,DD|H1 (never),
broad,S4,g1.00,0.5,W,9.5,30.0,30.0,15.5,H1,9.5
broad,S4,g1.00,0.5,M,30.0,30.0,30.0,30.0,H1,30.0
broad,S4,g1.00,0.5,D,1.5,10.0,25.5,3.0,H1,1.5
broad,S4,g1.00,0.75,W,9.0,30.0,30.0,,CAGR (never),
broad,S4,g1.00,0.75,M,30.0,30.0,30.0,2.5,CAGR,2.5
broad,S4,g1.00,0.75,D,4.5,9.5,30.0,,CAGR (never),
broad,S4,g1.00,1.0,W,,16.0,30.0,,CAGR|H1 (never),
broad,S4,g1.00,1.0,M,,30.0,30.0,,CAGR|H1 (never),
broad,S4,g1.00,1.0,D,1.5,,27.0,,CAGR|H2 (never),
broad,S4,natural,0.0,W,3.0,18.5,30.0,20.5,H1,3.0
broad,S4,natural,0.0,M,26.0,30.0,,30.0,DD (never),
broad,S4,natural,0.0,D,,7.0,20.0,4.5,H1 (never),
broad,S4,natural,0.25,W,7.5,25.0,30.0,6.0,CAGR,6.0
broad,S4,natural,0.25,M,30.0,30.0,30.0,30.0,H1,30.0
broad,S4,natural,0.25,D,,9.5,29.0,,CAGR|H1 (never),
broad,S4,natural,0.5,W,13.5,30.0,30.0,,CAGR (never),
broad,S4,natural,0.5,M,30.0,30.0,30.0,,CAGR (never),
broad,S4,natural,0.5,D,4.5,12.5,30.0,,CAGR (never),
broad,S4,natural,0.75,W,17.5,30.0,30.0,,CAGR (never),
broad,S4,natural,0.75,M,30.0,30.0,30.0,,CAGR (never),
broad,S4,natural,0.75,D,9.5,14.5,30.0,,CAGR (never),
broad,S4,natural,1.0,W,,25.5,30.0,,CAGR|H1 (never),
broad,S4,natural,1.0,M,,30.0,30.0,,CAGR|H1 (never),
broad,S4,natural,1.0,D,2.0,7.0,30.0,,CAGR (never),
