panel,cost,order,seed,stat,n_verdicts,flips,pick_flips,sh_min,sh_max,pass_share,unstable,sh_spread
B136,0.0,GRID,,IS_CAGR,2,1,16,1.090248915444529,1.1619742786234444,0.34782608695652173,True,0.07172536317891542
B136,0.0,GRID,,IS_LEGS,2,1,7,1.1096842543902974,1.1619742786234444,0.34782608695652173,True,0.05229002423314699
B136,0.0,GRID,,IS_MINMARG,2,1,15,1.091911591019124,1.1619742786234444,0.34782608695652173,True,0.07006268760432044
B136,0.0,GRID,,IS_SHARPE,2,1,4,1.1096842543902974,1.1619742786234444,0.13043478260869565,True,0.05229002423314699
B136,0.0,RAND,20260920.0,IS_CAGR,2,3,4,1.0095943330993944,1.1579795080279038,0.6956521739130435,True,0.14838517492850944
B136,0.0,RAND,20260920.0,IS_LEGS,2,1,5,1.090248915444529,1.1579795080279038,0.7391304347826086,True,0.06773059258337488
B136,0.0,RAND,20260920.0,IS_MINMARG,2,1,3,1.091911591019124,1.1579795080279038,0.7391304347826086,True,0.0660679170087799
B136,0.0,RAND,20260920.0,IS_SHARPE,2,1,2,1.091911591019124,1.1112543601529925,0.21739130434782608,True,0.019342769133868565
B136,0.0,RAND,20260921.0,IS_CAGR,2,1,1,1.0095943330993944,1.090248915444529,0.6086956521739131,True,0.08065458234513456
B136,0.0,RAND,20260921.0,IS_LEGS,2,1,4,1.090248915444529,1.1592861784594581,0.8695652173913043,True,0.06903726301492918
B136,0.0,RAND,20260921.0,IS_MINMARG,2,3,3,1.0095943330993944,1.1592861784594581,0.5652173913043478,True,0.14969184536006375
B136,0.0,RAND,20260921.0,IS_SHARPE,2,1,3,1.091911591019124,1.112762238704481,0.4782608695652174,True,0.02085064768535716
B136,0.0,RAND,20260922.0,IS_CAGR,1,0,1,1.090248915444529,1.1096842543902974,1.0,False,0.019435338945768432
B136,0.0,RAND,20260922.0,IS_LEGS,1,0,0,1.1096842543902974,1.1096842543902974,1.0,False,0.0
B136,0.0,RAND,20260922.0,IS_MINMARG,1,0,0,1.1096842543902974,1.1096842543902974,1.0,False,0.0
B136,0.0,RAND,20260922.0,IS_SHARPE,1,0,0,1.1096842543902974,1.1096842543902974,1.0,False,0.0
