panel,book,gross,cost_bps,k,lam,rota_turn,damp_turn,rota_Sharpe,damp_Sharpe,rota_MaxDD,damp_MaxDD,rota_4b,rota_n,damp_4b
U56,CAP2,0.75,0.0,1,1.0,3.5063829420832273,3.5063829420832278,1.3078729412435246,1.3078729412435244,-0.14765004422980466,-0.14765004422980443,1,1,1
U56,CAP2,0.75,0.0,2,0.5,3.3019116061347713,2.5611815912325246,1.3003252070399542,1.286982994890332,-0.155053065309617,-0.1619277665704909,4,4,1
U56,CAP2,0.75,0.0,4,0.25,2.848831191297582,1.9249922951245126,1.2580191905505185,1.2606883961938316,-0.17297195954847347,-0.18074507144608598,4,4,1
U56,CAP2,0.75,0.0,8,0.125,2.3106520099313186,1.3869524534114932,1.2382858365489096,1.226928773488874,-0.19049429823319394,-0.19382712822530357,4,4,1
U56,CAP2,0.75,10.0,1,1.0,3.5063829420832273,3.5063829420832278,1.2686753146710161,1.2686753146710161,-0.14809080759214654,-0.14809080759214643,1,1,1
U56,CAP2,0.75,10.0,2,0.5,3.3019116061347713,2.5611815912325246,1.2638690243680895,1.2588365811434339,-0.15578395613479365,-0.1625582955983138,4,4,1
U56,CAP2,0.75,10.0,4,0.25,2.848831191297582,1.9249922951245126,1.2273964650863334,1.2401035569502579,-0.17337403390073097,-0.1810932942021739,4,4,1
U56,CAP2,0.75,10.0,8,0.125,2.3106520099313186,1.3869524534114932,1.2142311648277544,1.2125549115965244,-0.19073698535218464,-0.19410166393363693,4,4,1
U56,CAP2,0.75,25.0,1,1.0,3.5063829420832273,3.5063829420832278,1.209765685566478,1.209765685566478,-0.14875179387181792,-0.14875179387181792,1,1,1
U56,CAP2,0.75,25.0,2,0.5,3.3019116061347713,2.5611815912325246,1.2091048659837655,1.216577450902205,-0.1568795501339413,-0.16350356278783518,4,4,1
U56,CAP2,0.75,25.0,4,0.25,2.848831191297582,1.9249922951245126,1.1814081130667977,1.2092084719419538,-0.17397690282615594,-0.18161545736056273,4,4,1
U56,CAP2,0.75,25.0,8,0.125,2.3106520099313186,1.3869524534114932,1.1781144494667266,1.1909858828358881,-0.19110090645825045,-0.19451334017881705,4,4,1
