panel,ladder,stat,gap,floor_full,M_needed,years_needed
U56,N,S_FULL,0.007068668245825416,0.1761523806496179,359.0,6332.361111111111
U56,N,S_OOS,0.014730064937639176,0.26405478158276907,56.0,987.7777777777778
U56,N,CAGR,0.12264140835065618,inf,,
U56,N,DD,1.0416639841034687,5.684363419230408,,
U56,H,S_FULL,0.025078881717488066,inf,9.25,163.15972222222223
U56,H,S_OOS,0.028770378742377645,inf,17.75,313.09027777777777
U56,H,CAGR,0.3049987073677549,inf,19.25,339.54861111111114
U56,H,DD,1.1140575191411841,inf,,
U56,GROSS,S_FULL,0.0001556639667841253,0.0008972093148214011,1.5,26.458333333333336
U56,GROSS,S_OOS,0.00019477495026443137,0.0019207163003902572,1.5,26.458333333333336
U56,GROSS,CAGR,1.0495280990911553,1.0380692471477992,1.0,17.63888888888889
U56,GROSS,DD,1.2859290693538092,1.1938432556992673,1.0,17.63888888888889
U56,CADENCE,S_FULL,0.0008674369892938127,inf,,
U56,CADENCE,S_OOS,0.008308398644119697,inf,43.0,758.4722222222223
U56,CADENCE,CAGR,0.16042241106593025,inf,48.0,846.6666666666667
U56,CADENCE,DD,0.8170754711183754,inf,75.0,1322.9166666666667
B136,N,S_FULL,0.0013056747034598803,inf,,
B136,N,S_OOS,0.007302318218142201,0.22338792431073118,,
B136,N,CAGR,0.8113364217981811,inf,13.5,238.0178571428571
B136,N,DD,0.543560127681598,6.509181522842699,,
B136,H,S_FULL,0.002489675049586637,inf,,
B136,H,S_OOS,0.03755133008137168,inf,9.25,163.08630952380952
B136,H,CAGR,0.564914333987776,inf,11.5,202.75595238095235
B136,H,DD,2.7506960085619347,inf,213.0,3755.392857142857
B136,GROSS,S_FULL,0.00039966707365901577,0.00039966707365901577,1.0,17.63095238095238
B136,GROSS,S_OOS,0.00046199462908180777,0.00046199462908180777,1.0,17.63095238095238
B136,GROSS,CAGR,1.0724850854269423,1.0702988360427712,1.0,17.63095238095238
B136,GROSS,DD,1.39601645431493,1.2864280606593717,1.0,17.63095238095238
B136,CADENCE,S_FULL,0.008627249572870754,inf,202.0,3561.4523809523807
B136,CADENCE,S_OOS,0.055439762951079885,inf,11.0,193.94047619047618
B136,CADENCE,CAGR,0.09001606372775939,1.8463253895186096,255.0,4495.892857142857
B136,CADENCE,DD,1.3764460187531853,inf,37.0,652.3452380952381
