panel,lam,K,p_over_n_star,status
U56,0.001,2,0.7328070543973894,crossed
U56,0.001,5,1.327212142657357,crossed
U56,0.001,10,0.7361671045147442,crossed
U56,0.001,25,0.869335266449874,crossed
U56,0.01,2,0.7336863727152976,crossed
U56,0.01,5,1.3274412484104028,crossed
U56,0.01,10,1.2768026361341887,crossed
U56,0.01,25,1.3242501099136446,crossed
U56,0.1,2,0.7399888584301636,crossed
U56,0.1,5,1.3281750821311262,crossed
U56,0.1,10,1.2835143127073365,crossed
U56,0.1,25,1.345746487509188,crossed
U56,1.0,2,0.7445179070547427,crossed
U56,1.0,5,1.294229811964444,crossed
U56,1.0,10,1.2574740779559002,crossed
U56,1.0,25,1.3359733449902274,crossed
U56,10.0,2,0.6077627905907889,crossed
U56,10.0,5,0.9673917249651739,crossed
U56,10.0,10,0.9422011606353031,crossed
U56,10.0,25,0.9879274073253939,crossed
U56,100.0,2,0.12173438366132047,crossed
U56,100.0,5,0.1907511448930448,crossed
U56,100.0,10,0.21544123680647595,crossed
U56,100.0,25,0.22590897770600993,crossed
B136,0.001,2,0.8628754973436841,crossed
B136,0.001,5,0.683312289011456,crossed
B136,0.001,10,1.9000153246707094,crossed
B136,0.001,25,1.8707810190729333,crossed
B136,0.01,2,0.863901285095417,crossed
B136,0.01,5,0.7329916748414964,crossed
B136,0.01,10,1.8996694922314346,crossed
B136,0.01,25,1.8707374150933795,crossed
B136,0.1,2,0.8722895601933143,crossed
B136,0.1,5,1.8292486482252828,crossed
B136,0.1,10,1.8957537442230163,crossed
B136,0.1,25,1.8693845391889237,crossed
B136,1.0,2,0.891159601115397,crossed
B136,1.0,5,1.797255514751989,crossed
B136,1.0,10,1.8425602737564262,crossed
B136,1.0,25,1.8266620720239641,crossed
B136,10.0,2,0.6145324140137419,crossed
B136,10.0,5,1.1246576168717015,crossed
B136,10.0,10,1.3436989296443553,crossed
B136,10.0,25,1.4374678073550513,crossed
B136,100.0,2,0.15350849355203258,crossed
B136,100.0,5,0.26110674956388225,crossed
B136,100.0,10,0.29893136322364533,crossed
B136,100.0,25,0.31617406717067664,crossed
SMALL439,0.001,2,,below_at_top
SMALL439,0.001,5,1.881572313900443,crossed
SMALL439,0.001,10,0.7956763592842043,crossed
SMALL439,0.001,25,1.9891684133166934,crossed
SMALL439,0.01,2,,below_at_top
SMALL439,0.01,5,1.881305401105666,crossed
SMALL439,0.01,10,2.030452240951615,crossed
SMALL439,0.01,25,1.990481495117891,crossed
SMALL439,0.1,2,0.8417305859623593,crossed
SMALL439,0.1,5,1.8784545238603059,crossed
SMALL439,0.1,10,2.031351805546219,crossed
SMALL439,0.1,25,2.0014301439982947,crossed
SMALL439,1.0,2,0.8431484183556672,crossed
SMALL439,1.0,5,1.8390427073992759,crossed
SMALL439,1.0,10,2.006102038738066,crossed
SMALL439,1.0,25,2.0118885758897296,crossed
SMALL439,10.0,2,0.669575589846054,crossed
SMALL439,10.0,5,1.0392007944271813,crossed
SMALL439,10.0,10,1.2103730577313283,crossed
SMALL439,10.0,25,1.3210564841992245,crossed
SMALL439,100.0,2,,never_above
SMALL439,100.0,5,,never_above
SMALL439,100.0,10,,never_above
SMALL439,100.0,25,,never_above
