panel,K,mean_tied,min_tied,max_tied,share_seeds_tie_binds,share_books_at_ceiling
U56,10,10.95,10,12,1.0,0.9125
U56,25,9.95,8,12,1.0,0.8291666666666667
U56,50,8.75,7,10,1.0,0.7291666666666666
U56,100,7.55,6,9,1.0,0.6291666666666667
U56,200,6.95,6,8,1.0,0.5791666666666667
U56,400,6.0,6,6,1.0,0.5
B136,10,11.6,11,12,1.0,0.9666666666666667
B136,25,10.7,8,12,1.0,0.8916666666666667
B136,50,10.1,8,11,1.0,0.8416666666666667
B136,100,9.15,7,10,1.0,0.7625
B136,200,8.2,7,10,1.0,0.6833333333333333
B136,400,7.0,7,7,1.0,0.5833333333333334
SMALL,10,4.4,2,6,1.0,0.36666666666666664
SMALL,25,3.3,2,5,1.0,0.275
SMALL,50,2.05,0,4,0.6,0.17083333333333334
SMALL,100,0.95,0,3,0.3,0.07916666666666666
SMALL,200,0.25,0,1,0.0,0.020833333333333332
SMALL,400,0.0,0,0,0.0,0.0
