panel,ladder,chooser,claimset,pick_at_10,n_rungs,move_rung_bps,move_rung_on_1094s_coarse_ladder_bps,moves_within_200,pick_at_0,pick_at_25,pick_at_50,pick_at_100,pick_at_200,n_distinct_picks,flickers,absorbing,turnover_non_increasing,cstar_of_10pick_bps,cstar_first_fail_bps,cstar_failing_leg,ratio_cstar_over_move
U56,L_N,C_ISSHARPE,CORE,40,9,,,False,40,40,40,40,40,1,0,True,True,,0.0,fails at 0 bps,
U56,L_N,C_ISDD,CORE,40,9,,,False,40,40,40,40,40,1,0,True,True,,0.0,fails at 0 bps,
U56,L_N,C_ISCAGR,CORE,5,9,,,False,5,5,5,5,5,1,0,True,True,,0.0,fails at 0 bps,
U56,L_H,C_ISSHARPE,CORE,21,4,14.0,15.0,True,21,63,126,126,126,3,2,True,True,63.0,64.0,L_H1,4.5
U56,L_H,C_ISDD,CORE,21,4,52.0,75.0,True,21,21,21,63,63,2,1,True,True,63.0,64.0,L_H1,1.2115384615384615
U56,L_H,C_ISCAGR,CORE,63,4,14.0,15.0,True,63,126,126,126,126,2,1,True,True,,0.0,fails at 0 bps,
U56,L_G,C_ISSHARPE,CORE,0.75,10,,,False,0.75,0.75,0.75,0.75,0.75,1,0,True,True,117.0,118.0,L_H1,
U56,L_G,C_ISDD,CORE,0.3,10,,,False,0.3,0.3,0.3,0.3,0.3,1,0,True,True,,0.0,fails at 0 bps,
U56,L_G,C_ISCAGR,CORE,0.75,10,,,False,0.75,0.75,0.75,0.75,0.75,1,0,True,True,117.0,118.0,L_H1,
U56,L_CAD,C_ISSHARPE,CORE,W,4,21.0,25.0,True,W,Q,Q,Q,Q,2,1,True,True,117.0,118.0,L_H1,5.571428571428571
U56,L_CAD,C_ISDD,CORE,D,4,161.0,,True,D,D,D,D,M,2,1,True,True,,0.0,fails at 0 bps,
U56,L_CAD,C_ISCAGR,CORE,W,4,64.0,75.0,True,W,W,W,Q,Q,2,1,True,True,117.0,118.0,L_H1,1.828125
U56,L_NH,C_ISSHARPE,WIDE,12/21,36,11.0,15.0,True,12/21,5/63,40/126,25/252,25/252,5,4,True,False,63.0,64.0,L_H1,5.7272727272727275
U56,L_NH,C_ISDD,WIDE,40/21,36,40.0,40.0,True,40/21,40/21,40/63,40/252,40/252,3,2,True,True,38.0,39.0,L_CAGR,0.95
U56,L_NH,C_ISCAGR,WIDE,5/63,36,111.0,,True,5/63,5/63,5/63,5/63,5/126,2,1,True,True,,0.0,fails at 0 bps,
U56,L_BOOK,C_ISSHARPE,WIDE,TOP10,5,158.0,,True,TOP10,TOP10,TOP10,TOP10,TOP5,2,1,True,False,,0.0,fails at 0 bps,
U56,L_BOOK,C_ISDD,WIDE,BAND03,5,,,False,BAND03,BAND03,BAND03,BAND03,BAND03,1,0,True,True,,0.0,fails at 0 bps,
U56,L_BOOK,C_ISCAGR,WIDE,TOP5,5,,,False,TOP5,TOP5,TOP5,TOP5,TOP5,1,0,True,True,,0.0,fails at 0 bps,
U56,L_MV,C_ISSHARPE,WIDE,9.99,5,,,False,9.99,9.99,9.99,9.99,9.99,1,0,True,True,23.0,24.0,L_DD,
U56,L_MV,C_ISDD,WIDE,0.4,5,,,False,0.4,0.4,0.4,0.4,0.4,1,0,True,True,,0.0,fails at 0 bps,
U56,L_MV,C_ISCAGR,WIDE,9.99,5,,,False,9.99,9.99,9.99,9.99,9.99,1,0,True,True,23.0,24.0,L_DD,
