vi,vintage,commit_date,panel,reading,postfix,rows,names,missing_univ,tape_blob,first,last,years,is_rows,oos_rows,spy_full_CAGR,spy_full_Sharpe,spy_full_MaxDD,spy_oos_Sharpe,live_full_Sharpe,blob
0,fb208174,2026-09-03,U56,V_RAW,False,6059,55,0,3fb16007,2009-01-13,2026-09-04,17.63997262,2266,3533,0.11428866,0.77585578,-0.33717268,0.72859078,0.97974409,3fb16007
0,fb208174,2026-09-03,U56,V_TRUNC,False,6058,55,0,3fb16007,2009-01-13,2026-09-02,17.63449692,2266,3532,0.11430946,0.77592285,-0.33717268,0.72869413,0.97982890,3fb16007
1,0ede2282,2026-09-03,U56,V_RAW,False,6060,55,0,8679938d,2009-01-13,2026-09-04,17.63997262,2266,3534,0.11477216,0.77865300,-0.33717289,0.73332427,0.98315404,8679938d
1,0ede2282,2026-09-03,BROAD,V_RAW,False,4698,135,0,63f7ffd8,2009-01-13,2026-09-03,17.63723477,2007,2431,0.15257285,0.89050114,-0.33715953,0.88461258,1.10762398,8679938d
1,0ede2282,2026-09-03,U56,V_TRUNC,False,6059,55,0,8679938d,2009-01-13,2026-09-03,17.63723477,2266,3533,0.11479304,0.77872029,-0.33717289,0.73342827,0.98323913,8679938d
1,0ede2282,2026-09-03,BROAD,V_TRUNC,False,4698,135,0,63f7ffd8,2009-01-13,2026-09-03,17.63723477,2007,2431,0.15257285,0.89050114,-0.33715953,0.88461258,1.10762398,8679938d
2,c006b439,2026-09-04,U56,V_RAW,True,4698,55,0,d684d690,2009-01-13,2026-09-03,17.63723477,2007,2431,0.15256996,0.89048115,-0.33717289,0.88460063,1.20765160,d684d690
2,c006b439,2026-09-04,BROAD,V_RAW,True,4698,135,0,63f7ffd8,2009-01-13,2026-09-03,17.63723477,2007,2431,0.15257285,0.89050114,-0.33715953,0.88461258,1.10762398,d684d690
2,c006b439,2026-09-04,U56,V_TRUNC,True,4698,55,0,d684d690,2009-01-13,2026-09-03,17.63723477,2007,2431,0.15256996,0.89048115,-0.33717289,0.88460063,1.20765160,d684d690
2,c006b439,2026-09-04,BROAD,V_TRUNC,True,4698,135,0,63f7ffd8,2009-01-13,2026-09-03,17.63723477,2007,2431,0.15257285,0.89050114,-0.33715953,0.88461258,1.10762398,d684d690
3,50585c86,2026-09-04,U56,V_RAW,True,4699,55,0,95363cf6,2009-01-13,2026-09-04,17.63997262,2007,2432,0.15228045,0.88912976,-0.33717235,0.88219216,1.20575777,95363cf6
3,50585c86,2026-09-04,BROAD,V_RAW,True,4699,135,0,3b7482a2,2009-01-13,2026-09-04,17.63997262,2007,2432,0.15228334,0.88915007,-0.33715953,0.88220532,1.10591476,95363cf6
3,50585c86,2026-09-04,SMALL,V_RAW,True,4194,445,0,58fe7e96,2011-01-13,2026-09-04,15.64134155,1502,2432,0.14129855,0.86164479,-0.33717235,0.88219216,0.61472810,95363cf6
3,50585c86,2026-09-04,U56,V_TRUNC,True,4698,55,0,95363cf6,2009-01-13,2026-09-03,17.63723477,2007,2431,0.15256996,0.89048140,-0.33717235,0.88460046,1.20765156,95363cf6
3,50585c86,2026-09-04,BROAD,V_TRUNC,True,4698,135,0,3b7482a2,2009-01-13,2026-09-03,17.63723477,2007,2431,0.15257285,0.89050171,-0.33715953,0.88461371,1.10762214,95363cf6
3,50585c86,2026-09-04,SMALL,V_TRUNC,True,4194,445,0,58fe7e96,2011-01-13,2026-09-04,15.64134155,1502,2432,0.14129855,0.86164479,-0.33717235,0.88219216,0.61472810,95363cf6
4,f138ee9a,2026-09-07,U56,V_RAW,True,4699,55,0,031a3a69,2009-01-13,2026-09-04,17.63997262,2007,2432,0.15228045,0.88912986,-0.33717289,0.88219238,1.20576396,031a3a69
4,f138ee9a,2026-09-07,BROAD,V_RAW,True,4699,135,0,3b7482a2,2009-01-13,2026-09-04,17.63997262,2007,2432,0.15228334,0.88915007,-0.33715953,0.88220532,1.10591476,031a3a69
4,f138ee9a,2026-09-07,SMALL,V_RAW,True,4194,445,0,58fe7e96,2011-01-13,2026-09-04,15.64134155,1502,2432,0.14129863,0.86164516,-0.33717289,0.88219238,0.61472810,031a3a69
4,f138ee9a,2026-09-07,U56,V_TRUNC,True,4698,55,0,031a3a69,2009-01-13,2026-09-03,17.63723477,2007,2431,0.15256996,0.89048150,-0.33717289,0.88460068,1.20765077,031a3a69
4,f138ee9a,2026-09-07,BROAD,V_TRUNC,True,4698,135,0,3b7482a2,2009-01-13,2026-09-03,17.63723477,2007,2431,0.15257285,0.89050171,-0.33715953,0.88461371,1.10762214,031a3a69
4,f138ee9a,2026-09-07,SMALL,V_TRUNC,True,4194,445,0,58fe7e96,2011-01-13,2026-09-04,15.64134155,1502,2432,0.14129863,0.86164516,-0.33717289,0.88219238,0.61472810,031a3a69
5,9ee888f4,2026-09-08,U56,V_RAW,True,4700,55,0,048a4741,2009-01-13,2026-09-08,17.65092402,2007,2433,0.15188356,0.88723960,-0.33717289,0.87882679,1.20386641,048a4741
5,9ee888f4,2026-09-08,BROAD,V_RAW,True,4699,135,0,3b7482a2,2009-01-13,2026-09-04,17.63997262,2007,2432,0.15228334,0.88915007,-0.33715953,0.88220532,1.10591476,048a4741
5,9ee888f4,2026-09-08,SMALL,V_RAW,True,4194,445,0,58fe7e96,2011-01-13,2026-09-04,15.64134155,1502,2432,0.14129863,0.86164513,-0.33717289,0.88219189,0.61472810,048a4741
5,9ee888f4,2026-09-08,U56,V_TRUNC,True,4698,55,0,048a4741,2009-01-13,2026-09-03,17.63723477,2007,2431,0.15256996,0.89048124,-0.33717289,0.88460019,1.20765072,048a4741
5,9ee888f4,2026-09-08,BROAD,V_TRUNC,True,4698,135,0,3b7482a2,2009-01-13,2026-09-03,17.63723477,2007,2431,0.15257285,0.89050171,-0.33715953,0.88461371,1.10762214,048a4741
5,9ee888f4,2026-09-08,SMALL,V_TRUNC,True,4194,445,0,58fe7e96,2011-01-13,2026-09-04,15.64134155,1502,2432,0.14129863,0.86164513,-0.33717289,0.88219189,0.61472810,048a4741
6,7a93b075,2026-09-09,U56,V_RAW,True,4701,55,0,0b78a96f,2009-01-13,2026-09-09,17.65366188,2007,2434,0.15154244,0.88562830,-0.33717235,0.87595834,1.20227547,0b78a96f
6,7a93b075,2026-09-09,BROAD,V_RAW,True,4699,135,0,3b7482a2,2009-01-13,2026-09-04,17.63997262,2007,2432,0.15228334,0.88915007,-0.33715953,0.88220532,1.10591476,0b78a96f
6,7a93b075,2026-09-09,SMALL,V_RAW,True,4194,445,0,58fe7e96,2011-01-13,2026-09-04,15.64134155,1502,2432,0.14129855,0.86164468,-0.33717235,0.88219209,0.61472809,0b78a96f
6,7a93b075,2026-09-09,U56,V_TRUNC,True,4698,55,0,0b78a96f,2009-01-13,2026-09-03,17.63723477,2007,2431,0.15256996,0.89048116,-0.33717235,0.88460040,1.20765055,0b78a96f
6,7a93b075,2026-09-09,BROAD,V_TRUNC,True,4698,135,0,3b7482a2,2009-01-13,2026-09-03,17.63723477,2007,2431,0.15257285,0.89050171,-0.33715953,0.88461371,1.10762214,0b78a96f
6,7a93b075,2026-09-09,SMALL,V_TRUNC,True,4194,445,0,58fe7e96,2011-01-13,2026-09-04,15.64134155,1502,2432,0.14129855,0.86164468,-0.33717235,0.88219209,0.61472809,0b78a96f
7,60e8c36a,2026-09-10,U56,V_RAW,True,4702,55,0,aa8f39b9,2009-01-13,2026-09-10,17.65639973,2007,2435,0.15111316,0.88357319,-0.33717257,0.87230181,1.19994197,aa8f39b9
7,60e8c36a,2026-09-10,BROAD,V_RAW,True,4699,135,0,3b7482a2,2009-01-13,2026-09-04,17.63997262,2007,2432,0.15228334,0.88915007,-0.33715953,0.88220532,1.10591476,aa8f39b9
7,60e8c36a,2026-09-10,SMALL,V_RAW,True,4194,445,0,58fe7e96,2011-01-13,2026-09-04,15.64134155,1502,2432,0.14129855,0.86164462,-0.33717257,0.88219208,0.61472809,aa8f39b9
7,60e8c36a,2026-09-10,U56,V_TRUNC,True,4698,55,0,aa8f39b9,2009-01-13,2026-09-03,17.63723477,2007,2431,0.15256996,0.89048090,-0.33717257,0.88460038,1.20765086,aa8f39b9
7,60e8c36a,2026-09-10,BROAD,V_TRUNC,True,4698,135,0,3b7482a2,2009-01-13,2026-09-03,17.63723477,2007,2431,0.15257285,0.89050171,-0.33715953,0.88461371,1.10762214,aa8f39b9
7,60e8c36a,2026-09-10,SMALL,V_TRUNC,True,4194,445,0,58fe7e96,2011-01-13,2026-09-04,15.64134155,1502,2432,0.14129855,0.86164462,-0.33717257,0.88219208,0.61472809,aa8f39b9
8,56e08b10,2026-09-11,U56,V_RAW,True,4703,55,0,ee745fe4,2009-01-13,2026-09-11,17.65913758,2007,2436,0.15163101,0.88615412,-0.33717235,0.87689442,1.20197590,ee745fe4
8,56e08b10,2026-09-11,BROAD,V_RAW,True,4703,135,0,d165fde1,2009-01-13,2026-09-11,17.65913758,2007,2436,0.15163389,0.88617549,-0.33715953,0.87690785,1.09937686,ee745fe4
