panel,sweep,gross,cost_bps,arm,w,dTurn,dCAGR,dSharpe,dMaxDD,dOOS_Sharpe,gross_float,gross_fix,dgross,f4b,x4b
U56,SHY,0.75,0.0,FIX0.0125,0.0125,-0.2818215964162061,-0.033411666554605146,0.026227741068955757,0.043748565600024714,0.04943190083450788,0.6721168539325844,0.48062921348314613,-0.19148764044943822,True,False
U56,SHY,0.75,0.0,FIX0.0150,0.015,-0.14429517984832196,-0.018633881583189682,-0.0054140779012217255,0.02068197521199011,0.014799871726283387,0.6721168539325844,0.5758146067415734,-0.09630224719101099,True,False
U56,SHY,0.75,0.0,FIX0.0200,0.02,2.220446049250313e-16,2.220446049250313e-16,0.0,-1.1102230246251565e-16,-2.220446049250313e-16,0.6721168539325844,0.6721168539325844,0.0,True,True
U56,SHY,0.75,0.0,FIX0.0250,0.025,0.0787626530784622,0.0034793816122373755,-0.019367823529954586,-0.005465898467242103,-0.020625014450329493,0.6721168539325844,0.6964325842696631,0.02431573033707879,True,True
U56,SHY,0.75,0.0,FIX0.0300,0.03,0.13045562572791058,0.005977209234063752,-0.026497468966018012,-0.005465898467242103,-0.026222646927533955,0.6721168539325844,0.7113303370786519,0.03921348314606754,True,True
U56,SHY,0.75,10.0,FIX0.0125,0.0125,-0.2818215964162061,-0.03222396389054638,0.025888944545318537,0.04381989955557075,0.04899382563471266,0.6721168539325844,0.48062921348314613,-0.19148764044943822,True,False
U56,SHY,0.75,10.0,FIX0.0150,0.015,-0.14429517984832196,-0.018012902532082764,-0.005555680881753844,0.020684988574179664,0.01448046186181906,0.6721168539325844,0.5758146067415734,-0.09630224719101099,True,False
U56,SHY,0.75,10.0,FIX0.0200,0.02,2.220446049250313e-16,0.0,0.0,1.1102230246251565e-16,2.220446049250313e-16,0.6721168539325844,0.6721168539325844,0.0,True,True
U56,SHY,0.75,10.0,FIX0.0250,0.025,0.0787626530784622,0.0031574244751775282,-0.020701177618993594,-0.005495146790867933,-0.021656467204468566,0.6721168539325844,0.6964325842696631,0.02431573033707879,True,True
U56,SHY,0.75,10.0,FIX0.0300,0.03,0.13045562572791058,0.005441903409255655,-0.028758986889590776,-0.005495146790867711,-0.028138515253985252,0.6721168539325844,0.7113303370786519,0.03921348314606754,True,True
U56,SHY,0.75,25.0,FIX0.0125,0.0125,-0.2818215964162061,-0.030454637970777743,0.02538374961179124,0.043926833975426405,0.04833957768697528,0.6721168539325844,0.48062921348314613,-0.19148764044943822,True,False
U56,SHY,0.75,25.0,FIX0.0150,0.015,-0.14429517984832196,-0.017088247588470606,-0.005763199035724753,0.020689480513280456,0.014005123029876332,0.6721168539325844,0.5758146067415734,-0.09630224719101099,True,False
U56,SHY,0.75,25.0,FIX0.0200,0.02,2.220446049250313e-16,2.220446049250313e-16,-2.220446049250313e-16,0.0,0.0,0.6721168539325844,0.6721168539325844,0.0,True,True
U56,SHY,0.75,25.0,FIX0.0250,0.025,0.0787626530784622,0.0026785325641416335,-0.0227059044635034,-0.0055389982173325025,-0.0232017890813232,0.6721168539325844,0.6964325842696631,0.02431573033707879,True,True
U56,SHY,0.75,25.0,FIX0.0300,0.03,0.13045562572791058,0.004645831425313718,-0.03215646641946179,-0.006412249827195238,-0.0310042330916116,0.6721168539325844,0.7113303370786519,0.03921348314606754,True,True
U56,SHY,0.75,50.0,FIX0.0125,0.0125,-0.2818215964162061,-0.027538146724254142,0.02454466919153564,0.044104880652749645,0.04725189809083541,0.6721168539325844,0.48062921348314613,-0.19148764044943822,False,False
