panel,N,H,cap,seeds,book_CAGR,book_MaxDD,book_IS_CAGR,null_CAGR_med_rebuilt,null_CAGR_med_cash,null_IS_CAGR_med_rebuilt,EDGE_pp,EDGE_pp_cash,EDGE_IS_pp,null_CAGR_sd,EDGE_se_pp,book_pct_of_null,lam_median_rebuilt,lam_median_cash,null_already_drier_rebuilt,conv_gap_pp
B136,5,21,INF,40,0.20297776310792526,-0.27558906997179156,0.1992168296658976,0.12223595754749594,0.12224235057563604,0.12145968491645864,8.074180556042931,8.073541253228921,7.775714474943896,0.023455719808938548,0.4648082299480527,1.0,1.0,1.0,23,-0.0006393028140094792
B136,5,42,INF,40,0.22380713736980584,-0.2587450140548736,0.23137255438205173,0.1140634794246218,0.11436509185559152,0.1274853109012074,10.974365794518404,10.944204551421432,10.388724348084432,0.025659510115233278,0.5084794487292036,1.0,0.9034096745897113,0.9045463278633833,13,-0.030161243096971102
B136,5,52,INF,40,0.20191115532099957,-0.2735577342180765,0.23000879273238506,0.12239854801060446,0.12243432325493864,0.1310051471512661,7.951260731039511,7.947683206606094,9.900364558111896,0.022860483740406574,0.453012786206857,1.0,0.9688353692345875,0.9689921819577809,16,-0.0035775244334179668
B136,5,63,INF,40,0.2365986271857763,-0.28623535174686976,0.27656712388609517,0.12390866681080814,0.12393982067790854,0.12289727045048604,11.268996037496814,11.265880650786775,15.366985343560913,0.021483221034375832,0.4257203796732634,1.0,1.0,1.0,21,-0.003115386710039747
B136,5,76,INF,40,0.22764780577663002,-0.28445772757969,0.247117116822813,0.1281989966544218,0.1281989966544218,0.13891863295363094,9.944880912220821,9.944880912220821,10.819848386918206,0.02212977235141317,0.4385327075698553,1.0,1.0,1.0,24,0.0
B136,5,90,INF,40,0.20029842782450547,-0.28623535174686976,0.23371551866306173,0.128124313424135,0.128124313424135,0.12817501873462478,7.217411440037047,7.217411440037047,10.554049992843694,0.021316897017042168,0.4224244342610383,1.0,1.0,1.0,27,0.0
B136,5,126,INF,40,0.18905908768145907,-0.281238810087446,0.23791409235330785,0.13188839998355217,0.13188839998355217,0.13065573851108092,5.717068769790689,5.717068769790689,10.725835384222693,0.023513976126890386,0.4659626612019666,0.975,1.0,1.0,24,0.0
B136,8,21,INF,40,0.16427685976558837,-0.2824262546487374,0.1753617509213674,0.11586161899552438,0.11586777963866657,0.11756073049004423,4.841524077006398,4.84090801269218,5.7801020431323185,0.019819129055200117,0.3927440458147452,1.0,1.0,1.0,29,-0.0006160643142183453
B136,8,42,INF,40,0.17603096337449808,-0.27662165129933236,0.17901877621551443,0.12448775495692399,0.12448775495692399,0.1270928418746723,5.154320841757409,5.154320841757409,5.192593434084214,0.018154286222020265,0.35975283272321035,1.0,1.0,1.0,29,0.0
B136,8,52,INF,40,0.17754438351037982,-0.2715151649207258,0.1968247228826081,0.12807680011180866,0.12807680011180866,0.11859276729143342,4.946758339857116,4.946758339857116,7.823195559117469,0.018896523848532874,0.37446132004273813,1.0,1.0,1.0,30,0.0
