panel,cost,rule,qlo,qhi,n,mean,t,p,W,L,Z,abstain,n_files,fc_mean,fc_t,fc_W,fc_L
broad136,10.0,CAL/THRESHOLD,0.0,0.9,200,0.0,,,0,0,200,0.91,1,,,0,0
broad136,10.0,CAL/BAND,0.1,1.0,200,0.0,,,0,0,200,1.0,1,,,0,0
broad136,10.0,RECORD/THRESHOLD,0.0,0.9,200,0.0,,,0,0,200,0.91,1,,,0,0
broad136,10.0,RECORD/BAND,0.1,1.0,200,0.0,,,0,0,200,1.0,1,,,0,0
broad136,10.0,ALWAYS-ABSTAIN,0.0,1.0,200,0.0,,,0,0,200,1.0,1,,,0,0
broad136,25.0,CAL/THRESHOLD,0.0,0.9,200,0.0,,,0,0,200,0.885,1,,,0,0
broad136,25.0,CAL/BAND,0.1,1.0,200,0.0,,,0,0,200,1.0,1,,,0,0
broad136,25.0,RECORD/THRESHOLD,0.0,0.9,200,0.0,,,0,0,200,0.885,1,,,0,0
broad136,25.0,RECORD/BAND,0.1,1.0,200,0.0,,,0,0,200,1.0,1,,,0,0
broad136,25.0,ALWAYS-ABSTAIN,0.0,1.0,200,0.0,,,0,0,200,1.0,1,,,0,0
small439,10.0,CAL/THRESHOLD,0.0,0.9,200,0.0,,,0,0,200,0.915,1,,,0,0
small439,10.0,CAL/BAND,0.1,1.0,200,0.0,,,0,0,200,1.0,1,,,0,0
small439,10.0,RECORD/THRESHOLD,0.0,0.9,200,0.0,,,0,0,200,0.915,1,,,0,0
small439,10.0,RECORD/BAND,0.1,1.0,200,0.0,,,0,0,200,1.0,1,,,0,0
small439,10.0,ALWAYS-ABSTAIN,0.0,1.0,200,0.0,,,0,0,200,1.0,1,,,0,0
small439,25.0,CAL/THRESHOLD,0.0,0.9,200,0.0,,,0,0,200,0.915,1,,,0,0
small439,25.0,CAL/BAND,0.1,1.0,200,0.0,,,0,0,200,1.0,1,,,0,0
small439,25.0,RECORD/THRESHOLD,0.0,0.9,200,0.0,,,0,0,200,0.915,1,,,0,0
small439,25.0,RECORD/BAND,0.1,1.0,200,0.0,,,0,0,200,1.0,1,,,0,0
small439,25.0,ALWAYS-ABSTAIN,0.0,1.0,200,0.0,,,0,0,200,1.0,1,,,0,0
u56,10.0,CAL/THRESHOLD,0.0,0.9,200,-0.10140834551884179,-24.058407064473922,0.0,0,149,51,0.875,1,,,0,0
u56,10.0,CAL/BAND,0.1,1.0,200,-0.10783648624100689,-26.912346298796056,0.0,0,157,43,0.91,1,,,0,0
u56,10.0,RECORD/THRESHOLD,0.0,0.9,200,-0.10140834551884179,-24.058407064473922,0.0,0,149,51,0.875,1,,,0,0
u56,10.0,RECORD/BAND,0.1,1.0,200,-0.10783648624100689,-26.912346298796056,0.0,0,157,43,0.91,1,,,0,0
u56,10.0,ALWAYS-ABSTAIN,0.0,1.0,200,-0.11607620874314656,-33.46205506230335,0.0,0,170,30,1.0,1,,,0,0
u56,25.0,CAL/THRESHOLD,0.0,0.9,200,-0.0811188143035282,-21.042481801307133,0.0,0,138,62,0.905,1,,,0,0
u56,25.0,CAL/BAND,0.1,1.0,200,-0.06494132552157739,-15.594932182474386,0.0,0,110,90,0.86,1,,,0,0
u56,25.0,RECORD/THRESHOLD,0.0,0.9,200,-0.0811188143035282,-21.042481801307133,0.0,0,138,62,0.905,1,,,0,0
u56,25.0,RECORD/BAND,0.1,1.0,200,-0.06494132552157739,-15.594932182474386,0.0,0,110,90,0.86,1,,,0,0
u56,25.0,ALWAYS-ABSTAIN,0.0,1.0,200,-0.0811188143035282,-21.042481801307133,0.0,0,138,62,1.0,1,,,0,0
