panel,chooser,book,beta_is,beta_oos,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,OOS_H1,OOS_H2,p4a,p4b,leg_H1,leg_H2,leg_DDCAP,leg_CAGRFLOOR
U56,IS_SHARPE,TREND/AGG/th=0.2/g=1.00,0.727305273202215,0.7726670159826081,0.16406290881303986,1.074993590582454,-0.29178987659422995,1.1835418273764142,0.955226231376049,False,False,True,True,False,True
U56,IS_LOWBETA,DISP/HYB/th=0.6/g=0.25,0.06806256767045461,0.08280045033068016,0.010334218675441376,0.5553949274838568,-0.039082564772303985,0.6554500183448694,0.44923633875891034,False,False,False,False,True,False
U56,IS_DDRESID,TREND/AGG/th=0.4/g=1.00,0.5422172330910981,0.5449156471864025,0.156877098453448,1.1997646153154855,-0.23592914966897494,1.3064840056518303,1.0831084019356914,False,False,True,True,False,True
U56,IS_MAXDD,TREND/HYB/th=0.6/g=0.25,0.07974217145337768,0.08526941865543257,0.026104959523502114,1.1245785904245555,-0.040991620882530944,1.361239344469736,0.8530730520156801,False,False,True,True,True,False
U56,SPY,buy-and-hold,1.0,1.0,0.15271636385461385,0.8739575612872552,-0.33717267708462373,0.9802092747889442,0.7592642931975576,False,False,False,False,False,False
U56,RULESv2,live baseline,,,0.09464348447629689,1.2771844071673888,-0.12054947951644879,1.4098250186431198,1.1318314630395094,False,False,True,True,True,False
B136,IS_SHARPE,TREND/AGG/th=0.2/g=1.00,0.775173097305529,0.7324974354699324,0.1584990073152861,1.0584300924356387,-0.25585925708014345,1.2311699025411782,0.8732056198717876,False,False,True,True,False,True
B136,IS_LOWBETA,TREND/HYB/th=0.6/g=0.25,0.0873018073321845,0.0713895333991929,0.02250923773361424,1.0583046318094138,-0.033773745976877656,1.3191188142794348,0.7430438885170314,False,False,True,False,True,False
B136,IS_DDRESID,TREND/AGG/th=0.4/g=1.00,0.5704071666731642,0.5844858974259982,0.13551040274076498,1.0148717096268685,-0.25585925708014357,1.1244060998647356,0.8917630912961102,False,False,True,True,False,True
B136,IS_MAXDD,TREND/HYB/th=0.6/g=0.25,0.0873018073321845,0.0713895333991929,0.02250923773361424,1.0583046318094138,-0.033773745976877656,1.3191188142794348,0.7430438885170314,False,False,True,False,True,False
B136,SPY,buy-and-hold,1.0,1.0,0.15331427255204866,0.8767278433896203,-0.3371595330739301,0.9802483009492403,0.7649626236424596,False,False,False,False,False,False
B136,RULESv2,live baseline,,,0.07884939392053303,1.1058878697278778,-0.12240985403190019,1.278902757130893,0.9033864140612026,False,False,True,True,True,False
SMALL,IS_SHARPE,VOL/AGG/th=0.2/g=1.00,0.9412440361640776,0.8227668583390372,0.12515287670468012,0.6734650146176532,-0.3712757597703241,0.9323957683597285,0.4467370725663755,False,False,False,False,False,True
SMALL,IS_LOWBETA,TREND/HYB/th=0.6/g=0.25,0.04969163205761643,0.021988849461150147,0.003038117388258099,0.18979832009740033,-0.07230833338857356,0.8704307564805572,-0.8630971187621481,False,False,False,False,True,False
SMALL,IS_DDRESID,MOM/AGG/th=0.6/g=1.00,0.449773658780188,0.15512023722159124,0.04138809787404174,0.4719292903693203,-0.1567882386989342,0.5749133720122627,0.3670231498822987,False,False,False,False,True,False
SMALL,IS_MAXDD,TREND/HYB/th=0.4/g=0.25,0.07923926912904158,0.049506195998230335,0.012032197241328868,0.5492807862162815,-0.04808026701011259,0.9015943966713476,0.1831617594932418,False,False,False,False,True,False
SMALL,SPY,buy-and-hold,1.0,1.0,0.1533169996349657,0.8767139845003631,-0.33717267708462373,0.9802092747889442,0.7649702015933451,False,False,False,False,False,False
SMALL,RULESv2,live baseline,,,0.04469785857651609,0.6516492951664011,-0.12176044529624819,1.073232052251387,0.22258627038429124,False,False,True,False,True,False
